Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	7.24E+00	1.00E+00	3.87E+00	4.40E+00	9.40E+00	1.62E+01	1.57E+01	2.80E+00	2.00E+00	3.92E+00
Sample2	3.45E+00	6.29E+00	1.71E+00	6.20E+00	5.63E+00	1.60E+00	5.39E+00	3.47E+00	2.15E+00	2.20E+00
Sample3	8.20E+00	7.06E+00	1.20E+00	4.77E+00	4.60E+00	1.00E+00	3.40E+00	4.65E+00	6.18E+00	0.00E+00
Sample4	4.25E+00	2.86E+00	1.00E+00	1.40E+00	1.00E+00	1.40E+00	3.51E+00	4.00E-01	2.60E+00	4.95E+00
Sample5	4.97E+00	2.54E+00	4.21E+00	2.00E-01	5.83E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00	6.68E+00
Sample6	3.56E+00	3.40E+00	2.29E+00	3.16E+00	1.17E+00	0.00E+00	3.54E+00	1.16E+00	0.00E+00	3.76E+00
Sample7	0.00E+00	3.07E+00	2.29E+00	5.04E+00	2.80E+00	1.19E+01	4.72E+00	8.52E+00	8.20E+00	4.24E+00
Sample8	4.45E+00	4.45E+00	2.54E+00	8.20E+00	6.20E+00	0.00E+00	4.93E+00	2.00E-01	2.95E+00	0.00E+00
Sample9	9.35E+00	0.00E+00	8.48E+00	2.59E+00	3.28E+00	6.20E+00	1.71E+00	2.14E+00	2.53E+00	8.00E-01
Sample10	1.36E+00	6.65E+00	2.00E+00	4.77E+00	1.56E+00	0.00E+00	6.85E+00	4.81E+00	4.84E+00	1.60E+00
Sample11	4.16E+00	0.00E+00	2.80E+00	1.78E+00	1.80E+00	0.00E+00	4.05E+00	2.82E+00	4.65E+00	7.41E+00
Sample12	6.46E+00	4.80E+00	8.72E-01	4.59E+00	9.91E+00	0.00E+00	2.71E+00	3.52E+00	3.26E+00	6.77E+00
Sample13	1.66E+00	5.71E+00	2.24E+00	9.38E+00	3.34E+00	0.00E+00	2.71E+00	3.56E+00	2.23E+00	0.00E+00
Sample14	5.75E+00	4.85E+00	4.33E+00	2.86E+00	4.14E+00	3.01E+00	4.15E+00	6.16E+00	7.02E+00	2.85E+00
Sample15	4.21E+00	1.00E+00	3.00E+00	4.92E+00	3.54E+00	0.00E+00	1.00E+00	1.90E+00	9.15E+00	5.25E+00
Sample16	4.55E+00	0.00E+00	5.83E-01	1.75E+00	4.84E+00	0.00E+00	1.21E+00	3.07E+00	6.78E+00	5.17E+00
Sample17	0.00E+00	0.00E+00	1.40E+00	0.00E+00	7.71E+00	0.00E+00	7.35E+00	0.00E+00	2.00E+00	0.00E+00
Sample18	5.51E+00	2.33E+00	3.39E+00	2.06E+00	4.65E+00	1.42E+01	1.05E+01	5.50E+00	1.09E+01	5.90E+00
Sample19	6.10E+00	3.14E+00	0.00E+00	3.56E+00	1.03E+00	1.39E+00	3.00E+00	1.28E+01	4.35E+00	8.00E-01
Sample20	2.00E+00	5.56E+00	9.70E-01	7.66E+00	1.66E+00	0.00E+00	2.80E+00	4.02E+00	2.96E+00	0.00E+00
Sample21	3.48E+00	6.02E+00	3.12E+00	4.39E+00	3.60E+00	0.00E+00	5.09E+00	1.20E+00	4.42E+00	2.00E-01
Sample22	1.57E+00	6.95E+00	1.89E+00	6.55E+00	3.53E+00	1.78E+00	3.38E+00	1.47E+00	8.00E-01	4.00E-01
Sample23	4.66E+00	0.00E+00	4.35E+00	2.92E+00	6.18E+00	1.26E+01	3.20E+00	6.53E+00	5.00E+00	1.48E+01
Sample24	4.48E+00	2.76E+00	1.80E+00	2.84E+00	3.71E+00	0.00E+00	4.29E+00	4.00E-01	0.00E+00	7.69E+00
Sample25	2.97E+00	6.41E+00	2.13E+00	8.10E+00	0.00E+00	1.00E+00	1.00E+00	8.44E+00	3.00E+00	2.91E+00
Sample26	5.31E+00	2.37E+00	3.98E+00	0.00E+00	3.04E+00	0.00E+00	4.17E+00	4.00E-01	7.23E+00	1.11E+00
Sample27	5.01E+00	5.23E+00	2.00E-01	3.56E+00	2.19E+00	1.40E+00	2.56E+00	5.64E+00	3.97E+00	3.20E+00
Sample28	3.60E+00	6.57E+00	1.91E+00	4.43E+00	4.35E+00	0.00E+00	1.29E+00	2.07E+00	5.06E+00	0.00E+00
Sample29	0.00E+00	0.00E+00	4.39E+00	4.00E+00	3.40E+00	0.00E+00	0.00E+00	6.00E-01	1.26E+00	0.00E+00
Sample30	0.00E+00	3.89E+00	2.06E+00	6.41E+00	4.00E-01	7.53E+00	4.12E+00	4.48E+00	4.99E+00	7.50E+00
Sample31	1.80E+00	4.96E+00	2.36E+00	7.54E+00	4.49E+00	6.63E+00	3.74E+00	2.23E+00	7.33E+00	0.00E+00
Sample32	2.63E+00	6.73E+00	1.00E+00	5.54E+00	2.69E+00	0.00E+00	5.31E+00	3.47E+00	1.11E+01	1.20E+00
Sample33	6.87E+00	1.80E+00	3.40E+00	4.78E+00	3.68E+00	1.12E+01	1.60E+00	8.82E+00	9.11E+00	9.75E+00
Sample34	4.84E+00	5.50E+00	0.00E+00	5.48E+00	2.93E+00	0.00E+00	3.51E+00	7.20E+00	4.45E+00	0.00E+00
Sample35	1.58E+00	4.23E+00	0.00E+00	7.49E+00	8.00E-01	1.80E+00	1.22E+00	3.31E+00	5.38E+00	2.14E+00
Sample36	3.88E+00	8.02E+00	0.00E+00	7.16E+00	4.60E+00	1.57E+00	1.40E+00	2.71E+00	4.82E+00	1.60E+00
Sample37	1.69E+00	4.92E+00	3.38E+00	5.43E+00	3.80E+00	3.03E+00	5.73E+00	3.27E+00	2.76E+00	1.66E+00
Sample38	2.20E+00	6.26E+00	6.00E-01	7.75E+00	3.95E+00	0.00E+00	3.18E+00	3.14E+00	5.22E+00	0.00E+00
Sample39	7.15E+00	0.00E+00	1.43E+00	5.23E+00	4.70E+00	8.63E+00	6.59E+00	2.53E+00	6.40E+00	1.48E+01
Sample40	4.40E+00	6.28E+00	1.11E+00	3.83E+00	8.00E-01	6.00E-01	2.98E+00	3.39E+00	7.31E+00	2.20E+00
Sample41	5.58E+00	3.31E+00	2.14E+00	5.43E+00	2.60E+00	0.00E+00	5.06E+00	8.38E+00	5.10E+00	4.68E+00
Sample42	3.80E+00	7.00E+00	1.40E+00	9.79E+00	3.00E+00	4.00E-01	0.00E+00	1.20E+00	6.81E+00	0.00E+00
Sample43	0.00E+00	0.00E+00	2.91E+00	0.00E+00	1.20E+00	0.00E+00	1.78E+00	0.00E+00	0.00E+00	0.00E+00
Sample44	2.72E+00	3.56E+00	2.00E+00	3.16E+00	3.80E+00	0.00E+00	3.60E+00	3.80E+00	4.27E+00	7.87E+00
Sample45	4.44E+00	3.48E+00	5.11E+00	1.60E+00	7.51E+00	5.11E+00	4.12E+00	2.93E+00	2.71E+00	7.32E+00
Sample46	3.56E+00	3.62E+00	2.71E+00	2.33E+00	1.88E+00	4.13E+00	3.71E+00	4.66E+00	3.58E+00	9.94E+00
Sample47	3.20E+00	8.01E+00	1.30E+00	4.21E+00	1.71E+00	0.00E+00	0.00E+00	2.00E+00	3.87E+00	1.47E+00
Sample48	3.20E+00	0.00E+00	2.96E+00	0.00E+00	2.33E+00	0.00E+00	2.00E-01	1.80E+00	1.98E+00	0.00E+00
Sample49	5.01E+00	7.17E+00	0.00E+00	5.33E+00	3.20E+00	0.00E+00	4.09E+00	8.71E+00	2.33E+00	1.00E+00
Sample50	1.40E+00	2.48E+00	3.60E+00	4.13E+00	4.01E+00	0.00E+00	4.86E+00	5.71E+00	2.41E+00	8.00E-01
Sample51	2.56E+00	8.60E+00	0.00E+00	1.08E+01	2.58E+00	0.00E+00	4.29E+00	1.91E+00	6.63E+00	0.00E+00
Sample52	6.11E+00	7.69E+00	1.53E+00	6.53E+00	4.82E+00	2.63E+00	2.28E+00	3.28E+00	5.72E+00	0.00E+00
Sample53	0.00E+00	0.00E+00	5.96E+00	4.00E-01	4.69E+00	0.00E+00	1.20E+00	0.00E+00	1.80E+00	0.00E+00
Sample54	0.00E+00	4.39E+00	3.36E+00	5.39E+00	5.80E+00	0.00E+00	3.91E+00	2.20E+00	3.25E+00	1.00E+00
Sample55	5.94E+00	2.60E+00	4.45E+00	2.69E+00	3.76E+00	0.00E+00	3.43E+00	8.02E+00	2.56E+00	0.00E+00
Sample56	2.60E+00	5.33E+00	0.00E+00	4.58E+00	1.80E+00	5.70E+00	7.62E+00	9.70E-01	1.55E+01	5.96E+00
Sample57	0.00E+00	5.82E+00	4.00E-01	5.89E+00	4.36E+00	0.00E+00	5.34E+00	2.40E+00	0.00E+00	2.60E+00
Sample58	7.04E+00	2.97E+00	6.00E-01	6.10E+00	4.12E+00	0.00E+00	4.52E+00	3.43E+00	4.03E+00	5.63E+00
Sample59	3.10E+00	2.14E+00	6.00E-01	2.60E+00	3.69E+00	0.00E+00	3.60E+00	2.60E+00	6.84E+00	7.53E+00
Sample60	1.56E+00	4.89E+00	1.29E+00	5.91E+00	6.00E-01	2.13E+00	2.96E+00	6.69E+00	2.71E+00	0.00E+00
Sample61	3.53E+00	2.45E+00	5.83E-01	7.85E+00	4.00E+00	1.00E+00	1.22E+00	6.39E+00	1.36E+00	3.28E+00
Sample62	4.45E+00	8.00E-01	2.62E+00	3.40E+00	4.12E+00	0.00E+00	2.71E+00	8.00E-01	6.37E+00	5.09E+00
Sample63	1.20E+00	6.84E+00	0.00E+00	4.79E+00	3.16E+00	0.00E+00	2.69E+00	2.71E+00	2.80E+00	0.00E+00
Sample64	8.00E-01	6.71E+00	2.50E+00	3.50E+00	1.78E+00	1.40E+00	4.59E+00	8.00E-01	4.04E+00	4.57E+00
Sample65	1.25E+01	3.80E+00	5.73E+00	7.20E+00	0.00E+00	5.40E+00	6.22E+00	5.91E+00	1.06E+01	5.38E+00
Sample66	0.00E+00	7.77E+00	0.00E+00	7.33E+00	1.99E+00	0.00E+00	3.60E+00	4.97E+00	4.15E+00	2.93E+00
Sample67	2.80E+00	5.01E+00	1.00E+00	6.93E+00	0.00E+00	2.00E+00	1.78E+00	1.00E+00	2.47E+00	0.00E+00
Sample68	4.50E+00	1.60E+00	7.75E-01	2.71E+00	3.59E+00	1.80E+00	2.82E+00	0.00E+00	5.04E+00	5.51E+00
Sample69	2.40E+00	7.94E+00	1.36E+00	8.62E+00	4.13E+00	0.00E+00	6.32E-01	5.57E+00	5.28E+00	0.00E+00
Sample70	1.80E+00	5.25E+00	0.00E+00	5.00E+00	2.93E+00	5.00E+00	7.97E+00	9.10E+00	3.40E+00	3.40E+00
Sample71	3.40E+00	4.23E+00	3.09E+00	3.17E+00	6.58E+00	0.00E+00	4.00E+00	4.96E+00	4.06E+00	0.00E+00
Sample72	4.65E+00	3.92E+00	9.70E-01	2.78E+00	1.47E+00	0.00E+00	5.69E+00	4.62E+00	4.79E+00	4.20E+00
