Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.866	144.338	70.067%	20.026	64.433%	0.5005
Sample2	76	0.962	22.831	30.041%	3.987	27.513%	0.1526
Sample3	67	0.957	20.147	30.07%	3.827	28.929%	0.1989
Sample4	88	0.955	37.795	42.949%	5.796	30.379%	0.2704
Sample5	45	0.861	31.592	70.204%	5.17	50.942%	0.5205
Sample6	94	0.965	34.004	36.174%	4.865	26.079%	0.2022
Sample7	185	0.926	84.382	45.612%	13.06	40.556%	0.2292
Sample8	66	0.957	22.051	33.411%	3.802	29.16%	0.1648
Sample9	68	0.879	39.976	58.788%	6.484	48.329%	0.4451
Sample10	72	0.967	20.504	28.478%	3.928	26.363%	0.1643
Sample11	83	0.956	33.399	40.24%	5.034	29.612%	0.2117
Sample12	65	0.914	35.934	55.283%	5.429	40.578%	0.3216
Sample13	62	0.976	13.377	21.576%	2.593	21.915%	0.0893
Sample14	111	0.93	48.801	43.965%	7.754	37.263%	0.2072
Sample15	89	0.952	37.215	41.815%	6.22	31.7%	0.2319
Sample16	95	0.958	37.514	39.488%	5.631	28.848%	0.2141
Sample17	37	0.746	33.579	90.754%	5.252	68.375%	0.8442
Sample18	193	0.924	83.269	43.145%	13.921	40.577%	0.2328
Sample19	68	0.932	25.167	37.01%	4.677	37.208%	0.3492
Sample20	63	0.974	14.938	23.711%	2.964	23.075%	0.1333
Sample21	61	0.943	23.3	38.197%	3.946	33.231%	0.2439
Sample22	68	0.972	19.894	29.256%	3.209	23.787%	0.1738
Sample23	194	0.962	71.681	36.949%	10.46	27.263%	0.5781
Sample24	89	0.965	32.276	36.265%	4.844	26.625%	0.1948
Sample25	71	0.977	16.049	22.604%	2.907	21.258%	0.1714
Sample26	64	0.913	36.635	57.242%	5.814	41.318%	0.3893
Sample27	67	0.952	23.414	34.946%	3.832	31.184%	0.2697
Sample28	66	0.967	17.423	26.398%	3.46	25.789%	0.1488
Sample29	45	0.835	34.204	76.009%	5.74	54.979%	0.54
Sample30	111	0.953	41.719	37.585%	6.277	30.592%	0.1918
Sample31	71	0.92	31.621	44.537%	5.41	39.352%	0.3666
Sample32	65	0.943	23.008	35.397%	4.463	33.358%	0.2104
