Samples	Signature A	Signature B
Sample1	0	206
Sample2	76	0
Sample3	67	0
Sample4	0	88
Sample5	0	45
Sample6	0	94
Sample7	57	128
Sample8	66	0
Sample9	0	68
Sample10	72	0
Sample11	0	83
Sample12	36	29
Sample13	62	0
Sample14	56	55
Sample15	0	89
Sample16	0	95
Sample17	0	37
Sample18	0	193
Sample19	68	0
Sample20	63	0
Sample21	61	0
Sample22	68	0
Sample23	0	194
Sample24	0	89
Sample25	71	0
Sample26	0	64
Sample27	67	0
Sample28	66	0
Sample29	0	45
Sample30	49	62
Sample31	71	0
Sample32	65	0
Sample33	0	180
Sample34	64	0
Sample35	66	0
Sample36	77	0
Sample37	71	0
Sample38	65	0
Sample39	0	194
Sample40	67	0
Sample41	0	97
Sample42	58	0
Sample43	0	45
Sample44	0	97
Sample45	0	107
Sample46	0	103
Sample47	62	0
Sample48	0	45
Sample49	64	0
Sample50	70	0
Sample51	62	0
Sample52	89	0
Sample53	0	45
Sample54	65	0
Sample55	0	54
Sample56	89	0
Sample57	71	0
Sample58	68	0
Sample59	0	107
Sample60	63	0
Sample61	67	0
Sample62	0	99
Sample63	59	0
Sample64	0	103
Sample65	0	99
Sample66	66	0
Sample67	60	0
Sample68	0	97
Sample69	66	0
Sample70	72	0
Sample71	67	0
Sample72	75	0
Sample73	65	0
Sample74	60	0
Sample75	69	0
Sample76	67	0
Sample77	0	193
Sample78	0	102
Sample79	0	93
Sample80	0	45
Sample81	71	0
Sample82	62	0
Sample83	0	90
Sample84	0	87
Sample85	0	97
Sample86	0	89
Sample87	59	0
Sample88	89	0
Sample89	67	0
Sample90	63	0
Sample91	65	0
Sample92	67	0
Sample93	76	0
Sample94	88	0
Sample95	65	0
Sample96	63	0
Sample97	66	0
Sample98	59	77
Sample99	0	90
Sample100	65	0
