Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.865	144.745	70.265%	20.474	65.874%	0.5955
Sample2	76	0.96	23.145	30.454%	4.067	28.065%	0.1525
Sample3	67	0.956	18.458	27.549%	3.902	29.496%	0.1826
Sample4	88	0.954	37.537	42.656%	5.787	30.332%	0.7287
Sample5	45	0.855	33.033	73.407%	5.262	51.848%	0.5507
Sample6	94	0.963	34.748	36.966%	5.022	26.921%	0.1983
Sample7	185	0.926	84.382	45.612%	13.06	40.556%	0.2292
Sample8	66	0.948	19.555	29.629%	4.151	31.837%	0.1531
Sample9	68	0.871	41.872	61.576%	6.766	50.431%	0.5305
Sample10	72	0.963	19.061	26.474%	4.094	27.477%	0.1604
Sample11	83	0.951	33.439	40.288%	5.256	30.918%	0.1964
Sample12	65	0.914	35.934	55.283%	5.429	40.578%	0.3216
Sample13	62	0.976	13.377	21.576%	2.593	21.915%	0.0893
Sample14	111	0.93	48.801	43.965%	7.754	37.263%	0.2072
Sample15	89	0.951	37.628	42.279%	6.226	31.731%	0.2321
Sample16	95	0.955	38.02	40.021%	5.774	29.581%	0.2065
Sample17	37	0.735	34.118	92.211%	5.436	70.771%	0.8549
Sample18	193	0.916	93.19	48.285%	15.112	44.049%	1.0795
Sample19	68	0.932	25.149	36.984%	4.704	37.423%	0.4311
Sample20	63	0.974	14.938	23.711%	2.964	23.075%	0.1333
Sample21	61	0.942	21.94	35.967%	3.994	33.636%	0.2694
Sample22	68	0.964	18.178	26.732%	3.599	26.678%	0.1613
Sample23	194	0.962	71.681	36.949%	10.46	27.263%	0.5781
Sample24	89	0.961	33.164	37.263%	5.058	27.801%	0.1962
Sample25	71	0.977	16.049	22.604%	2.907	21.258%	0.1714
Sample26	64	0.892	36.598	57.184%	6.362	45.213%	0.4537
Sample27	67	0.947	21.772	32.496%	4.082	33.219%	0.4373
Sample28	66	0.967	17.1	25.909%	3.457	25.767%	0.1452
Sample29	45	0.834	34.824	77.387%	5.763	55.2%	0.5447
Sample30	111	0.953	41.719	37.585%	6.277	30.592%	0.1918
Sample31	71	0.917	32.101	45.213%	5.536	40.268%	0.534
Sample32	65	0.942	21.518	33.105%	4.503	33.657%	0.2158
Sample33	180	0.954	70.483	39.157%	10.488	31.283%	4.0248
Sample34	64	0.961	15.635	24.43%	3.606	27.821%	0.1109
Sample35	66	0.95	20.213	30.626%	4.024	31.422%	0.2486
Sample36	77	0.958	23.654	30.719%	4.246	28.957%	0.1515
Sample37	71	0.946	22.734	32.02%	4.505	32.597%	0.295
Sample38	65	0.967	16.601	25.54%	3.219	25.528%	0.1665
Sample39	194	0.947	78.305	40.363%	12.282	32.825%	0.1866
Sample40	67	0.96	18.594	27.752%	3.838	28.218%	0.1972
Sample41	97	0.942	40.5	41.753%	6.552	33.745%	0.278
Sample42	58	0.971	14.185	24.457%	2.756	23.988%	0.1534
Sample43	45	0.834	34.824	77.387%	5.763	55.2%	0.5447
Sample44	97	0.966	34.124	35.179%	5.133	25.959%	0.1804
Sample45	107	0.954	37.719	35.251%	6.231	31.194%	0.2578
Sample46	103	0.961	37.186	36.103%	5.929	27.735%	0.218
Sample47	62	0.929	21.383	34.489%	4.525	37.195%	0.2291
Sample48	45	0.834	34.824	77.387%	5.763	55.2%	0.5447
Sample49	64	0.954	19.02	29.719%	3.691	30.137%	0.2029
Sample50	70	0.903	30.029	42.899%	6.108	43.19%	0.2854
Sample51	62	0.957	18.125	29.234%	3.793	29.439%	0.1442
Sample52	89	0.952	30.738	34.537%	5.177	30.994%	0.2178
Sample53	45	0.834	34.824	77.387%	5.763	55.2%	0.5447
Sample54	65	0.964	17.056	26.24%	3.513	26.709%	0.1849
Sample55	54	0.872	37.076	68.659%	5.391	50.054%	1.2929
Sample56	89	0.915	44.467	49.963%	6.988	40.824%	0.4635
Sample57	71	0.95	18.999	26.759%	4.484	31.318%	0.2684
Sample58	68	0.937	25.012	36.782%	4.701	34.846%	0.3478
Sample59	107	0.962	39.138	36.578%	6.252	27.603%	0.187
