Samples	SBS1	SBS5	Signature A
Sample1	5	201	0
Sample2	0	0	76
Sample3	0	0	67
Sample4	0	43	45
Sample5	0	22	23
Sample6	0	45	49
Sample7	0	98	87
Sample8	0	0	66
Sample9	1	38	29
Sample10	0	0	72
Sample11	1	30	52
Sample12	0	0	65
Sample13	0	0	62
Sample14	0	0	111
Sample15	0	40	49
Sample16	0	45	50
Sample17	4	33	0
Sample18	10	105	78
Sample19	0	0	68
Sample20	0	0	63
Sample21	0	0	61
Sample22	0	0	68
Sample23	8	117	69
Sample24	0	40	49
Sample25	0	0	71
Sample26	1	26	37
Sample27	0	0	67
Sample28	0	0	66
Sample29	4	22	19
Sample30	0	41	70
Sample31	0	0	71
Sample32	0	0	65
Sample33	7	92	81
Sample34	0	0	64
Sample35	0	0	66
Sample36	0	0	77
Sample37	0	0	71
Sample38	0	0	65
Sample39	10	123	61
Sample40	0	0	67
Sample41	1	38	58
Sample42	0	0	58
Sample43	4	22	19
Sample44	1	41	55
Sample45	3	52	52
Sample46	4	52	47
Sample47	0	0	62
Sample48	4	22	19
Sample49	0	0	64
Sample50	0	0	70
Sample51	0	0	62
Sample52	0	0	89
Sample53	4	22	19
Sample54	0	0	65
Sample55	0	27	27
Sample56	0	0	89
Sample57	0	0	71
Sample58	0	0	68
Sample59	0	50	57
Sample60	0	0	63
Sample61	0	0	67
Sample62	0	46	53
Sample63	0	0	59
Sample64	1	34	68
Sample65	1	40	58
Sample66	0	0	66
Sample67	0	0	60
Sample68	0	32	65
Sample69	0	0	66
Sample70	0	0	72
Sample71	0	0	67
Sample72	0	0	75
Sample73	0	0	65
Sample74	0	0	60
Sample75	0	0	69
Sample76	0	0	67
Sample77	10	108	75
Sample78	0	48	54
Sample79	0	38	55
Sample80	4	22	19
Sample81	0	0	71
Sample82	0	0	62
Sample83	0	43	47
Sample84	0	41	46
Sample85	1	45	51
Sample86	0	43	46
Sample87	0	0	59
Sample88	0	0	89
Sample89	0	0	67
Sample90	0	0	63
Sample91	0	0	65
Sample92	0	0	67
Sample93	0	0	76
Sample94	0	0	88
Sample95	0	0	65
Sample96	0	0	63
Sample97	0	0	66
Sample98	0	52	84
Sample99	2	22	66
Sample100	0	0	65
