Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	0	0	423	0	926	10	217	0	0	0
Sample2	0	669	0	158	299	550	80	0	0	0
Sample3	34	301	0	252	422	25	542	0	0	0
Sample4	397	0	182	0	0	642	0	282	172	1
Sample5	225	0	978	0	15	24	0	334	0	0
Sample6	1225	0	19	103	270	39	0	0	0	0
Sample7	887	657	0	0	0	0	98	0	114	0
Sample8	0	0	0	350	0	183	97	0	1006	0
Sample9	146	549	0	0	82	199	367	0	189	264
Sample10	874	149	308	0	0	345	0	0	0	0
Sample11	0	0	0	610	0	0	579	0	146	261
Sample12	0	271	0	0	0	186	506	516	77	160
Sample13	6	0	0	0	232	57	170	705	406	0
Sample14	487	49	718	0	156	131	55	0	0	0
Sample15	1465	0	0	0	0	0	0	0	0	151
Sample16	0	0	69	516	14	216	64	476	241	0
Sample17	66	0	275	0	574	262	429	0	90	0
Sample18	158	115	183	0	0	308	249	507	0	176
Sample19	0	607	586	0	0	14	0	0	199	210
Sample20	311	0	100	504	257	72	68	237	0	27
Sample21	145	67	227	377	850	10	0	0	0	0
Sample22	226	0	875	271	14	0	61	0	167	22
Sample23	388	879	25	0	0	142	72	43	0	27
Sample24	267	242	0	0	0	65	10	872	0	100
Sample25	638	26	0	486	286	217	83	0	0	0
Sample26	436	583	209	0	342	0	0	0	0	66
Sample27	323	487	321	0	0	66	406	0	0	33
Sample28	463	37	223	197	100	0	0	0	399	157
Sample29	0	194	0	0	77	120	0	306	79	800
Sample30	0	66	399	666	0	410	0	0	4	171
Sample31	0	321	0	12	343	301	698	0	21	0
Sample32	1050	82	0	377	76	10	0	109	0	12
Sample33	0	0	244	515	0	102	220	0	350	285
Sample34	238	1041	109	0	0	0	121	0	187	0
Sample35	602	107	237	96	216	228	34	0	0	156
Sample36	665	80	526	102	31	31	170	0	0	31
Sample37	0	647	0	173	458	462	16	0	0	0
Sample38	0	67	417	737	150	53	0	0	206	106
Sample39	101	785	0	301	238	173	0	61	73	64
Sample40	0	141	127	0	1269	0	55	0	64	0
Sample41	391	0	171	0	14	539	0	295	0	386
Sample42	0	216	1012	145	117	0	0	0	146	0
Sample43	0	0	0	0	0	0	451	1087	0	118
Sample44	82	344	428	0	164	363	151	180	24	0
Sample45	410	494	280	0	482	0	230	0	0	0
Sample46	1146	464	0	0	2	0	0	0	0	164
Sample47	271	488	237	138	70	143	289	0	0	40
Sample48	0	1272	0	374	0	0	7	0	14	9
Sample49	479	375	0	0	0	212	15	390	116	29
Sample50	40	0	0	375	517	253	0	0	0	411
Sample51	0	518	796	317	0	42	1	0	3	19
Sample52	124	0	0	1162	0	15	0	70	185	0
Sample53	432	0	63	287	0	236	656	0	102	0
Sample54	675	4	0	0	43	145	71	142	545	31
Sample55	0	73	0	300	0	69	0	971	163	0
Sample56	203	0	0	485	434	0	208	0	0	306
Sample57	302	656	12	0	0	0	0	139	528	59
Sample58	0	441	456	461	0	0	0	7	131	0
Sample59	0	350	0	0	410	217	0	168	349	122
Sample60	0	339	17	621	90	121	516	0	0	12
Sample61	529	201	560	0	0	15	121	0	0	190
Sample62	0	473	733	0	0	251	0	0	0	219
Sample63	491	848	60	47	21	0	56	0	7	106
