Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	3.38E+00	3.03E+00	1.35E+02	3.98E+01	6.04E+01	2.93E+01	1.48E+02	4.70E+00	1.70E+02	7.18E+01
Sample2	5.20E+01	1.24E+00	4.44E+01	1.42E+02	3.21E+01	1.62E+02	3.90E+01	9.57E+00	7.23E+01	2.95E+01
Sample3	3.18E+00	5.15E+00	7.31E+01	9.29E+01	6.29E+01	5.94E+01	6.99E+01	2.43E+01	4.80E+01	6.79E+01
Sample4	9.67E+01	1.08E+01	4.02E+01	2.75E+00	7.14E+01	3.81E+01	8.20E+01	3.16E+01	5.41E+00	0.00E+00
Sample5	3.13E+00	1.99E+00	6.29E+01	4.99E+01	7.61E+01	7.05E+00	6.60E+01	2.35E+01	2.67E+01	1.88E+00
Sample6	3.21E+00	1.84E+00	7.83E+01	9.81E+00	1.85E+02	1.42E+02	1.71E+01	1.07E+02	7.81E+01	2.50E+01
Sample7	1.56E+00	2.49E+00	7.29E+01	1.14E+02	1.28E+02	7.53E+01	4.74E+01	1.12E+01	4.43E+01	1.03E+02
Sample8	2.69E+01	1.32E+00	6.66E+01	0.00E+00	8.05E+01	8.85E+01	1.25E-01	1.28E+02	2.79E+01	1.28E+01
Sample9	1.93E+01	4.95E+01	6.86E+01	7.84E+01	8.69E+01	5.96E+01	2.62E+00	2.05E+01	1.11E+02	7.34E+01
Sample10	3.46E+01	2.19E+00	6.26E+01	4.94E+01	1.10E+02	4.62E+01	7.94E+01	6.81E-01	8.31E+00	2.38E+00
Sample11	2.52E+00	4.62E+01	7.07E+01	6.86E+01	9.07E+01	1.29E+02	1.50E+01	4.49E+01	8.88E+00	6.51E+01
Sample12	4.22E+01	2.37E+01	1.31E+02	1.39E+02	5.73E+01	2.25E+01	7.41E+01	2.49E+01	4.13E+00	1.41E+02
Sample13	1.81E+01	1.58E+00	4.96E+01	3.87E+00	1.45E+02	3.34E+01	3.12E+00	1.16E+02	1.20E+02	2.72E+01
Sample14	4.01E+01	2.30E+00	6.85E+01	6.25E+01	1.19E+02	5.33E+01	1.43E+02	1.85E+01	6.74E+01	3.38E+01
Sample15	2.81E+00	1.83E+01	3.81E+01	8.75E+00	2.09E+02	1.23E+02	1.78E+01	1.54E+02	2.11E+01	4.17E+00
Sample16	2.11E+01	1.47E+00	5.34E+01	5.97E+01	8.19E+01	5.63E+01	6.56E+01	3.96E+01	2.70E+01	3.11E+01
Sample17	2.75E+01	2.38E+00	8.55E+01	1.91E+01	1.08E+02	2.67E+01	4.90E+01	2.37E+01	1.18E+02	8.60E+01
Sample18	1.28E+01	2.85E+01	1.05E+02	7.55E+01	4.55E+01	6.66E+01	5.36E+01	2.94E+01	4.28E+01	6.01E+01
Sample19	3.21E+00	3.50E+01	7.78E+01	1.29E+02	5.24E+01	3.33E+01	1.02E+02	1.94E+01	3.40E+01	3.80E+01
Sample20	1.47E+00	4.75E+00	8.22E+01	6.07E+01	1.45E+02	1.13E+02	1.74E+01	2.62E+01	1.13E+02	4.14E+01
Sample21	4.02E+00	2.21E+01	9.63E+01	7.69E+01	6.88E+01	1.21E+02	7.59E+01	3.96E+00	1.61E+02	9.66E+00
Sample22	3.75E-01	3.34E+00	5.27E+01	6.72E+01	8.44E+01	6.40E+01	5.65E+01	3.52E+01	1.44E+01	6.44E+00
Sample23	5.51E+00	1.10E+01	1.09E+02	1.56E+02	8.78E+01	3.51E+01	2.42E+01	3.90E+00	3.62E+01	2.71E+01
Sample24	2.62E+00	2.04E+01	9.08E+01	1.01E+02	9.52E+01	4.34E+01	1.36E+02	1.88E+01	7.10E+01	3.37E+01
Sample25	2.04E+01	1.41E+00	9.91E+01	2.72E+01	1.30E+02	1.34E+02	7.80E+00	6.50E+00	1.20E+02	5.49E+01
Sample26	4.64E+00	3.02E+01	7.77E+01	1.30E+02	7.57E+01	1.04E+02	1.31E+02	9.35E+00	6.17E+01	2.06E+01
Sample27	3.30E+01	1.23E+00	2.51E+01	6.90E+01	7.74E+01	2.70E+01	8.10E+01	1.12E+00	3.86E+01	7.24E+01
Sample28	0.00E+00	8.78E+00	6.58E+01	9.07E+00	1.39E+02	1.07E+02	1.17E+01	1.19E+02	7.60E+01	7.48E+00
Sample29	2.85E+01	1.37E+02	6.12E+01	1.04E+02	6.88E+00	0.00E+00	9.04E+00	4.32E+01	8.87E+01	3.02E+01
Sample30	5.27E+01	3.25E+01	2.52E+01	2.78E+01	6.84E+01	8.61E+01	6.89E+01	1.62E+00	7.26E+01	2.32E+01
Sample31	3.11E+01	1.39E+01	6.93E+01	5.88E+01	5.60E+01	6.42E+01	1.25E-01	2.59E+00	8.26E+01	3.19E+01
Sample32	2.81E+00	6.44E+00	9.44E+01	1.03E+01	1.97E+02	1.30E+02	3.86E+00	1.54E+02	1.19E+02	5.62E+01
Sample33	2.70E+01	4.33E+01	4.74E+01	3.16E+01	8.25E+01	7.22E+01	4.76E+01	5.01E+01	0.00E+00	4.08E+01
Sample34	2.07E+00	2.95E+00	8.97E+01	1.60E+02	8.27E+01	3.65E+01	7.03E+01	4.73E+01	3.48E+01	1.04E+02
Sample35	2.61E+01	3.08E+01	8.97E+01	1.12E+00	7.14E+01	1.02E+02	6.38E+01	2.24E+00	5.81E+01	5.12E+01
Sample36	3.19E+00	5.43E+00	7.58E+01	3.96E+01	1.46E+02	1.23E+02	5.86E+01	1.43E+00	5.73E+01	3.90E+01
Sample37	5.75E+01	1.61E+00	5.36E+01	1.53E+02	2.70E+01	1.66E+02	5.20E+01	5.44E+00	8.20E+01	3.63E+01
Sample38	9.07E+00	4.46E+00	1.14E+02	3.87E+01	9.71E+01	1.40E+02	1.10E+02	5.99E+01	1.35E+02	3.72E+01
Sample39	2.57E+01	1.65E+01	5.91E+01	1.11E+02	7.45E+01	6.53E+01	3.16E+01	2.02E+01	5.69E+01	6.65E+00
Sample40	2.74E+00	4.03E+00	1.29E+02	7.17E+01	2.70E+01	4.60E+01	7.10E+01	4.69E+01	1.08E+02	4.58E+01
Sample41	4.71E+01	2.51E+01	4.31E+01	4.73E+01	8.70E+01	4.72E+01	4.43E+01	5.01E+01	6.70E+01	0.00E+00
Sample42	1.90E+00	4.00E+00	8.85E+01	9.67E+01	6.05E+01	5.25E+01	6.53E+01	2.86E+01	4.36E+01	1.80E+00
Sample43	4.35E+00	1.79E+02	1.67E+02	1.73E+01	2.93E+01	1.87E+01	4.87E+01	1.05E+01	2.56E+01	1.72E+02
Sample44	4.86E+01	8.86E+00	4.24E+01	4.99E+01	9.90E+01	6.44E+01	1.49E+01	5.42E+01	1.05E+02	5.71E+01
Sample45	2.81E+00	2.96E+00	7.88E+01	1.31E+02	1.01E+02	8.27E+01	3.69E+01	4.20E+00	1.07E+02	1.09E+02
Sample46	6.47E+00	1.82E+01	3.60E+01	7.43E+01	1.61E+02	1.08E+02	3.76E+01	1.19E+02	7.40E+01	1.21E+00
Sample47	1.75E+01	1.16E+00	5.13E+01	8.41E+01	1.02E+02	9.15E+01	8.80E+01	8.74E+00	5.85E+01	5.60E+01
Sample48	3.10E+00	5.22E+00	5.72E+01	1.01E+02	5.89E+01	8.00E+01	2.80E+01	2.50E+01	4.98E+01	3.57E+01
Sample49	2.33E+01	3.52E+00	5.32E+01	5.10E+01	1.20E+02	6.41E+01	3.84E+00	9.79E+01	3.71E+01	2.20E+01
Sample50	3.14E+01	9.63E+01	4.74E+01	5.06E+01	7.43E+01	6.09E+01	1.63E+01	3.73E+01	1.56E+02	0.00E+00
Sample51	3.16E+00	3.85E+01	2.42E+01	8.86E+01	3.37E+01	6.19E+01	9.99E+01	3.20E+01	1.15E+01	5.00E-01
Sample52	2.79E+00	4.80E+00	5.00E+01	5.77E+01	1.16E+02	1.57E+02	9.62E+00	5.41E+01	1.04E+02	2.40E+01
Sample53	3.06E+01	4.03E+00	7.76E+01	4.12E+01	8.87E+01	1.26E+02	4.60E+01	5.03E+01	2.58E+01	4.03E+01
Sample54	1.92E+01	3.57E+00	6.12E+01	4.07E+00	1.16E+02	5.24E+01	9.91E+00	1.10E+02	4.00E+01	6.73E+00
Sample55	1.94E+01	1.68E+00	6.38E+01	6.53E+01	5.31E+01	6.59E+01	6.46E+01	2.88E+01	4.91E+01	2.67E+01
Sample56	1.14E+00	3.78E+01	5.88E+01	4.82E+01	1.01E+02	8.03E+01	0.00E+00	6.09E+01	4.76E+01	8.92E+01
Sample57	1.56E+00	1.59E+01	3.95E+01	9.67E+01	7.57E+01	7.17E+01	9.14E+01	5.80E+01	2.42E+01	1.12E+00
Sample58	3.22E+00	4.25E+00	4.08E+01	6.78E+01	7.88E+01	6.12E+01	7.50E+01	2.49E+01	8.14E+00	3.90E+00
Sample59	2.18E+01	1.31E+01	8.90E+01	7.06E+01	3.54E+01	2.23E+01	6.92E+01	2.49E+01	8.98E+01	7.14E+00
Sample60	1.17E+01	5.05E+00	5.16E+01	6.73E+01	4.26E+01	8.67E+01	5.07E+00	2.31E+01	3.93E+01	7.00E+01
Sample61	2.88E+00	2.55E+01	6.46E+01	6.38E+01	1.12E+02	7.84E+01	1.01E+02	1.22E+01	2.84E+01	2.73E+00
Sample62	1.27E+01	1.87E+01	3.37E+01	5.89E+01	4.58E+01	2.49E+01	3.91E+01	7.50E-01	4.80E+01	2.84E+01
Sample63	2.82E+00	1.22E+01	2.92E+01	1.26E+02	1.32E+02	8.71E+01	1.93E+01	0.00E+00	7.03E+01	5.38E+01
