Samples	Signature A	Signature B
Sample1	1.97E+02	1.97E+02
Sample2	1.64E+02	1.64E+02
Sample3	1.23E+02	1.23E+02
Sample4	1.75E+02	1.75E+02
Sample5	1.06E+02	1.06E+02
Sample6	8.35E+01	8.35E+01
Sample7	2.62E+01	2.62E+01
Sample8	1.56E+02	1.56E+02
Sample9	7.96E+01	7.96E+01
Sample10	1.44E+02	1.44E+02
Sample11	1.39E+02	1.39E+02
Sample12	1.06E+02	1.06E+02
Sample13	1.50E+02	1.50E+02
Sample14	1.88E+02	1.88E+02
Sample15	4.67E+01	4.67E+01
Sample16	9.88E+01	9.88E+01
Sample17	1.41E+02	1.41E+02
Sample18	7.89E+01	7.89E+01
Sample19	3.48E+01	3.48E+01
Sample20	4.02E+01	4.02E+01
Sample21	1.19E+02	1.19E+02
Sample22	9.50E+01	9.50E+01
Sample23	1.38E+02	1.38E+02
Sample24	8.24E+01	8.24E+01
Sample25	6.41E+01	6.41E+01
Sample26	5.44E+01	5.44E+01
Sample27	1.82E+02	1.82E+02
Sample28	9.48E+01	9.48E+01
Sample29	2.05E+02	2.05E+02
Sample30	1.38E+02	1.38E+02
Sample31	8.18E+01	8.18E+01
Sample32	2.99E+01	2.99E+01
Sample33	9.82E+01	9.82E+01
Sample34	1.19E+01	1.19E+01
Sample35	7.60E+01	7.60E+01
Sample36	8.94E+01	8.94E+01
Sample37	1.64E+02	1.64E+02
Sample38	7.28E+01	7.28E+01
Sample39	6.28E+01	6.28E+01
Sample40	1.51E+02	1.51E+02
Sample41	1.54E+02	1.54E+02
Sample42	1.07E+02	1.07E+02
Sample43	1.63E+02	1.63E+02
Sample44	8.44E+01	8.44E+01
Sample45	2.94E+01	2.94E+01
Sample46	6.79E+01	6.79E+01
Sample47	5.00E+01	5.00E+01
Sample48	6.84E+01	6.84E+01
Sample49	3.79E+01	3.79E+01
Sample50	1.52E+02	1.52E+02
Sample51	1.23E+02	1.23E+02
Sample52	1.79E+01	1.79E+01
Sample53	7.69E+01	7.69E+01
Sample54	1.11E+02	1.11E+02
Sample55	5.93E+01	5.93E+01
Sample56	1.47E+02	1.47E+02
Sample57	9.18E+01	9.18E+01
Sample58	5.34E+01	5.34E+01
Sample59	1.04E+02	1.04E+02
Sample60	1.11E+02	1.11E+02
Sample61	4.36E+01	4.36E+01
Sample62	1.34E+02	1.34E+02
Sample63	1.94E+01	1.94E+01
