Samples	Signature A	Signature B	Signature C
Sample1	984	555	37
Sample2	217	1539	0
Sample3	884	215	477
Sample4	87	1508	81
Sample5	1204	372	0
Sample6	1461	99	96
Sample7	1494	0	262
Sample8	0	157	1479
Sample9	192	505	1099
Sample10	901	775	0
Sample11	355	0	1241
Sample12	282	624	810
Sample13	190	0	1386
Sample14	1009	587	0
Sample15	929	0	687
Sample16	642	451	503
Sample17	443	1112	141
Sample18	130	900	666
Sample19	1227	158	231
Sample20	1173	235	168
Sample21	1346	330	0
Sample22	1453	179	4
Sample23	961	615	0
Sample24	660	66	830
Sample25	1280	456	0
Sample26	1554	0	82
Sample27	1187	407	42
Sample28	1001	0	575
Sample29	0	763	813
Sample30	661	1055	0
Sample31	444	873	379
Sample32	1581	0	135
Sample33	319	331	1066
Sample34	1469	0	227
Sample35	956	720	0
Sample36	1397	239	0
Sample37	322	1434	0
Sample38	1308	237	191
Sample39	1004	488	304
Sample40	1007	240	409
Sample41	112	1484	200
Sample42	1455	181	0
Sample43	0	0	1656
Sample44	739	997	0
Sample45	1721	175	0
Sample46	1339	0	437
Sample47	1171	505	0
Sample48	1676	0	0
Sample49	693	545	378
Sample50	110	1012	474
Sample51	1520	176	0
Sample52	1194	0	362
Sample53	556	527	693
Sample54	327	221	1108
Sample55	739	0	837
Sample56	701	0	935
Sample57	894	0	802
Sample58	1417	0	79
Sample59	281	671	664
Sample60	1151	489	76
Sample61	1341	212	63
Sample62	858	818	0
Sample63	1405	0	231
