Samples	Signature A	Signature B	Signature C	Signature D
Sample1	1.66E+02	8.12E+01	1.22E+02	9.62E+01
Sample2	1.44E+02	1.21E+02	2.36E+01	6.46E+01
Sample3	1.00E+02	7.60E+01	1.25E+02	1.37E+02
Sample4	1.68E+02	1.14E+02	6.83E+01	1.54E+02
Sample5	5.73E+01	2.01E+02	1.27E+02	1.20E+02
Sample6	9.45E+00	9.19E+01	1.30E+02	1.22E+02
Sample7	1.57E+01	6.04E+01	9.76E+01	5.38E+01
Sample8	8.13E+01	1.24E+01	1.26E+02	1.56E+02
Sample9	5.78E+01	1.15E+02	9.87E+01	1.28E+02
Sample10	5.36E+01	9.86E+01	8.10E+01	1.01E+02
Sample11	7.23E+01	5.65E+01	1.85E+02	1.75E+02
Sample12	8.85E+01	1.46E+02	1.37E+02	1.04E+02
Sample13	6.68E+01	5.34E+01	9.37E+01	6.10E+01
Sample14	7.39E+01	9.67E+01	4.72E+01	2.98E+01
Sample15	2.44E+01	2.20E+02	2.23E+02	6.36E+01
Sample16	5.62E+01	1.12E+02	6.69E+01	1.12E+02
Sample17	1.20E+02	5.49E+01	1.21E+02	6.31E+01
Sample18	7.21E+01	8.57E+01	7.41E+01	1.01E+02
Sample19	1.34E+01	8.48E+01	9.38E+01	9.49E+01
Sample20	1.69E+01	1.13E+02	1.51E+02	1.46E+02
Sample21	1.83E+02	1.85E+02	8.89E+01	5.19E+01
Sample22	4.87E+01	2.14E+02	1.45E+02	1.89E+02
Sample23	3.56E+01	1.56E+02	1.70E+02	6.93E+01
Sample24	5.32E+01	8.61E+01	3.79E+01	8.02E+01
Sample25	5.43E+01	6.36E+01	9.76E+01	7.08E+01
Sample26	3.46E+01	1.02E+02	1.10E+02	5.20E+01
Sample27	9.77E+01	1.14E+02	1.94E+01	6.74E+01
Sample28	0.00E+00	6.83E+01	1.27E+02	7.70E+01
Sample29	1.92E+02	5.30E+01	5.40E+01	2.15E+02
Sample30	9.96E+01	1.06E+02	1.16E+02	1.40E+02
Sample31	1.20E+02	9.52E+01	1.12E+02	1.05E+02
Sample32	4.07E+00	1.35E+02	2.14E+02	1.39E+02
Sample33	6.20E+01	1.26E+02	1.13E+02	1.12E+02
Sample34	6.17E+00	9.06E+01	1.02E+02	6.22E+01
Sample35	4.57E+01	7.38E+01	1.01E+02	9.20E+01
Sample36	4.59E+01	1.35E+02	1.24E+02	2.79E+01
Sample37	1.72E+02	1.50E+02	4.39E+01	5.04E+01
Sample38	3.54E+01	2.63E+01	1.09E+02	1.07E+02
Sample39	8.62E+01	1.17E+02	8.44E+01	5.22E+01
Sample40	1.41E+02	1.27E+02	1.14E+02	6.05E+01
Sample41	1.09E+02	6.41E+01	7.10E+01	1.55E+02
Sample42	5.68E+01	1.71E+02	3.89E+01	1.73E+02
Sample43	1.14E+02	1.45E+02	1.40E+02	1.25E+02
Sample44	4.95E+01	1.03E+02	8.39E+01	4.66E+01
Sample45	1.50E+01	1.31E+02	1.61E+02	5.35E+01
Sample46	1.66E+01	1.70E+02	1.85E+02	4.63E+01
Sample47	6.28E+01	1.05E+02	6.30E+01	2.12E+00
Sample48	3.11E+01	9.16E+01	1.03E+02	5.02E+01
Sample49	2.89E+01	9.57E+01	1.16E+02	3.17E+01
Sample50	1.39E+02	1.01E+02	5.10E+01	1.05E+02
Sample51	3.70E+01	1.58E+02	1.23E+02	1.45E+02
Sample52	8.61E+00	1.85E+02	2.11E+02	1.77E+02
Sample53	7.02E+01	9.18E+01	1.35E+02	1.56E+02
Sample54	4.77E+01	1.00E+02	1.36E+02	1.13E+02
Sample55	4.88E+01	6.62E+01	7.80E+01	8.17E+01
Sample56	6.66E+01	1.02E+02	1.18E+02	1.05E+02
Sample57	1.76E+01	1.08E+02	1.46E+02	6.55E+01
Sample58	5.54E+00	1.27E+02	3.34E+01	1.34E+02
Sample59	7.62E+01	7.86E+01	7.59E+01	3.96E+01
Sample60	1.01E+02	1.41E+02	1.73E+02	1.22E+02
Sample61	4.77E+00	1.09E+02	1.30E+02	4.31E+01
Sample62	5.07E+01	7.73E+01	1.96E+01	7.54E+01
Sample63	6.37E+00	4.65E+01	4.08E+01	3.51E+01
