Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample1	0	1396	0	180	0
Sample2	412	0	142	1142	60
Sample3	0	1459	0	0	117
Sample4	0	0	429	1187	60
Sample5	1084	208	0	284	0
Sample6	547	972	106	31	0
Sample7	1300	0	441	0	15
Sample8	0	0	1533	103	0
Sample9	104	343	520	323	506
Sample10	964	0	0	712	0
Sample11	0	500	714	0	382
Sample12	0	459	289	270	698
Sample13	0	321	1173	82	0
Sample14	1050	15	0	531	0
Sample15	650	365	493	0	108
Sample16	372	171	620	429	4
Sample17	0	912	0	784	0
Sample18	44	373	323	589	367
Sample19	1001	0	52	0	563
Sample20	163	1268	0	47	98
Sample21	707	824	0	67	78
Sample22	1219	162	123	132	0
Sample23	892	0	0	243	441
Sample24	574	233	466	90	193
Sample25	399	978	0	359	0
Sample26	1414	37	0	0	185
Sample27	648	664	0	147	177
Sample28	758	0	672	0	146
Sample29	0	0	0	32	1544
Sample30	608	0	0	812	296
Sample31	0	1044	0	558	94
Sample32	755	658	171	0	132
Sample33	102	225	718	293	378
Sample34	1382	0	314	0	0
Sample35	756	175	0	508	237
Sample36	980	428	0	179	49
Sample37	440	182	0	987	147
Sample38	965	0	395	75	301
Sample39	974	0	366	268	188
Sample40	438	1167	0	25	26
Sample41	144	0	50	974	628
Sample42	1424	0	83	129	0
Sample43	0	433	943	0	280
Sample44	681	0	144	815	96
Sample45	1085	668	0	32	111
Sample46	1200	0	302	0	274
Sample47	817	427	0	280	152
Sample48	1458	0	57	0	161
Sample49	536	0	437	359	284
Sample50	0	348	39	441	768
Sample51	1471	0	0	95	130
Sample52	337	728	491	0	0
Sample53	0	843	507	426	0
Sample54	151	0	1220	262	23
Sample55	565	0	847	164	0
Sample56	0	1173	46	0	417
Sample57	863	0	831	0	2
Sample58	1248	0	248	0	0
Sample59	340	0	589	415	272
Sample60	169	1255	0	173	119
Sample61	1233	30	0	85	268
Sample62	830	0	0	474	372
Sample63	1338	0	137	0	161
