Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample1	1.92E+01	1.70E+02	4.06E+01	8.55E+01	1.23E+02
Sample2	4.89E+00	1.75E+02	8.06E+00	1.46E+02	1.56E+02
Sample3	1.12E+01	1.82E+02	1.13E+02	8.04E+01	1.27E+02
Sample4	1.12E+02	8.67E+01	8.35E+01	7.52E+01	1.78E+02
Sample5	1.50E+00	1.19E+02	3.98E+01	1.40E+02	9.65E+01
Sample6	3.02E+00	1.77E+02	1.69E+02	1.99E+02	2.53E+00
Sample7	6.55E+01	7.69E+01	1.91E+01	5.66E+01	5.12E+01
Sample8	3.38E+00	7.03E+01	8.90E+01	3.87E+00	3.79E+01
Sample9	4.75E+01	1.41E+02	8.74E+01	3.28E+01	1.09E+02
Sample10	3.82E+01	7.40E+01	5.32E+01	1.20E+02	1.38E+02
Sample11	4.45E+01	1.64E+02	1.68E+02	9.65E+01	8.12E+01
Sample12	8.42E+01	1.40E+02	5.41E+01	9.33E+01	9.06E+01
Sample13	1.92E+00	1.33E+02	1.22E+02	6.69E+01	2.99E+01
Sample14	4.34E+00	1.09E+02	3.75E+01	1.21E+02	7.14E+01
Sample15	5.88E+01	1.48E+02	1.62E+02	2.05E+02	8.07E+00
Sample16	1.08E+01	8.96E+01	6.05E+01	1.06E+02	7.57E+01
Sample17	1.20E+01	1.13E+02	5.69E+01	3.58E+01	1.19E+02
Sample18	3.78E+01	1.38E+02	1.05E+02	7.97E+01	5.55E+01
Sample19	5.55E+01	8.62E+01	1.94E+01	7.36E+01	5.52E+01
Sample20	4.31E+00	1.51E+02	6.32E+01	1.65E+02	2.23E+00
Sample21	4.16E+01	1.97E+02	8.79E+01	1.29E+02	1.29E+02
Sample22	4.48E+00	1.84E+02	4.45E+01	1.63E+02	7.49E+01
Sample23	1.09E+02	7.12E+01	1.13E+02	1.14E+02	5.83E+01
Sample24	2.52E+01	1.30E+02	3.84E+01	1.12E+02	3.50E+01
Sample25	4.04E+00	1.52E+02	1.12E+02	1.26E+02	6.11E+01
Sample26	7.28E+01	9.50E+01	8.65E+00	7.86E+01	3.39E+01
Sample27	5.65E+00	8.90E+01	0.00E+00	1.51E+02	9.10E+01
Sample28	3.09E+01	1.48E+02	1.40E+02	1.31E+02	1.50E+00
Sample29	4.91E+01	1.06E+01	5.94E+00	3.87E+00	5.09E+01
Sample30	5.74E+01	1.32E+02	1.48E+01	1.01E+02	1.12E+02
Sample31	4.63E+01	1.62E+02	4.05E+01	8.36E+01	1.53E+02
Sample32	6.29E+01	2.29E+02	2.07E+02	2.29E+02	1.91E+00
Sample33	7.92E+01	1.21E+02	1.10E+02	7.97E+01	4.97E+01
Sample34	3.42E+01	1.30E+02	4.20E+01	1.10E+02	3.49E+00
Sample35	7.72E+01	9.98E+01	2.69E+01	7.01E+01	7.88E+01
Sample36	2.26E+01	1.17E+02	8.17E+01	1.29E+02	3.11E+01
Sample37	5.51E+00	1.94E+02	9.53E+00	1.75E+02	1.64E+02
Sample38	4.98E+01	1.67E+02	1.03E+02	1.34E+02	3.22E+01
Sample39	2.20E+01	1.05E+02	4.48E+01	1.17E+02	6.92E+01
Sample40	7.17E+00	1.09E+02	9.90E+01	5.72E+01	6.50E+01
Sample41	8.14E+01	9.05E+01	6.26E+01	8.14E+01	1.15E+02
Sample42	3.46E+00	1.45E+02	5.18E+01	1.82E+02	1.20E+02
Sample43	5.15E+01	1.54E+02	1.42E+02	5.60E+01	7.91E+01
Sample44	9.57E+00	1.23E+02	1.40E+02	1.31E+02	8.10E+01
Sample45	6.76E+01	7.37E+01	2.17E+01	8.03E+01	5.53E+01
Sample46	4.42E+01	1.45E+02	1.51E+02	1.72E+02	1.52E+01
Sample47	5.61E+00	7.29E+01	5.18E+01	6.61E+01	7.48E+01
Sample48	7.76E+01	6.63E+01	3.73E+01	9.93E+01	2.81E+01
Sample49	3.10E+01	1.18E+02	1.24E+02	1.21E+02	2.73E+01
Sample50	5.06E+01	4.89E+01	7.56E+01	2.63E+01	6.38E+01
Sample51	9.93E+00	1.38E+02	4.42E+01	1.37E+02	7.93E+01
Sample52	1.00E+00	1.71E+02	1.09E+02	1.71E+02	8.04E+00
Sample53	3.21E+01	1.72E+02	1.22E+02	5.25E+01	6.39E+01
Sample54	4.89E+00	9.69E+01	9.57E+01	1.23E+02	3.56E+01
Sample55	2.32E+01	9.21E+01	6.28E+01	8.33E+01	6.91E+01
Sample56	7.42E+01	7.16E+01	1.37E+02	1.12E+02	9.80E+01
Sample57	3.57E+01	1.12E+02	6.58E+01	7.22E+01	6.16E+00
Sample58	5.50E+00	1.24E+02	2.17E+01	1.34E+02	8.85E+01
Sample59	5.02E+01	1.13E+02	7.29E+01	1.03E+02	6.64E+01
Sample60	4.44E+01	1.84E+02	1.15E+02	1.05E+02	9.79E+01
Sample61	4.06E+01	1.06E+02	5.17E+01	8.72E+01	3.43E+01
Sample62	3.33E+01	7.36E+01	0.00E+00	1.31E+02	9.06E+01
Sample63	1.86E+01	3.40E+01	1.99E+01	3.24E+01	9.00E+00
