Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample1	19	94	1160	216	87	0
Sample2	884	0	0	0	872	0
Sample3	921	65	0	511	39	40
Sample4	0	281	90	171	1080	54
Sample5	0	259	1218	0	98	1
Sample6	0	1586	0	0	70	0
Sample7	1208	417	0	131	0	0
Sample8	0	68	287	978	303	0
Sample9	703	0	0	566	223	304
Sample10	300	776	0	0	600	0
Sample11	289	36	0	938	0	333
Sample12	460	0	0	633	263	360
Sample13	0	126	524	902	0	24
Sample14	248	352	684	0	312	0
Sample15	0	1209	0	254	0	153
Sample16	0	255	726	280	288	47
Sample17	302	297	0	483	583	31
Sample18	165	0	249	569	465	248
Sample19	683	42	514	0	0	377
Sample20	0	1196	0	191	116	73
Sample21	288	478	869	0	0	41
Sample22	0	355	1247	0	0	34
Sample23	1247	0	0	0	213	116
Sample24	249	0	801	329	0	177
Sample25	298	1107	0	0	331	0
Sample26	1000	280	235	0	0	121
Sample27	1102	164	0	152	149	69
Sample28	0	1318	59	0	0	199
Sample29	108	107	0	0	124	1237
Sample30	279	502	0	0	724	211
Sample31	573	0	0	641	470	12
Sample32	110	1600	0	0	0	6
Sample33	0	355	210	528	196	427
Sample34	1608	0	0	88	0	0
Sample35	419	666	0	0	421	170
Sample36	337	1128	0	0	141	30
Sample37	961	0	0	0	749	46
Sample38	99	1184	152	0	80	221
Sample39	1435	0	0	32	241	88
Sample40	314	0	1229	59	0	54
Sample41	0	458	0	0	818	520
Sample42	0	0	1636	0	0	0
Sample43	0	0	0	1410	0	246
Sample44	417	484	0	132	650	53
Sample45	1254	601	0	0	18	23
Sample46	611	835	133	0	0	197
Sample47	971	346	0	33	254	72
Sample48	1676	0	0	0	0	0
Sample49	556	450	0	156	329	125
Sample50	374	78	163	0	407	574
Sample51	604	495	417	0	70	110
Sample52	0	1260	0	275	21	0
Sample53	0	299	0	1042	435	0
Sample54	0	392	358	684	202	20
Sample55	0	67	998	503	8	0
Sample56	120	715	0	400	0	401
Sample57	605	217	739	49	0	86
Sample58	446	86	958	0	0	6
Sample59	384	0	611	90	279	252
Sample60	930	360	0	241	176	9
Sample61	285	407	684	0	0	240
Sample62	725	116	101	0	446	288
Sample63	1358	165	0	12	0	101
