Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	0	19	868	682	7	0	0
Sample2	657	0	0	363	736	0	0
Sample3	435	404	0	735	0	0	2
Sample4	0	0	513	0	823	287	53
Sample5	0	77	1498	0	0	0	1
Sample6	0	1512	43	0	88	13	0
Sample7	1055	443	0	39	0	219	0
Sample8	52	0	0	0	181	1403	0
Sample9	634	0	0	520	238	167	237
Sample10	104	752	328	0	492	0	0
Sample11	326	166	0	354	0	496	254
Sample12	347	0	189	517	142	222	299
Sample13	40	366	0	515	41	591	23
Sample14	169	107	1027	41	252	0	0
Sample15	0	1308	0	54	0	137	117
Sample16	222	58	498	25	244	508	41
Sample17	124	65	269	752	431	10	45
Sample18	65	0	480	450	328	178	195
Sample19	770	0	462	0	0	61	323
Sample20	0	919	322	130	50	87	68
Sample21	336	496	624	112	32	39	37
Sample22	109	92	1227	0	0	185	23
Sample23	1081	0	99	90	199	0	107
Sample24	367	35	406	402	30	195	121
Sample25	190	1183	0	19	344	0	0
Sample26	690	509	299	54	0	0	84
Sample27	607	123	435	376	63	0	32
Sample28	99	972	0	0	0	300	205
Sample29	223	0	129	0	123	0	1101
Sample30	323	210	426	0	565	0	192
Sample31	338	73	0	921	364	0	0
Sample32	61	1581	0	0	11	63	0
Sample33	0	69	481	168	96	539	363
Sample34	1478	0	21	0	0	197	0
Sample35	247	627	219	59	374	0	150
Sample36	43	1000	463	21	73	0	36
Sample37	678	0	0	394	615	0	69
Sample38	158	849	252	0	50	207	220
Sample39	1131	56	0	134	257	158	60
Sample40	451	0	520	612	0	0	73
Sample41	0	417	246	0	678	0	455
Sample42	332	0	1178	0	0	126	0
Sample43	0	0	95	1082	0	290	189
Sample44	367	207	430	138	518	1	75
Sample45	745	491	317	304	27	0	12
Sample46	598	868	55	0	30	53	172
Sample47	592	475	110	247	201	0	51
Sample48	1604	0	0	0	0	72	0
Sample49	465	457	0	106	302	174	112
Sample50	295	323	0	22	398	57	501
Sample51	567	99	950	0	0	0	80
Sample52	0	762	249	0	0	545	0
Sample53	0	148	341	569	232	486	0
Sample54	64	469	0	178	181	733	31
Sample55	323	113	228	408	79	425	0
Sample56	0	884	0	418	0	0	334
Sample57	806	323	0	0	0	493	74
Sample58	736	0	543	0	0	217	0
Sample59	557	0	51	132	331	310	235
Sample60	563	573	0	435	145	0	0
Sample61	216	469	717	13	6	0	195
Sample62	468	0	670	0	315	0	223
Sample63	1158	174	96	102	0	22	84
