Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	1.96E+00	7.29E+01	1.58E+01	6.30E+01	7.26E+01	3.52E+00	3.91E+01	8.58E+01	1.33E+01
Sample2	8.04E+01	8.36E+01	1.57E+02	5.02E+01	1.46E+02	7.56E-01	1.42E+01	2.25E+01	1.21E+01
Sample3	2.50E+00	8.47E+01	5.66E+01	4.34E+01	7.46E+01	1.59E+00	4.27E+01	8.51E+01	1.50E+01
Sample4	7.52E+01	6.37E+00	0.00E+00	4.26E+01	1.01E+02	1.23E+01	6.10E+01	1.36E+01	3.62E+01
Sample5	1.03E+01	9.69E+01	2.59E+01	7.27E+01	1.29E+02	2.22E+00	1.14E+02	4.61E+01	2.32E+01
Sample6	1.13E+01	5.01E+01	1.29E+01	1.62E+02	1.87E+01	1.64E+01	1.45E+02	4.15E+01	1.34E+02
Sample7	2.12E+00	3.31E+00	1.25E+02	8.99E+01	3.52E+01	4.77E+00	1.65E+02	4.36E+01	2.11E+01
Sample8	8.37E+01	3.34E+01	3.87E+00	4.33E+01	2.68E+01	1.19E+01	8.11E+01	6.33E+01	1.46E+02
Sample9	5.58E+01	4.53E+01	6.57E+01	5.25E+01	3.35E+01	6.60E+01	9.01E+01	6.08E+01	7.40E+01
Sample10	7.70E+01	6.92E+00	4.09E+01	7.82E+01	1.08E+02	2.29E+00	5.90E+01	3.85E+01	0.00E+00
Sample11	3.57E+00	3.80E+01	1.00E+02	2.68E+01	0.00E+00	3.93E+01	9.20E+01	1.20E+02	6.85E+01
Sample12	3.14E+01	6.52E+00	1.30E+02	5.00E+00	6.65E+01	4.66E+01	8.17E+01	1.33E+02	2.93E+01
Sample13	2.55E+01	9.76E+01	2.11E+01	9.80E+01	1.37E+02	9.93E+00	1.75E+00	7.87E+00	1.10E+02
Sample14	5.40E+01	1.02E+02	3.17E+01	9.54E+01	1.14E+02	8.53E+00	1.33E+02	2.56E+01	1.78E+01
Sample15	3.00E+00	1.62E+00	2.50E-01	2.15E+02	4.64E+01	4.82E+01	1.63E+02	2.31E+01	1.16E+02
