Samples	Signature A
Sample1	1576
Sample2	1756
Sample3	1576
Sample4	1676
Sample5	1576
Sample6	1656
Sample7	1756
Sample8	1636
Sample9	1796
Sample10	1676
Sample11	1596
Sample12	1716
Sample13	1576
Sample14	1596
Sample15	1616
Sample16	1596
Sample17	1696
Sample18	1696
Sample19	1616
Sample20	1576
Sample21	1676
Sample22	1636
Sample23	1576
Sample24	1556
Sample25	1736
Sample26	1636
Sample27	1636
Sample28	1576
Sample29	1576
Sample30	1716
Sample31	1696
Sample32	1716
Sample33	1716
Sample34	1696
Sample35	1676
Sample36	1636
Sample37	1756
Sample38	1736
Sample39	1796
Sample40	1656
Sample41	1796
Sample42	1636
Sample43	1656
Sample44	1736
Sample45	1896
Sample46	1776
Sample47	1676
Sample48	1676
Sample49	1616
Sample50	1596
Sample51	1696
Sample52	1556
Sample53	1776
Sample54	1656
Sample55	1576
Sample56	1636
Sample57	1696
Sample58	1496
Sample59	1616
Sample60	1716
Sample61	1616
Sample62	1676
Sample63	1636
