Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	79	0.84	49.746	62.97%	7.473	55.856%	0.3855
Sample2	110	0.92	49.187	44.715%	7.423	39.565%	0.2482
Sample3	140	0.926	61.068	43.62%	9.18	38.052%	0.2303
Sample4	181	0.955	62.984	34.798%	9.511	29.824%	0.1659
Sample5	202	0.949	76.22	37.733%	11.523	31.74%	0.1675
Sample6	237	0.959	79.381	33.494%	12.308	28.394%	0.1426
Sample7	314	0.98	75.855	24.158%	11.23	19.958%	0.0731
Sample8	341	0.983	75.448	22.126%	11.192	18.096%	0.0683
Sample9	369	0.985	78.442	21.258%	11.45	17.128%	0.0669
Sample10	398	0.988	75.249	18.907%	11.102	15.164%	0.0611
Sample11	432	0.989	79.717	18.453%	11.69	14.624%	0.0588
Sample12	455	0.989	84.053	18.473%	12.624	14.893%	0.057
Sample13	481	0.991	82.906	17.236%	12.003	13.371%	0.0536
Sample14	525	0.992	85.993	16.38%	12.524	12.815%	0.047
Sample15	562	0.991	95.491	16.991%	13.965	13.199%	0.0447
Sample16	599	0.99	99.843	16.668%	16.009	14.04%	0.0442
Sample17	611	0.992	96.861	15.853%	14.931	12.924%	0.0436
Sample18	685	0.994	93.583	13.662%	13.962	10.919%	0.0342
Sample19	715	0.995	88.671	12.402%	13.118	9.83%	0.032
Sample20	741	0.996	86.644	11.693%	12.85	9.252%	0.0312
Sample21	765	0.996	85.536	11.181%	12.522	8.681%	0.0301
Sample22	796	0.996	85.611	10.755%	12.725	8.413%	0.0291
Sample23	871	0.996	91.202	10.471%	14.16	8.636%	0.0259
Sample24	905	0.996	98.314	10.863%	15.577	9.098%	0.0253
Sample25	934	0.996	94.773	10.147%	15.114	8.532%	0.0241
Sample26	959	0.996	95.079	9.914%	15.302	8.425%	0.0243
Sample27	989	0.997	96.209	9.728%	15.027	8.017%	0.0247
Sample28	1018	0.997	95.613	9.392%	14.853	7.679%	0.0232
Sample29	1041	0.997	99.786	9.586%	15.5	7.85%	0.0212
Sample30	1084	0.997	98.714	9.106%	14.657	7.154%	0.0207
Sample31	1113	0.998	96.598	8.679%	13.847	6.573%	0.0207
Sample32	1139	0.998	95.595	8.393%	13.382	6.187%	0.0203
Sample33	1210	0.998	97.633	8.069%	14.539	6.362%	0.0181
Sample34	1239	0.998	101.507	8.193%	14.901	6.343%	0.0178
Sample35	1268	0.998	100.277	7.908%	14.903	6.182%	0.0161
Sample36	1299	0.998	106.597	8.206%	15.637	6.314%	0.016
Sample37	1328	0.998	109.621	8.255%	16.274	6.413%	0.0161
Sample38	1356	0.998	112.021	8.261%	16.939	6.523%	0.0159
Sample39	1439	0.998	112.038	7.786%	16.737	6.139%	0.016
Sample40	1468	0.998	116.244	7.919%	17.295	6.207%	0.0158
Sample41	1509	0.998	115.416	7.649%	17.575	6.132%	0.0154
Sample42	1533	0.998	120.361	7.851%	18.317	6.273%	0.0153
Sample43	1556	0.998	126.078	8.103%	19.313	6.523%	0.0144
Sample44	1595	0.998	121.07	7.591%	19.078	6.268%	0.0137
Sample45	1639	0.998	123.895	7.559%	19.82	6.338%	0.0135
Sample46	1677	0.998	121.529	7.247%	20.463	6.389%	0.0127
Sample47	1707	0.998	120.439	7.056%	19.607	6.012%	0.0118
Sample48	1730	0.998	127.071	7.345%	21.071	6.381%	0.0116
Sample49	1759	0.998	121.495	6.907%	20.703	6.171%	0.0107
Sample50	1789	0.998	124.046	6.934%	21.089	6.164%	0.0106
Sample51	1819	0.998	127.267	6.997%	21.253	6.091%	0.0105
Sample52	1852	0.998	127.557	6.888%	20.593	5.793%	0.0106
Sample53	1875	0.998	136.775	7.295%	22.716	6.316%	0.0108
Sample54	1900	0.998	136.84	7.202%	23.024	6.306%	0.0106
Sample55	1924	0.998	139.949	7.274%	23.322	6.306%	0.0105
Sample56	1960	0.998	137.681	7.025%	22.351	5.922%	0.0102
Sample57	1989	0.998	136.434	6.859%	22.365	5.832%	0.0099
Sample58	2020	0.998	133.325	6.6%	22.357	5.745%	0.0092
Sample59	2066	0.998	133.012	6.438%	22.259	5.59%	0.0089
Sample60	2092	0.999	131.045	6.264%	22.368	5.547%	0.0081
Sample61	2122	0.998	133.951	6.312%	23.145	5.661%	0.0083
Sample62	2163	0.999	133.745	6.183%	22.559	5.411%	0.0079
Sample63	2188	0.999	132.851	6.072%	22.337	5.291%	0.0078
Sample64	2226	0.999	132.942	5.972%	22.767	5.291%	0.0077
Sample65	2272	0.999	135.175	5.95%	22.272	5.083%	0.008
Sample66	2303	0.999	133.788	5.809%	21.947	4.937%	0.0078
Sample67	2328	0.999	133.267	5.725%	21.823	4.852%	0.0078
Sample68	2369	0.999	128.372	5.419%	20.962	4.568%	0.0071
Sample69	2396	0.999	129.785	5.417%	20.589	4.432%	0.007
Sample70	2424	0.999	132.829	5.48%	21.259	4.521%	0.007
Sample71	2455	0.999	132.125	5.382%	21.256	4.465%	0.0069
Sample72	2493	0.999	133.66	5.361%	21.652	4.476%	0.0069
Sample73	2523	0.999	135.646	5.376%	22.342	4.557%	0.0068
Sample74	2551	0.999	137.059	5.373%	22.11	4.457%	0.0068
Sample75	2582	0.999	140.239	5.431%	22.579	4.496%	0.0069
Sample76	2610	0.999	136.527	5.231%	22.009	4.333%	0.0066
Sample77	2686	0.999	128.234	4.774%	21.038	4.04%	0.0048
Sample78	2726	0.999	124.787	4.578%	21.092	3.997%	0.0042
Sample79	2766	0.999	120.025	4.339%	21.038	3.924%	0.0039
