Samples	Signature A	Signature B	Signature C
Sample1	0	0	79
Sample2	0	0	110
Sample3	4	18	118
Sample4	0	57	124
Sample5	0	65	137
Sample6	0	103	134
Sample7	68	90	156
Sample8	59	125	157
Sample9	103	108	158
Sample10	98	153	147
Sample11	59	222	151
Sample12	0	304	151
Sample13	0	341	140
Sample14	26	335	164
Sample15	0	393	169
Sample16	0	425	174
Sample17	0	441	170
Sample18	279	231	175
Sample19	268	276	171
Sample20	203	367	171
Sample21	174	422	169
Sample22	131	501	164
Sample23	279	424	168
Sample24	257	485	163
Sample25	195	577	162
Sample26	252	536	171
Sample27	276	543	170
Sample28	223	628	167
Sample29	104	766	171
Sample30	240	669	175
Sample31	272	673	168
Sample32	275	700	164
Sample33	422	611	177
Sample34	364	704	171
Sample35	360	742	166
Sample36	326	805	168
Sample37	308	852	168
Sample38	296	900	160
Sample39	562	694	183
Sample40	539	753	176
Sample41	519	809	181
Sample42	467	887	179
Sample43	349	1025	182
Sample44	298	1117	180
Sample45	285	1170	184
Sample46	309	1186	182
Sample47	286	1243	178
Sample48	167	1382	181
Sample49	148	1433	178
Sample50	65	1543	181
Sample51	30	1611	178
Sample52	75	1605	172
Sample53	0	1702	173
Sample54	0	1736	164
Sample55	0	1758	166
Sample56	0	1801	159
Sample57	0	1839	150
Sample58	0	1869	151
Sample59	0	1904	162
Sample60	0	1936	156
Sample61	0	1969	153
Sample62	0	2001	162
Sample63	0	2031	157
Sample64	0	2066	160
Sample65	0	2111	161
Sample66	0	2143	160
Sample67	0	2174	154
Sample68	0	2222	147
Sample69	0	2256	140
Sample70	0	2288	136
Sample71	0	2318	137
Sample72	0	2357	136
Sample73	0	2391	132
Sample74	0	2427	124
Sample75	0	2464	118
Sample76	0	2495	115
Sample77	0	2559	127
Sample78	0	2592	134
Sample79	0	2640	126
Sample80	0	2666	123
Sample81	0	2696	124
Sample82	0	2717	129
Sample83	0	2757	123
Sample84	0	2800	116
Sample85	0	2841	116
Sample86	0	2876	116
Sample87	0	2904	112
Sample88	0	2947	104
Sample89	0	2976	106
Sample90	0	3012	97
Sample91	0	3048	94
Sample92	0	3082	89
Sample93	0	3111	90
Sample94	0	3149	88
Sample95	0	3192	75
Sample96	0	3220	73
Sample97	0	3254	68
Sample98	0	3301	70
Sample99	0	3331	81
Sample100	0	3365	75
Sample101	0	3397	73
Sample102	0	3430	75
Sample103	0	3464	68
Sample104	0	3477	83
Sample105	0	3522	82
Sample106	0	3552	83
Sample107	0	3583	82
Sample108	0	3616	77
Sample109	0	3644	75
Sample110	0	3685	81
Sample111	0	3748	94
Sample112	0	3784	88
Sample113	0	3810	85
Sample114	0	3842	92
Sample115	0	3882	87
Sample116	0	3917	82
Sample117	0	3950	79
Sample118	0	3983	77
Sample119	0	4030	102
Sample120	0	4070	92
Sample121	0	4102	89
Sample122	0	4138	84
Sample123	0	4137	104
Sample124	0	4174	105
Sample125	0	4205	111
Sample126	0	4245	105
Sample127	0	4245	105
Sample128	0	4274	109
Sample129	0	4307	99
Sample130	0	4334	98
Sample131	0	4361	98
Sample132	0	4394	91
Sample133	0	4427	88
Sample134	0	4466	75
Sample135	0	4493	79
Sample136	0	4528	74
Sample137	0	4558	69
Sample138	0	4610	58
Sample139	0	4643	56
Sample140	149	4549	74
Sample141	144	4585	68
Sample142	418	4384	64
Sample143	405	4420	67
Sample144	416	4456	60
Sample145	353	4554	65
Sample146	301	4641	61
Sample147	287	4693	59
Sample148	237	4775	55
Sample149	232	4798	56
Sample150	297	4774	55
Sample151	369	4742	43
Sample152	331	4813	40
Sample153	328	4852	39
Sample154	282	4931	46
Sample155	259	4981	48
Sample156	275	5009	34
Sample157	232	5086	29
Sample158	216	5140	19
Sample159	163	5220	19
Sample160	172	5245	25
Sample161	116	5330	27
Sample162	228	5279	40
Sample163	246	5292	39
Sample164	250	5320	34
Sample165	246	5358	25
Sample166	261	5376	23
Sample167	388	5285	28
Sample168	389	5304	30
Sample169	413	5319	31
Sample170	424	5342	26
Sample171	377	5419	26
Sample172	392	5452	17
Sample173	343	5542	16
Sample174	353	5576	1
Sample175	366	5607	0
Sample176	353	5631	18
Sample177	318	5704	18
Sample178	309	5739	20
Sample179	308	5776	12
Sample180	296	5814	5
Sample181	222	5918	2
Sample182	589	5617	17
Sample183	535	5695	21
Sample184	517	5746	26
Sample185	856	5486	22
Sample186	861	5507	26
Sample187	776	5627	24
Sample188	691	5745	26
Sample189	730	5749	26
Sample190	709	5805	18
Sample191	671	5870	19
Sample192	699	5874	15
Sample193	580	6014	17
Sample194	675	5975	11
Sample195	707	5971	9
Sample196	716	5970	10
Sample197	703	6021	10
Sample198	647	6109	6
Sample199	590	6196	0
Sample200	597	6225	0
Sample201	636	6216	0
Sample202	647	6242	0
Sample203	1047	5919	0
Sample204	954	6038	0
Sample205	941	6088	3
Sample206	997	6054	2
Sample207	951	6131	1
Sample208	887	6219	3
Sample209	1217	5966	1
Sample210	1291	5929	3
Sample211	1172	6068	6
Sample212	1248	6033	7
Sample213	1271	6053	3
Sample214	1207	6143	6
Sample215	1544	5875	10
Sample216	1717	5733	24
Sample217	1718	5775	18
Sample218	1766	5762	10
Sample219	2458	5104	152
Sample220	2756	4891	145
Sample221	2723	4952	152
Sample222	2744	4968	145
Sample223	2775	4980	140
Sample224	2883	4920	135
Sample225	2891	4950	125
Sample226	2924	4950	118
Sample227	2922	4984	115
Sample228	2921	5023	117
Sample229	3235	4783	119
Sample230	3253	4798	117
Sample231	3406	4722	122
Sample232	3343	4812	124
Sample233	3278	4881	131
Sample234	3295	4902	122
Sample235	3327	4907	114
Sample236	3244	5019	120
Sample237	3127	5156	123
Sample238	3165	5127	123
Sample239	3143	5182	120
Sample240	3199	5164	110
Sample241	3141	5252	107
Sample242	3403	5029	109
