Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	9.48E+00	6.67E+00	6.93E+00	4.75E+00	9.73E+00	6.97E+00	6.15E+00	6.44E+00	1.59E+00	5.04E+00
Sample2	1.00E+01	1.68E+01	4.10E+00	4.21E+00	9.32E+00	2.85E+00	9.44E+00	1.81E+01	9.18E+00	1.45E+01
Sample3	1.00E+01	0.00E+00	7.75E+00	1.51E+01	9.64E+00	6.50E+00	0.00E+00	1.43E+01	0.00E+00	9.47E+00
Sample4	7.28E+00	4.79E+00	6.80E+00	9.19E+00	2.96E+00	8.18E+00	1.54E+01	4.33E+00	1.01E+01	9.95E+00
Sample5	6.56E+00	6.03E+00	5.98E+00	1.05E+01	8.54E+00	2.41E+00	5.25E+00	5.68E+00	6.75E+00	7.42E+00
Sample6	8.44E+00	1.60E+01	7.41E+00	5.86E+00	7.54E+00	3.96E+00	4.38E+00	1.40E+00	9.16E+00	9.42E+00
Sample7	1.84E+01	1.96E+01	1.19E+01	6.88E+00	1.75E+00	1.01E+01	6.69E+00	2.12E+00	8.17E+00	6.50E+00
Sample8	3.00E+00	7.99E+00	1.16E+01	9.86E+00	1.25E+01	3.53E+00	7.50E+00	7.90E+00	8.19E+00	4.87E+00
Sample9	8.42E+00	9.70E+00	9.27E+00	9.09E+00	1.08E+01	8.76E+00	1.10E+01	7.87E+00	4.46E+00	6.76E+00
Sample10	3.25E+00	9.39E+00	4.06E+00	6.07E+00	7.03E+00	9.43E+00	9.95E+00	7.87E+00	8.36E+00	6.65E+00
Sample11	7.15E+00	5.66E+00	4.12E+00	2.08E+00	9.12E+00	1.35E+01	2.14E+00	5.20E+00	1.16E+01	8.79E+00
Sample12	5.29E+00	8.07E+00	1.03E+01	9.32E+00	1.03E+01	1.15E+01	9.15E+00	1.18E+01	5.29E+00	2.12E+00
Sample13	7.50E+00	7.00E+00	8.97E+00	8.39E+00	4.75E+00	3.58E+00	3.22E+00	6.01E+00	1.82E+01	1.27E+01
