Samples	Signature A	Signature B
Sample1	71	81
Sample2	118	34
Sample3	77	75
Sample4	91	63
Sample5	123	27
Sample6	75	69
Sample7	71	77
Sample8	96	52
Sample9	98	50
Sample10	95	55
Sample11	69	87
Sample12	83	63
Sample13	66	80
Sample14	92	58
Sample15	84	66
Sample16	104	44
Sample17	97	57
Sample18	76	76
Sample19	80	76
Sample20	37	105
Sample21	81	67
Sample22	79	71
Sample23	53	85
Sample24	97	51
Sample25	104	48
Sample26	102	46
Sample27	92	56
Sample28	39	107
Sample29	106	48
Sample30	75	69
Sample31	79	67
Sample32	113	31
Sample33	70	78
Sample34	79	69
Sample35	52	102
Sample36	64	78
Sample37	98	50
Sample38	72	76
