Samples	Signature A	Signature B
Sample1	1.39E+01	1.39E+01
Sample2	2.28E+01	2.28E+01
Sample3	1.63E+01	1.63E+01
Sample4	1.67E+01	1.67E+01
Sample5	1.27E+01	1.27E+01
Sample6	1.65E+01	1.65E+01
Sample7	1.10E+01	1.10E+01
Sample8	9.92E+00	9.92E+00
Sample9	1.76E+01	1.76E+01
Sample10	9.24E+00	9.24E+00
Sample11	1.47E+01	1.47E+01
Sample12	1.15E+01	1.15E+01
Sample13	1.83E+01	1.83E+01
Sample14	1.33E+01	1.33E+01
Sample15	1.82E+01	1.82E+01
Sample16	1.05E+01	1.05E+01
Sample17	1.10E+01	1.10E+01
Sample18	1.60E+01	1.60E+01
Sample19	1.97E+01	1.97E+01
Sample20	1.66E+01	1.66E+01
Sample21	1.23E+01	1.23E+01
Sample22	1.06E+01	1.06E+01
Sample23	1.63E+01	1.63E+01
Sample24	1.16E+01	1.16E+01
Sample25	1.32E+01	1.32E+01
Sample26	1.72E+01	1.72E+01
Sample27	1.53E+01	1.53E+01
Sample28	1.71E+01	1.71E+01
Sample29	1.16E+01	1.16E+01
Sample30	1.36E+01	1.36E+01
Sample31	1.70E+01	1.70E+01
Sample32	1.32E+01	1.32E+01
Sample33	1.67E+01	1.67E+01
Sample34	1.34E+01	1.34E+01
Sample35	1.59E+01	1.59E+01
Sample36	1.08E+01	1.08E+01
Sample37	1.20E+01	1.20E+01
Sample38	1.26E+01	1.26E+01
