Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	152	0.977	19.128	12.584%	4.214	21.504%	0.0235
Sample2	152	0.918	37.799	24.868%	7.896	39.881%	0.0843
Sample3	152	0.966	20.2	13.289%	5.195	25.975%	0.0353
Sample4	154	0.971	21.794	14.152%	4.701	23.744%	0.0334
Sample5	150	0.97	24.912	16.608%	4.604	24.539%	0.0318
Sample6	144	0.996	10.522	7.307%	1.673	9.238%	0.0052
Sample7	148	0.952	24.999	16.891%	5.895	30.73%	0.0395
Sample8	148	0.968	18.372	12.414%	4.792	24.98%	0.0213
Sample9	148	0.969	18.905	12.774%	4.778	24.641%	0.0249
Sample10	150	0.973	19.909	13.273%	4.373	23.048%	0.0315
Sample11	156	0.973	20.058	12.858%	4.627	22.907%	0.0259
Sample12	146	0.979	16.048	10.992%	3.749	20.452%	0.0275
Sample13	146	0.974	18.34	12.562%	4.241	22.866%	0.0251
Sample14	150	0.975	19.263	12.842%	4.284	22.332%	0.0308
Sample15	150	0.952	23.335	15.557%	5.773	30.77%	0.0496
Sample16	148	0.971	21.518	14.539%	4.449	23.713%	0.0232
Sample17	154	0.969	23.214	15.074%	4.915	24.824%	0.0346
Sample18	152	0.971	17.882	11.764%	4.818	24.09%	0.0219
Sample19	156	0.946	30.723	19.694%	6.308	33.246%	0.0577
Sample20	142	0.973	21.951	15.458%	4.161	23.261%	0.0282
Sample21	148	0.987	13.652	9.224%	3.024	15.938%	0.0123
Sample22	150	0.966	21.638	14.425%	4.942	25.762%	0.0317
Sample23	138	0.971	19.946	14.454%	4.134	24.36%	0.0246
Sample24	148	0.953	24.428	16.505%	5.596	30.529%	0.0435
Sample25	152	0.964	22.17	14.586%	5.217	26.623%	0.0285
Sample26	148	0.953	26.717	18.052%	5.676	30.253%	0.0556
Sample27	148	0.987	14.39	9.723%	2.976	15.862%	0.0141
Sample28	146	0.957	25.011	17.131%	5.482	29.219%	0.0426
Sample29	154	0.958	27.565	17.899%	5.711	28.845%	0.0493
Sample30	144	0.996	10.522	7.307%	1.673	9.238%	0.0052
Sample31	146	0.99	12.307	8.429%	2.632	14.359%	0.0145
Sample32	144	0.963	22.191	15.41%	4.802	27.186%	0.03
Sample33	148	0.988	13.42	9.068%	2.887	15.388%	0.0145
Sample34	148	0.969	16.716	11.295%	4.691	24.724%	0.0202
Sample35	154	0.969	21.301	13.832%	4.834	24.668%	0.0336
Sample36	142	0.99	13.05	9.19%	2.504	14.176%	0.0084
Sample37	148	0.987	15.366	10.382%	3.018	15.906%	0.0127
Sample38	148	0.959	20.141	13.609%	5.352	28.208%	0.0345
