Samples	Signature A	Signature B	Signature C
Sample1	55	28	69
Sample2	0	84	68
Sample3	51	44	57
Sample4	72	52	30
Sample5	35	41	74
Sample6	65	42	37
Sample7	76	70	2
Sample8	39	58	51
Sample9	69	35	44
Sample10	69	74	7
Sample11	53	34	69
Sample12	83	39	24
Sample13	26	71	49
Sample14	46	52	52
Sample15	0	86	64
Sample16	14	69	65
Sample17	53	48	53
Sample18	39	43	70
Sample19	72	65	19
Sample20	43	53	46
Sample21	66	58	24
Sample22	6	61	83
Sample23	74	18	46
Sample24	43	61	44
Sample25	45	51	56
Sample26	48	95	5
Sample27	51	49	48
Sample28	40	22	84
Sample29	81	64	9
Sample30	65	42	37
Sample31	65	43	38
Sample32	40	41	63
Sample33	53	46	49
Sample34	19	56	73
Sample35	78	31	45
Sample36	71	35	36
Sample37	55	50	43
Sample38	87	22	39
