Samples	Signature A	Signature B	Signature C	Signature D
Sample1	48	31	36	37
Sample2	72	42	0	38
Sample3	64	33	16	39
Sample4	51	21	68	14
Sample5	59	34	13	44
Sample6	33	35	50	26
Sample7	44	50	37	17
Sample8	58	49	19	22
Sample9	61	21	59	7
Sample10	39	41	59	11
Sample11	25	40	58	33
Sample12	43	28	56	19
Sample13	0	53	40	53
Sample14	45	31	37	37
Sample15	37	36	0	77
Sample16	38	89	9	12
Sample17	65	37	24	28
Sample18	24	65	39	24
Sample19	61	4	35	56
Sample20	2	45	38	57
Sample21	46	40	45	17
Sample22	27	60	0	63
Sample23	41	8	21	68
Sample24	37	58	9	44
Sample25	64	42	21	25
Sample26	39	44	65	0
Sample27	25	52	51	20
Sample28	1	42	12	91
Sample29	67	12	70	5
Sample30	33	35	50	26
Sample31	36	37	50	23
Sample32	53	14	25	52
Sample33	28	37	37	46
Sample34	0	83	46	19
Sample35	38	37	45	34
Sample36	21	30	59	32
Sample37	53	33	36	26
Sample38	51	0	61	36
