Samples	Signature A	Signature B	Signature C	Signature D
Sample1	1.36E+01	7.54E+00	1.11E+01	1.09E+01
Sample2	1.37E+01	9.66E+00	1.87E+01	1.02E+01
Sample3	1.71E+01	1.35E+01	1.03E+01	1.09E+01
Sample4	1.18E+01	1.79E+01	9.90E+00	1.34E+01
Sample5	1.47E+01	1.26E+01	1.33E+01	1.10E+01
Sample6	1.04E+01	6.82E+00	7.96E+00	1.06E+01
Sample7	1.28E+01	1.14E+01	1.88E+01	9.97E+00
Sample8	6.27E+00	1.14E+01	1.09E+01	1.24E+01
Sample9	1.88E+01	1.69E+01	1.19E+01	6.35E+00
Sample10	1.11E+01	1.26E+01	9.35E+00	8.77E+00
Sample11	5.53E+00	1.09E+01	1.14E+01	9.62E+00
Sample12	1.74E+01	1.96E+01	1.05E+01	8.27E+00
Sample13	8.83E+00	9.38E+00	1.47E+01	1.83E+01
Sample14	1.10E+01	1.30E+01	1.41E+01	1.27E+01
Sample15	1.81E+01	9.16E+00	9.89E+00	1.64E+01
Sample16	7.38E+00	8.45E+00	9.48E+00	7.71E+00
Sample17	1.01E+01	7.91E+00	1.80E+01	1.56E+01
Sample18	1.39E+01	1.27E+01	9.01E+00	6.69E+00
Sample19	1.92E+01	1.66E+01	9.51E+00	1.84E+01
Sample20	1.15E+01	1.73E+01	9.24E+00	1.57E+01
Sample21	1.42E+01	1.07E+01	1.15E+01	1.06E+01
Sample22	8.64E+00	7.44E+00	1.23E+01	1.22E+01
Sample23	1.35E+01	7.70E+00	1.26E+01	1.59E+01
Sample24	7.27E+00	9.70E+00	1.22E+01	1.02E+01
Sample25	1.10E+01	6.87E+00	1.19E+01	9.83E+00
Sample26	8.49E+00	1.14E+01	1.79E+01	5.48E+00
Sample27	1.06E+01	1.14E+01	1.34E+01	8.40E+00
Sample28	8.42E+00	7.98E+00	1.56E+01	1.39E+01
Sample29	1.78E+01	1.78E+01	5.57E+00	1.12E+01
Sample30	8.24E+00	1.13E+01	1.11E+01	9.06E+00
Sample31	1.91E+01	9.03E+00	1.25E+01	1.62E+01
Sample32	1.01E+01	1.73E+01	1.82E+01	1.74E+01
Sample33	7.82E+00	1.11E+01	5.68E+00	1.25E+01
Sample34	7.52E+00	1.22E+01	1.71E+01	7.92E+00
Sample35	7.48E+00	8.44E+00	1.17E+01	1.23E+01
Sample36	8.73E+00	1.21E+01	6.50E+00	1.14E+01
Sample37	1.06E+01	8.49E+00	1.36E+01	4.83E+00
Sample38	7.29E+00	1.02E+01	8.61E+00	8.81E+00
