Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	13	11	0	43	39	7	39
Sample2	68	27	40	5	0	0	12
Sample3	27	28	0	23	32	10	32
Sample4	34	14	37	60	0	9	0
Sample5	41	24	14	14	22	11	24
Sample6	17	25	11	26	25	25	15
Sample7	0	38	1	0	56	53	0
Sample8	49	40	14	11	14	0	20
Sample9	19	5	0	60	24	20	20
Sample10	9	62	13	28	15	10	13
Sample11	12	0	51	55	19	7	12
Sample12	11	1	26	46	30	16	16
Sample13	14	25	33	0	13	38	23
Sample14	33	24	10	36	16	23	8
Sample15	32	1	85	0	2	4	26
Sample16	44	29	32	0	40	0	3
Sample17	23	43	48	9	8	18	5
Sample18	16	17	18	41	27	11	22
Sample19	0	0	55	26	17	3	55
Sample20	21	8	17	0	18	58	20
Sample21	30	35	13	39	16	14	1
Sample22	61	8	31	0	11	28	11
Sample23	13	0	0	16	48	19	42
Sample24	2	32	40	0	47	27	0
Sample25	41	48	24	7	10	0	22
Sample26	2	56	32	33	0	13	12
Sample27	17	33	11	17	32	20	18
Sample28	43	0	15	0	35	43	10
Sample29	17	65	16	42	4	1	9
Sample30	17	25	11	26	25	25	15
Sample31	18	21	11	29	31	23	13
Sample32	37	0	36	12	12	0	47
Sample33	20	25	28	10	22	27	16
Sample34	31	11	19	0	28	26	33
Sample35	0	19	37	17	33	25	23
Sample36	0	13	12	27	32	33	25
Sample37	40	49	9	17	15	18	0
Sample38	8	0	12	73	22	19	14
