Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	7.68E+00	5.76E+00	8.51E+00	8.91E+00	7.97E+00	8.47E+00	7.20E+00
Sample2	1.47E+01	1.45E+01	1.81E+01	6.42E+00	1.80E+01	2.50E+00	2.11E+00
Sample3	8.16E+00	9.94E+00	6.55E+00	1.69E+01	7.07E+00	5.04E+00	1.14E+01
Sample4	1.88E+01	6.80E+00	5.46E+00	1.05E+01	1.81E+01	1.17E+01	6.63E+00
Sample5	7.71E+00	8.25E+00	1.37E+01	1.46E+01	6.37E+00	4.90E+00	1.22E+01
Sample6	9.34E+00	8.00E+00	4.02E+00	5.70E+00	8.81E+00	1.13E+01	6.96E+00
Sample7	3.62E+00	5.07E+00	5.79E+00	1.30E+01	4.45E+00	1.66E+01	1.32E+01
Sample8	5.98E+00	1.11E+01	8.53E+00	7.60E+00	5.31E+00	9.01E+00	1.25E+01
Sample9	1.50E+01	9.77E+00	6.35E+00	1.87E+01	2.12E+00	1.13E+01	5.47E+00
Sample10	1.02E+01	9.95E+00	1.08E+01	8.19E+00	1.24E+01	6.05E+00	7.89E+00
Sample11	1.59E+01	6.17E+00	1.28E+01	4.16E+00	1.21E+01	6.70E+00	4.80E+00
Sample12	1.55E+01	1.12E+01	1.75E+01	3.32E+00	7.06E+00	5.42E+00	9.69E+00
Sample13	4.85E+00	1.01E+01	9.29E+00	8.86E+00	5.74E+00	9.15E+00	2.38E+00
Sample14	1.08E+01	1.81E+01	5.89E+00	5.05E+00	6.51E+00	3.81E+00	6.63E+00
Sample15	6.66E+00	1.06E+01	8.93E+00	9.75E+00	1.63E+01	4.33E+00	7.82E+00
Sample16	8.57E+00	8.28E+00	7.78E+00	5.95E+00	7.39E+00	5.33E+00	1.03E+01
Sample17	7.03E+00	1.40E+01	4.22E+00	1.91E+01	1.20E+01	9.71E+00	7.75E+00
Sample18	8.39E+00	1.03E+01	8.49E+00	7.12E+00	8.78E+00	5.37E+00	7.15E+00
Sample19	6.72E+00	2.10E+00	1.21E+01	8.40E+00	1.82E+01	9.66E+00	9.29E+00
Sample20	1.17E+01	1.40E+01	1.02E+01	8.88E+00	2.60E+00	1.92E+01	1.17E+01
Sample21	8.51E+00	6.60E+00	6.43E+00	1.25E+01	6.97E+00	1.19E+01	7.18E+00
Sample22	4.07E+00	1.08E+01	7.94E+00	1.50E+01	1.74E+01	5.51E+00	1.00E+01
Sample23	1.26E+01	7.16E+00	1.75E+01	3.87E+00	9.50E+00	4.67E+00	1.69E+01
Sample24	6.07E+00	9.67E+00	2.75E+00	1.59E+01	7.38E+00	1.13E+01	1.12E+01
Sample25	1.09E+01	7.64E+00	6.63E+00	1.03E+01	6.54E+00	9.95E+00	1.05E+01
Sample26	3.11E+00	1.13E+01	9.21E+00	1.12E+01	7.96E+00	1.97E+01	6.05E+00
Sample27	1.24E+01	6.99E+00	5.47E+00	1.19E+01	6.97E+00	7.24E+00	1.12E+01
Sample28	5.46E+00	9.54E+00	1.32E+01	5.55E+00	8.77E+00	1.74E+01	7.86E+00
Sample29	1.34E+01	9.34E+00	9.87E+00	1.96E+01	9.41E+00	5.82E+00	6.04E+00
Sample30	9.03E+00	8.51E+00	8.67E+00	9.22E+00	1.14E+01	7.08E+00	9.50E+00
Sample31	1.12E+01	8.47E+00	1.23E+01	8.27E+00	6.79E+00	6.45E+00	1.11E+01
Sample32	6.48E+00	2.20E+01	1.33E+01	1.19E+01	1.60E+01	0.00E+00	1.80E+01
Sample33	9.44E+00	6.33E+00	7.42E+00	8.82E+00	1.00E+01	8.39E+00	5.40E+00
Sample34	1.40E+01	7.51E+00	8.52E+00	7.16E+00	5.08E+00	8.55E+00	6.38E+00
Sample35	6.52E+00	1.05E+01	1.00E+01	5.68E+00	8.96E+00	7.50E+00	1.29E+01
Sample36	1.66E+01	7.46E+00	1.78E+01	6.01E+00	5.03E+00	5.97E+00	1.24E+01
Sample37	8.57E+00	6.23E+00	1.08E+01	1.39E+01	6.73E+00	1.08E+01	1.50E+01
Sample38	7.65E+00	9.09E+00	8.16E+00	0.00E+00	1.14E+01	6.90E+00	6.00E+00
