Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	12	17	0	50	18	12	25	18
Sample2	0	0	98	27	27	0	0	0
Sample3	47	30	0	39	6	0	0	30
Sample4	34	43	5	8	11	0	44	9
Sample5	9	31	19	39	23	0	13	16
Sample6	26	30	12	16	14	23	12	11
Sample7	12	6	0	22	0	79	12	17
Sample8	44	33	28	18	25	0	0	0
Sample9	9	49	0	59	0	0	0	31
Sample10	39	24	11	21	28	13	14	0
Sample11	0	17	9	27	24	10	68	1
Sample12	27	31	14	7	6	19	14	28
Sample13	4	0	18	0	43	47	22	12
Sample14	18	32	19	29	2	15	4	31
Sample15	0	0	63	0	30	4	37	16
Sample16	57	0	27	15	33	6	2	8
Sample17	36	9	47	23	9	14	16	0
Sample18	3	17	29	40	24	20	19	0
Sample19	0	8	7	19	22	6	49	45
Sample20	0	13	24	5	17	45	14	24
Sample21	46	38	18	17	10	3	14	2
Sample22	0	9	36	24	43	23	3	12
Sample23	0	13	5	37	12	26	16	29
Sample24	24	0	24	3	21	56	20	0
Sample25	54	23	27	11	27	0	6	4
Sample26	35	32	39	0	0	13	12	17
Sample27	37	22	9	10	29	26	10	5
Sample28	0	0	29	9	15	36	37	20
Sample29	60	42	8	4	24	2	14	0
Sample30	26	30	12	16	14	23	12	11
Sample31	36	27	17	12	11	22	10	11
Sample32	0	10	13	26	46	0	7	42
Sample33	20	19	20	8	17	26	26	12
Sample34	19	5	10	6	63	35	0	10
Sample35	16	2	31	20	10	43	32	0
Sample36	10	23	5	14	15	37	21	17
Sample37	38	36	17	23	21	10	2	1
Sample38	0	33	0	39	0	4	36	36
