Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	5.47E+00	9.77E+00	1.25E-01	5.29E+00	7.36E+00	7.20E+00	8.28E+00	7.57E+00
Sample2	3.75E+00	1.11E+01	2.50E-01	2.09E+01	1.31E+01	6.86E+00	7.13E+00	6.04E+00
Sample3	3.81E+00	8.38E+00	1.78E+01	2.00E+00	6.84E+00	9.27E+00	4.92E+00	1.61E+01
Sample4	3.29E+00	4.52E+00	6.10E+00	6.49E+00	7.50E-01	1.51E+01	1.79E+01	9.45E+00
Sample5	6.57E+00	8.88E+00	7.86E+00	1.00E+01	1.94E+00	8.77E+00	1.05E+01	1.47E+01
Sample6	8.37E+00	1.71E+01	7.44E+00	6.88E+00	5.67E+00	7.58E+00	7.81E+00	4.39E+00
Sample7	2.23E+01	6.31E+00	5.97E+00	3.38E+00	3.27E+00	1.78E+01	4.62E+00	7.43E+00
Sample8	5.92E+00	1.31E+01	7.29E+00	8.58E+00	6.36E+00	1.05E+01	3.62E+00	9.76E+00
Sample9	1.17E+01	1.75E+01	7.29E+00	1.97E+00	8.70E+00	1.39E+01	5.25E+00	7.54E+00
Sample10	4.21E+00	6.64E+00	8.32E+00	9.38E+00	7.96E+00	5.30E+00	1.01E+01	8.79E+00
Sample11	7.26E+00	8.08E+00	7.53E+00	1.02E+01	3.96E+00	5.70E+00	9.67E+00	1.22E+01
Sample12	4.46E+00	2.88E+00	1.75E+01	1.25E+00	1.02E+01	1.49E+01	1.08E+01	7.73E+00
Sample13	9.88E+00	5.83E+00	1.11E+01	3.50E+00	1.25E+01	8.34E+00	5.81E+00	6.97E+00
Sample14	5.27E+00	8.46E+00	1.59E+01	9.90E+00	1.81E+01	7.30E+00	3.28E+00	5.91E+00
Sample15	7.44E+00	6.91E+00	9.90E+00	9.65E+00	1.35E+01	8.31E+00	7.79E+00	3.25E+00
Sample16	7.93E+00	8.49E+00	3.42E+00	7.29E+00	7.46E+00	4.02E+00	8.01E+00	9.37E+00
Sample17	9.05E+00	8.11E+00	8.09E+00	1.47E+01	9.37E+00	7.73E+00	6.66E+00	1.87E+01
Sample18	8.29E+00	1.10E+01	3.21E+00	9.94E+00	9.62E+00	5.50E+00	6.25E+00	8.60E+00
Sample19	9.12E+00	8.82E+00	1.34E+01	4.54E+00	8.29E+00	5.41E+00	1.22E+01	1.91E+01
Sample20	1.77E+01	1.27E+01	1.04E+01	4.30E+00	1.00E+01	1.77E+01	6.25E+00	9.50E+00
Sample21	1.17E+01	8.82E+00	1.37E+00	8.94E+00	3.03E+00	5.05E+00	6.87E+00	1.04E+01
Sample22	7.00E+00	1.38E+01	9.91E+00	4.71E+00	1.17E+01	4.42E+00	1.74E+01	5.29E+00
Sample23	5.55E+00	1.56E+01	1.10E+01	1.22E+01	8.21E+00	1.39E+01	4.25E+00	7.60E+00
Sample24	1.84E+01	8.53E+00	4.52E+00	6.24E+00	1.31E+01	1.06E+01	6.89E+00	1.52E+01
Sample25	9.56E+00	6.58E+00	4.53E+00	8.06E+00	7.63E+00	5.48E+00	6.12E+00	1.00E+01
Sample26	1.44E+01	4.11E+00	8.09E+00	7.42E+00	7.35E+00	1.18E+01	4.84E+00	9.98E+00
Sample27	8.43E+00	6.41E+00	2.49E+00	7.50E+00	6.94E+00	5.45E+00	7.85E+00	1.15E+01
Sample28	6.00E+00	6.66E+00	2.90E+00	1.20E+01	1.07E+01	1.70E+01	6.17E+00	6.06E+00
Sample29	6.42E+00	7.69E+00	5.28E+00	8.93E+00	1.07E+01	1.42E+01	9.45E+00	1.68E+01
Sample30	3.85E+00	6.58E+00	7.36E+00	5.46E+00	8.80E+00	9.53E+00	1.78E+01	1.15E+01
Sample31	4.76E+00	3.68E+00	8.77E+00	1.15E+01	8.61E+00	7.73E+00	1.18E+01	8.90E+00
Sample32	0.00E+00	1.76E+01	1.79E+01	6.24E+00	1.85E+01	8.07E+00	1.44E+01	0.00E+00
Sample33	9.28E+00	8.33E+00	5.12E+00	7.19E+00	1.11E+01	7.83E+00	8.96E+00	7.76E+00
Sample34	7.87E+00	5.72E+00	8.38E+00	8.50E+00	7.02E+00	3.62E+00	4.85E+00	1.53E+01
Sample35	8.92E+00	1.07E+01	5.83E+00	1.02E+01	1.13E+01	7.29E+00	9.78E+00	4.65E+00
Sample36	7.75E+00	1.03E+01	1.26E+01	8.44E+00	6.59E+00	4.37E+00	1.53E+01	7.46E+00
Sample37	6.66E+00	1.14E+01	9.30E+00	1.15E+01	5.83E+00	9.81E+00	6.75E+00	1.62E+01
Sample38	7.49E+00	7.65E+00	1.05E+01	6.07E+00	6.46E+00	6.41E+00	6.46E+00	4.65E+00
