Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	6.55E+00	5.45E+00	1.09E+01	7.60E+00	9.72E+00	3.87E+00	4.82E+00	8.81E+00	6.31E+00
Sample2	7.63E+00	1.21E+01	6.12E+00	0.00E+00	8.80E+00	8.20E+00	1.08E+01	0.00E+00	2.24E+01
Sample3	6.73E+00	4.95E+00	1.35E+01	8.13E+00	8.57E+00	8.39E+00	4.52E+00	1.94E+01	1.97E+00
Sample4	1.58E+01	4.20E+00	4.37E+00	9.39E+00	6.55E+00	5.47E+00	8.72E+00	1.04E+01	4.38E+00
Sample5	1.35E+01	5.48E+00	6.31E+00	5.07E+00	7.32E+00	9.33E+00	4.98E+00	6.13E+00	1.16E+01
Sample6	1.02E+01	5.39E+00	8.40E+00	7.26E+00	6.99E+00	7.02E+00	8.88E+00	1.51E+01	9.23E+00
Sample7	1.48E+01	0.00E+00	1.09E+01	2.03E+01	3.68E+00	1.81E+01	2.00E+00	7.00E+00	4.27E+00
Sample8	2.91E+00	0.00E+00	8.60E+00	1.06E+01	3.79E+00	9.08E+00	5.08E+00	1.79E+01	1.19E+01
Sample9	2.12E+00	6.39E+00	1.80E+00	8.02E+00	1.35E+01	1.11E+01	5.38E+00	9.45E+00	7.59E+00
Sample10	8.16E+00	1.12E+01	7.55E+00	7.63E+00	6.10E+00	4.82E+00	1.04E+01	1.38E+01	6.25E+00
Sample11	1.01E+01	9.19E+00	7.28E+00	5.92E+00	8.36E+00	1.03E+01	1.46E+01	3.44E+00	4.17E+00
Sample12	1.02E+01	5.82E+00	9.76E+00	4.38E+00	1.18E+01	8.52E+00	1.11E+01	2.97E+00	9.44E+00
Sample13	4.21E+00	2.03E+01	5.87E+00	7.14E+00	9.93E+00	8.44E+00	1.09E+01	0.00E+00	5.45E+00
Sample14	5.82E+00	6.48E+00	8.78E+00	2.95E+00	2.11E+01	1.04E+01	1.89E+00	5.80E+00	1.79E+01
Sample15	7.20E+00	1.35E+01	6.61E+00	7.00E+00	6.74E+00	2.25E+00	9.05E+00	1.23E+01	9.97E+00
Sample16	9.29E+00	8.46E+00	9.88E+00	5.33E+00	4.29E+00	4.96E+00	2.76E+00	6.05E+00	1.04E+01
Sample17	7.02E+00	4.84E+00	4.97E+00	8.31E+00	6.90E+00	1.88E+00	8.41E+00	1.32E+01	1.86E+01
Sample18	8.43E+00	7.32E+00	9.52E+00	1.88E+00	7.70E+00	2.07E+00	4.99E+00	7.24E+00	1.10E+01
Sample19	2.09E+01	6.86E+00	1.87E+01	5.82E+00	7.28E+00	8.38E+00	9.31E+00	8.77E+00	4.61E+00
Sample20	1.62E+00	1.46E+01	6.76E+00	1.74E+01	7.64E+00	1.14E+01	1.74E+01	8.50E+00	6.75E+00
Sample21	1.22E+01	4.87E+00	6.47E+00	7.09E+00	5.18E+00	1.01E+01	5.99E+00	9.32E+00	5.42E+00
Sample22	1.91E+00	1.00E+01	5.75E+00	6.67E+00	1.14E+01	7.95E+00	1.87E+01	6.22E+00	3.03E+00
Sample23	2.35E+00	0.00E+00	1.18E+01	5.72E+00	1.31E+01	1.45E+01	7.16E+00	7.65E+00	4.15E+00
Sample24	4.24E+00	1.07E+01	8.69E+00	1.48E+01	7.32E+00	1.02E+01	6.62E+00	8.82E+00	5.89E+00
Sample25	8.01E+00	8.54E+00	9.71E+00	4.11E+00	5.88E+00	7.45E+00	4.04E+00	7.29E+00	5.00E+00
Sample26	6.77E+00	9.16E+00	4.31E+00	8.50E+00	7.21E+00	1.65E+01	6.00E+00	9.68E+00	1.14E+01
Sample27	3.15E+00	6.88E+00	6.44E+00	6.75E+00	6.88E+00	8.96E+00	9.54E+00	7.04E+00	7.28E+00
Sample28	5.78E+00	1.26E+01	4.27E+00	1.72E+01	9.29E+00	1.72E+00	7.89E+00	1.34E+00	8.84E+00
Sample29	1.46E+01	8.15E+00	2.97E+00	4.48E+00	9.56E+00	6.15E+00	7.79E+00	5.31E+00	4.10E+00
Sample30	0.00E+00	8.60E+00	1.20E+01	1.72E+01	4.09E+00	9.63E+00	5.74E+00	1.04E+01	3.83E+00
Sample31	6.34E+00	1.05E+01	6.41E+00	5.76E+00	6.34E+00	8.96E+00	6.06E+00	7.83E+00	1.06E+01
Sample32	7.57E+00	1.07E+01	1.99E+01	8.75E+00	1.86E+01	0.00E+00	1.21E+01	4.39E+00	6.96E+00
Sample33	7.62E+00	8.75E+00	5.14E+00	7.57E+00	6.63E+00	9.99E+00	8.82E+00	4.72E+00	5.92E+00
Sample34	7.03E+00	1.18E+01	4.06E+00	6.51E+00	5.51E+00	7.66E+00	2.92E+00	2.68E+00	7.36E+00
Sample35	7.80E+00	1.20E+01	9.82E+00	9.08E+00	2.90E+00	8.82E+00	8.00E+00	5.28E+00	4.09E+00
Sample36	7.75E+00	5.34E+00	1.02E+01	9.16E+00	8.75E+00	1.20E+01	8.03E+00	9.93E+00	4.81E+00
Sample37	4.83E+00	3.52E+00	9.48E+00	5.48E+00	8.65E+00	1.35E+01	3.38E+00	1.49E+01	8.40E+00
Sample38	7.02E+00	1.90E+00	6.97E+00	7.49E+00	8.01E+00	8.35E+00	8.53E+00	7.62E+00	2.01E+00
