Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	31	0	9	14	107	18	0	6	5	16
Sample2	0	26	4	7	0	12	8	0	9	10
Sample3	0	16	19	3	0	15	2	6	2	4
Sample4	60	0	9	0	0	1	0	4	14	0
Sample5	8	1	3	0	0	0	0	11	22	0
Sample6	53	0	22	2	0	10	0	7	0	0
Sample7	11	1	0	31	80	12	36	10	0	4
Sample8	0	13	4	2	0	12	4	8	6	17
Sample9	5	0	7	0	3	9	0	9	35	0
Sample10	4	18	12	15	0	12	11	0	0	0
Sample11	42	4	3	6	0	0	9	3	16	0
Sample12	17	0	12	0	0	5	9	0	12	10
Sample13	0	13	9	0	0	13	21	1	0	5
Sample14	15	21	0	26	27	5	2	0	0	15
Sample15	42	0	10	21	0	9	0	2	5	0
Sample16	52	8	2	12	1	7	0	0	13	0
Sample17	0	0	0	0	3	14	0	6	0	14
Sample18	9	6	0	25	81	29	13	4	20	6
Sample19	0	13	10	2	5	0	21	2	10	5
Sample20	0	18	23	3	0	1	8	7	0	3
Sample21	0	16	3	1	0	14	12	2	3	10
Sample22	5	21	12	10	1	3	0	7	4	5
Sample23	98	0	14	0	66	4	0	12	0	0
Sample24	43	0	0	5	0	15	7	0	16	3
Sample25	0	22	13	9	0	4	7	3	3	10
Sample26	4	2	0	13	0	11	2	13	6	13
Sample27	1	14	11	9	0	5	4	0	14	9
Sample28	4	9	29	3	0	2	10	1	0	8
Sample29	0	0	4	7	0	1	0	31	0	2
Sample30	7	11	11	22	25	20	3	12	0	0
Sample31	0	11	24	23	4	1	3	5	0	0
Sample32	4	24	0	0	2	6	17	5	0	7
Sample33	49	0	7	21	69	1	15	7	0	11
Sample34	0	12	0	4	0	15	23	0	0	10
Sample35	0	15	32	9	0	1	0	0	8	1
Sample36	0	25	7	13	2	9	8	0	5	8
Sample37	3	13	14	1	2	14	5	11	2	6
Sample38	0	9	23	7	0	8	9	6	0	3
Sample39	84	0	0	0	83	5	4	4	3	11
Sample40	0	17	16	6	0	10	18	0	0	0
Sample41	34	0	10	9	5	10	10	2	17	0
Sample42	0	19	12	7	1	0	5	4	3	7
Sample43	0	0	4	7	0	1	0	31	0	2
Sample44	47	1	11	7	0	2	9	9	11	0
Sample45	39	0	16	12	14	0	6	8	12	0
Sample46	54	0	0	22	15	2	0	8	2	0
Sample47	0	10	9	18	0	2	14	1	0	8
Sample48	0	0	4	7	0	1	0	31	0	2
Sample49	0	3	27	11	0	8	15	0	0	0
Sample50	5	14	0	6	2	0	13	4	0	26
Sample51	0	11	21	6	0	8	10	0	6	0
Sample52	0	27	9	3	13	9	11	10	3	4
Sample53	0	0	4	7	0	1	0	31	0	2
Sample54	5	22	9	5	0	6	15	3	0	0
Sample55	8	0	0	0	0	11	8	5	11	11
Sample56	5	26	13	9	12	24	0	0	0	0
Sample57	8	14	19	0	0	20	3	0	0	7
Sample58	6	4	22	10	0	11	7	4	1	3
Sample59	52	7	2	12	0	19	1	2	11	1
Sample60	0	19	0	10	3	7	16	6	0	2
Sample61	0	7	12	0	0	9	12	11	7	9
Sample62	45	5	3	8	2	13	0	0	18	5
Sample63	0	28	5	11	0	0	9	3	3	0
Sample64	42	4	15	16	6	9	0	5	6	0
Sample65	14	0	10	10	3	22	0	1	39	0
Sample66	0	20	10	8	0	7	5	2	4	10
Sample67	0	16	13	8	0	7	10	6	0	0
Sample68	53	9	14	6	2	3	0	0	6	4
Sample69	0	12	18	14	0	4	11	4	3	0
Sample70	11	4	11	3	5	3	34	1	0	0
Sample71	0	21	0	12	0	5	22	4	0	3
Sample72	3	28	0	4	0	14	21	0	5	0
Sample73	3	20	15	5	0	0	6	2	3	11
Sample74	0	20	13	0	0	10	7	3	7	0
Sample75	0	16	4	2	0	8	19	13	7	0
Sample76	3	12	7	11	2	13	7	7	5	0
Sample77	92	0	8	0	66	19	0	0	0	8
Sample78	46	2	8	0	0	9	9	3	25	0
Sample79	58	7	2	4	4	0	9	1	8	0
Sample80	0	0	4	7	0	1	0	31	0	2
Sample81	0	13	8	28	0	8	8	0	0	6
Sample82	0	0	22	13	1	5	8	3	0	10
Sample83	54	0	8	7	0	6	0	3	12	0
Sample84	49	0	2	2	0	7	3	5	13	6
Sample85	58	0	1	11	1	15	0	2	9	0
Sample86	57	0	6	10	0	3	7	6	0	0
Sample87	0	11	15	0	0	8	4	9	0	12
Sample88	2	36	3	12	21	15	0	0	0	0
Sample89	0	24	15	9	0	4	7	6	1	1
Sample90	8	6	25	4	0	6	10	2	0	2
Sample91	0	23	22	5	2	5	0	4	4	0
Sample92	0	5	16	6	0	11	18	0	11	0
Sample93	0	11	0	17	1	3	28	0	7	9
Sample94	10	23	4	5	2	11	18	11	0	4
Sample95	1	15	11	0	0	11	15	10	2	0
Sample96	0	16	17	0	1	0	10	7	5	7
Sample97	0	14	14	11	0	12	9	0	0	6
Sample98	9	24	0	14	44	23	14	8	0	0
Sample99	10	8	6	46	19	0	0	0	0	1
Sample100	0	18	0	0	4	8	18	1	0	16
