Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.913	106.813	51.851%	14.216	45.739%	0.2645
Sample2	76	0.969	22.579	29.709%	3.579	24.697%	0.1762
Sample3	67	0.96	21.123	31.527%	3.722	28.136%	0.2357
Sample4	88	0.974	27.522	31.275%	4.302	22.549%	0.1929
Sample5	45	0.916	25.649	56.998%	4.112	40.517%	0.3984
Sample6	94	0.977	25.669	27.307%	4.041	21.662%	0.1488
Sample7	185	0.966	57.779	31.232%	8.284	25.725%	0.1288
Sample8	66	0.974	20.614	31.233%	3.052	23.408%	0.1595
Sample9	68	0.92	33.862	49.797%	5.266	39.25%	0.3432
Sample10	72	0.977	19.276	26.772%	3.247	21.792%	0.1481
Sample11	83	0.974	23.867	28.755%	3.851	22.653%	0.1429
Sample12	65	0.933	32.748	50.382%	4.87	36.4%	0.309
Sample13	62	0.982	13.591	21.921%	2.233	18.872%	0.1112
Sample14	111	0.963	39.014	35.148%	5.636	27.085%	0.1818
Sample15	89	0.964	31.798	35.728%	5.221	26.609%	0.2059
Sample16	95	0.975	27.269	28.704%	4.367	22.373%	0.1655
Sample17	37	0.862	25.687	69.424%	3.909	50.891%	0.5628
Sample18	193	0.963	62.056	32.153%	9.309	27.134%	0.1426
Sample19	68	0.949	25.904	38.094%	3.952	31.44%	0.2571
Sample20	63	0.979	14.992	23.797%	2.743	21.354%	0.1303
Sample21	61	0.954	22.086	36.207%	3.586	30.2%	0.2152
Sample22	68	0.979	18.668	27.453%	2.801	20.762%	0.1678
Sample23	194	0.979	59.019	30.422%	8.031	20.932%	0.1493
Sample24	89	0.978	23.348	26.234%	3.836	21.085%	0.1291
Sample25	71	0.974	18.977	26.728%	3.119	22.808%	0.1603
Sample26	64	0.937	30.441	47.564%	5.006	35.576%	0.3228
Sample27	67	0.96	22.469	33.536%	3.482	28.336%	0.2272
Sample28	66	0.976	18.107	27.435%	3.044	22.689%	0.1585
Sample29	45	0.988	9.79	21.756%	1.631	15.622%	0.1019
Sample30	111	0.972	34.301	30.902%	4.791	23.35%	0.1477
Sample31	71	0.95	27.387	38.573%	4.368	31.773%	0.3358
Sample32	65	0.958	24.393	37.528%	3.981	29.755%	0.2276
Sample33	180	0.978	51.455	28.586%	7.097	21.169%	0.1226
Sample34	64	0.967	19.554	30.553%	3.441	26.548%	0.166
Sample35	66	0.971	17.281	26.183%	3.099	24.199%	0.1626
Sample36	77	0.966	24.191	31.417%	3.785	25.813%	0.1735
Sample37	71	0.968	22.384	31.527%	3.507	25.376%	0.2018
Sample38	65	0.971	18.25	28.077%	3.04	24.109%	0.1748
Sample39	194	0.972	65.668	33.849%	8.944	23.904%	0.1609
Sample40	67	0.964	19.356	28.89%	3.651	26.843%	0.2872
Sample41	97	0.955	37.398	38.555%	5.784	29.789%	0.2239
Sample42	58	0.97	16.739	28.86%	2.814	24.493%	0.1848
Sample43	45	0.988	9.79	21.756%	1.631	15.622%	0.1019
Sample44	97	0.976	28.868	29.761%	4.342	21.958%	0.1529
Sample45	107	0.959	37.546	35.09%	5.701	28.541%	0.185
Sample46	103	0.97	35.937	34.89%	5.196	24.306%	0.1874
Sample47	62	0.94	25.478	41.094%	4.178	34.343%	0.2179
Sample48	45	0.988	9.79	21.756%	1.631	15.622%	0.1019
Sample49	64	0.964	18.859	29.467%	3.254	26.569%	0.1788
Sample50	70	0.933	30.481	43.544%	5.118	36.19%	0.2423
Sample51	62	0.969	17.774	28.668%	3.298	25.597%	0.1364
Sample52	89	0.97	27.472	30.867%	4.115	24.636%	0.1781
Sample53	45	0.988	9.79	21.756%	1.631	15.622%	0.1019
Sample54	65	0.968	18.916	29.102%	3.345	25.432%	0.1806
Sample55	54	0.935	25.249	46.757%	3.836	35.616%	0.3825
Sample56	89	0.961	31.641	35.552%	4.708	27.504%	0.2204
Sample57	71	0.976	18.912	26.637%	3.155	22.035%	0.1437
Sample58	68	0.956	25.152	36.988%	3.972	29.442%	0.2488
Sample59	107	0.975	33.178	31.007%	5.064	22.358%	0.1836
Sample60	63	0.96	21.319	33.84%	3.306	28.245%	0.2004
Sample61	67	0.936	25.967	38.757%	4.354	35.432%	0.3099
Sample62	99	0.98	28.816	29.107%	4.156	20.112%	0.1811
Sample63	59	0.968	17.213	29.175%	2.995	25.045%	0.116
Sample64	103	0.981	28.196	27.375%	4.243	19.676%	0.163
Sample65	99	0.937	50.057	50.563%	7.346	35.141%	0.3508
Sample66	66	0.976	16.337	24.753%	2.758	21.804%	0.1241
Sample67	60	0.971	17.03	28.383%	2.799	23.827%	0.1908
Sample68	97	0.985	24.204	24.953%	3.659	17.749%	0.1316
Sample69	66	0.978	16.552	25.079%	2.771	21.007%	0.1615
Sample70	72	0.941	30.411	42.238%	4.644	33.87%	0.3234
Sample71	67	0.945	23.607	35.234%	4.183	33.173%	0.2656
Sample72	75	0.964	22.791	30.388%	3.925	26.523%	0.1851
Sample73	65	0.972	18.981	29.202%	3.036	23.635%	0.1936
Sample74	60	0.979	14.025	23.375%	2.351	20.31%	0.1351
Sample75	69	0.957	24.41	35.377%	3.847	29.081%	0.2088
Sample76	67	0.957	25.066	37.412%	3.836	29.165%	0.225
Sample77	193	0.975	60.879	31.544%	8.518	22.393%	0.1502
Sample78	102	0.979	27.802	27.257%	4.038	20.343%	0.1769
Sample79	93	0.97	31.358	33.718%	4.771	24.315%	0.1918
Sample80	45	0.988	9.79	21.756%	1.631	15.622%	0.1019
Sample81	71	0.969	22.245	31.331%	3.605	24.701%	0.1996
Sample82	62	0.958	22.374	36.087%	3.509	28.844%	0.215
