Samples	Signature A
Sample1	0.00E+00
Sample2	0.00E+00
Sample3	0.00E+00
Sample4	0.00E+00
Sample5	0.00E+00
Sample6	0.00E+00
Sample7	0.00E+00
Sample8	0.00E+00
Sample9	0.00E+00
Sample10	0.00E+00
Sample11	0.00E+00
Sample12	0.00E+00
Sample13	0.00E+00
Sample14	0.00E+00
Sample15	0.00E+00
Sample16	0.00E+00
Sample17	0.00E+00
Sample18	0.00E+00
Sample19	0.00E+00
Sample20	0.00E+00
Sample21	0.00E+00
Sample22	0.00E+00
Sample23	0.00E+00
Sample24	0.00E+00
Sample25	0.00E+00
Sample26	0.00E+00
Sample27	0.00E+00
Sample28	0.00E+00
Sample29	0.00E+00
Sample30	0.00E+00
Sample31	0.00E+00
Sample32	0.00E+00
Sample33	0.00E+00
Sample34	0.00E+00
Sample35	0.00E+00
Sample36	0.00E+00
Sample37	0.00E+00
Sample38	0.00E+00
Sample39	0.00E+00
Sample40	0.00E+00
Sample41	0.00E+00
Sample42	0.00E+00
Sample43	0.00E+00
Sample44	0.00E+00
Sample45	0.00E+00
Sample46	0.00E+00
Sample47	0.00E+00
Sample48	0.00E+00
Sample49	0.00E+00
Sample50	0.00E+00
Sample51	0.00E+00
Sample52	0.00E+00
Sample53	0.00E+00
Sample54	0.00E+00
Sample55	0.00E+00
Sample56	0.00E+00
Sample57	0.00E+00
Sample58	0.00E+00
Sample59	0.00E+00
Sample60	0.00E+00
Sample61	0.00E+00
Sample62	0.00E+00
Sample63	0.00E+00
Sample64	0.00E+00
Sample65	0.00E+00
Sample66	0.00E+00
Sample67	0.00E+00
Sample68	0.00E+00
Sample69	0.00E+00
Sample70	0.00E+00
Sample71	0.00E+00
Sample72	0.00E+00
Sample73	0.00E+00
Sample74	0.00E+00
Sample75	0.00E+00
Sample76	0.00E+00
Sample77	0.00E+00
Sample78	0.00E+00
Sample79	0.00E+00
Sample80	0.00E+00
Sample81	0.00E+00
Sample82	0.00E+00
Sample83	0.00E+00
Sample84	0.00E+00
Sample85	0.00E+00
Sample86	0.00E+00
Sample87	0.00E+00
Sample88	0.00E+00
Sample89	0.00E+00
Sample90	0.00E+00
Sample91	0.00E+00
Sample92	0.00E+00
Sample93	0.00E+00
Sample94	0.00E+00
Sample95	0.00E+00
Sample96	0.00E+00
Sample97	0.00E+00
Sample98	0.00E+00
Sample99	0.00E+00
Sample100	0.00E+00
