Samples	Signature A	Signature B	Signature C	Signature D
Sample1	6.37E+00	1.04E+01	3.43E+01	1.86E+01
Sample2	2.68E+00	4.01E+00	3.80E+00	1.17E+00
Sample3	3.22E+00	3.63E+00	8.00E-01	0.00E+00
Sample4	1.80E+00	3.31E+00	1.40E+00	3.16E+00
Sample5	3.36E+00	4.06E+00	0.00E+00	6.04E+00
Sample6	1.50E+00	2.13E+00	2.27E+00	1.98E+00
Sample7	3.67E+00	9.24E+00	1.94E+01	1.47E+01
Sample8	4.30E+00	4.85E+00	8.00E-01	0.00E+00
Sample9	9.93E+00	3.47E+00	4.50E+00	9.57E+00
Sample10	2.14E+00	5.50E+00	2.76E+00	5.38E+00
Sample11	5.80E+00	0.00E+00	5.20E+00	6.75E+00
Sample12	1.85E+00	5.16E+00	4.88E+00	7.06E+00
Sample13	3.15E+00	6.20E+00	4.20E+00	0.00E+00
Sample14	3.02E+00	4.79E+00	3.50E+00	3.67E+00
Sample15	2.69E+00	4.90E-01	6.03E+00	4.98E+00
Sample16	1.66E+00	0.00E+00	1.26E+00	2.56E+00
Sample17	4.59E+00	0.00E+00	5.14E+00	1.40E+00
Sample18	7.47E+00	9.22E+00	2.21E+01	1.75E+01
Sample19	0.00E+00	4.35E+00	4.93E+00	4.66E+00
Sample20	1.60E+00	3.20E+00	3.20E+00	0.00E+00
Sample21	4.53E+00	3.57E+00	3.70E+00	6.00E-01
Sample22	3.70E+00	3.87E+00	0.00E+00	2.37E+00
Sample23	4.16E+00	5.00E+00	1.27E+01	5.11E+00
Sample24	7.75E-01	4.20E+00	2.60E+00	6.65E+00
Sample25	2.60E+00	2.42E+00	3.03E+00	2.80E+00
Sample26	4.50E+00	4.13E+00	9.00E+00	4.65E+00
Sample27	2.00E+00	5.50E+00	3.54E+00	5.18E+00
Sample28	1.00E+00	2.71E+00	2.33E+00	1.40E+00
Sample29	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample30	3.34E+00	4.27E+00	9.89E+00	1.16E+01
Sample31	3.10E+00	6.28E+00	4.86E+00	4.40E+00
Sample32	2.00E+00	2.60E+00	1.43E+00	1.20E+00
Sample33	6.55E+00	3.72E+00	1.84E+01	1.86E+01
Sample34	3.77E+00	3.77E+00	0.00E+00	0.00E+00
Sample35	0.00E+00	5.46E+00	5.44E+00	6.09E+00
Sample36	1.20E+00	4.23E+00	3.85E+00	2.20E+00
Sample37	4.27E+00	4.17E+00	2.75E+00	2.15E+00
Sample38	2.30E+00	1.66E+00	2.71E+00	1.80E+00
Sample39	4.55E+00	1.80E+00	1.17E+01	9.50E+00
Sample40	1.56E+00	5.44E+00	4.52E+00	2.14E+00
Sample41	3.06E+00	4.25E+00	3.68E+00	9.84E+00
Sample42	2.80E+00	2.80E+00	0.00E+00	0.00E+00
Sample43	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample44	2.20E+00	3.60E+00	7.80E+00	1.13E+01
Sample45	5.16E+00	4.80E+00	4.83E+00	4.60E+00
Sample46	2.60E+00	6.60E+00	6.96E+00	9.19E+00
Sample47	2.29E+00	6.75E+00	5.62E+00	1.74E+00
Sample48	2.00E-01	0.00E+00	2.00E-01	0.00E+00
Sample49	2.63E+00	4.73E+00	6.28E+00	5.63E+00
Sample50	5.06E+00	4.20E+00	3.87E+00	2.36E+00
Sample51	8.72E-01	3.14E+00	3.32E+00	2.33E+00
Sample52	3.33E+00	5.76E+00	3.83E+00	2.86E+00
Sample53	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample54	4.56E+00	1.02E+01	8.54E+00	8.00E-01
Sample55	7.04E+00	3.73E+00	4.60E+00	7.26E+00
Sample56	0.00E+00	4.01E+00	6.78E+00	6.14E+00
Sample57	2.00E-01	3.01E+00	6.80E+00	3.87E+00
Sample58	3.12E+00	9.45E+00	1.13E+01	2.91E+00
Sample59	3.29E+00	2.80E+00	9.10E+00	6.50E+00
Sample60	2.44E+00	3.75E+00	3.62E+00	9.80E-01
Sample61	2.76E+00	8.03E+00	3.80E+00	6.85E+00
Sample62	3.84E+00	0.00E+00	5.62E+00	3.87E+00
Sample63	0.00E+00	5.40E+00	5.40E+00	0.00E+00
Sample64	4.89E+00	1.33E+00	6.45E+00	7.56E+00
Sample65	9.69E+00	4.32E+00	5.60E+00	1.30E+01
Sample66	1.20E+00	4.18E+00	3.80E+00	1.08E+00
Sample67	0.00E+00	3.70E+00	3.70E+00	0.00E+00
Sample68	2.27E+00	0.00E+00	8.71E+00	8.56E+00
Sample69	2.73E+00	8.28E+00	7.37E+00	1.40E+00
Sample70	1.90E+00	2.85E+00	5.74E+00	2.30E+00
Sample71	5.44E+00	4.48E+00	3.09E+00	1.38E+00
Sample72	1.56E+00	7.00E+00	5.80E+00	2.23E+00
Sample73	0.00E+00	5.49E+00	3.70E+00	5.89E+00
Sample74	3.49E+00	3.49E+00	0.00E+00	0.00E+00
Sample75	2.55E+00	4.21E+00	3.01E+00	4.10E+00
Sample76	3.95E+00	1.59E+00	4.84E+00	1.80E+00
Sample77	8.82E+00	6.00E-01	1.45E+01	9.27E+00
Sample78	4.00E-01	6.05E+00	3.54E+00	7.66E+00
Sample79	1.74E+00	0.00E+00	2.94E+00	2.58E+00
Sample80	1.00E+00	0.00E+00	8.00E-01	0.00E+00
Sample81	3.26E+00	4.20E+00	4.56E+00	0.00E+00
Sample82	2.03E+00	5.61E+00	5.73E+00	1.20E+00
Sample83	1.00E+00	0.00E+00	3.19E+00	4.17E+00
Sample84	4.20E+00	3.87E+00	1.00E+00	5.54E+00
Sample85	1.40E+00	6.00E-01	5.20E+00	7.20E+00
Sample86	3.04E+00	4.00E-01	2.73E+00	4.64E+00
Sample87	1.62E+00	3.36E+00	0.00E+00	2.33E+00
Sample88	2.64E+00	3.18E+00	6.04E+00	4.80E+00
Sample89	2.56E+00	4.32E+00	6.20E+00	4.06E+00
Sample90	0.00E+00	6.58E+00	6.58E+00	0.00E+00
Sample91	0.00E+00	6.19E+00	1.03E+00	6.49E+00
Sample92	2.85E+00	3.84E+00	6.00E-01	3.09E+00
Sample93	4.07E+00	9.73E+00	1.03E+01	3.38E+00
Sample94	2.92E+00	6.72E+00	8.44E+00	4.91E+00
Sample95	4.08E+00	3.40E+00	1.60E+00	0.00E+00
Sample96	2.28E+00	2.20E+00	1.17E+00	1.00E+00
