Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample1	2.21E+01	3.47E+00	1.36E+01	1.60E+01	7.60E+00
Sample2	2.58E+00	2.45E+00	5.81E+00	1.00E+00	7.05E+00
Sample3	8.00E-01	2.89E+00	8.70E+00	0.00E+00	5.66E+00
Sample4	1.20E+00	1.60E+00	4.68E+00	3.56E+00	2.53E+00
Sample5	0.00E+00	2.83E+00	7.60E+00	6.38E+00	1.40E+00
Sample6	1.83E+00	2.33E+00	1.89E+00	1.20E+00	2.46E+00
Sample7	2.34E+01	2.60E+00	2.13E+01	1.77E+01	1.17E+01
Sample8	1.44E+00	3.31E+00	1.56E+00	0.00E+00	4.15E+00
Sample9	6.14E+00	7.42E+00	8.30E+00	3.67E+00	1.84E+00
Sample10	0.00E+00	2.20E+00	5.94E+00	3.41E+00	8.69E+00
Sample11	1.40E+00	6.80E+00	5.27E+00	7.73E+00	0.00E+00
Sample12	2.60E+00	1.80E+00	5.44E+00	9.32E+00	7.50E+00
Sample13	0.00E+00	2.42E+00	4.08E+00	0.00E+00	6.38E+00
Sample14	9.78E+00	4.13E+00	6.45E+00	4.61E+00	6.72E+00
Sample15	8.00E-01	1.36E+00	6.20E+00	4.82E+00	1.20E+00
Sample16	1.80E+00	1.78E+00	1.66E+00	2.97E+00	0.00E+00
Sample17	7.20E+00	5.80E+00	1.84E+00	1.20E+00	0.00E+00
Sample18	2.37E+01	8.41E+00	1.56E+01	2.40E+01	1.31E+01
Sample19	5.64E+00	0.00E+00	4.25E+00	0.00E+00	4.82E+00
Sample20	0.00E+00	1.20E+00	3.78E+00	0.00E+00	3.26E+00
Sample21	1.24E+00	3.64E+00	6.87E+00	1.00E+00	5.51E+00
Sample22	1.17E+00	3.25E+00	3.51E+00	0.00E+00	5.92E+00
Sample23	1.42E+01	4.02E+00	7.91E+00	8.63E+00	4.35E+00
Sample24	2.00E+00	1.40E+00	2.80E+00	6.69E+00	2.40E+00
Sample25	2.80E+00	2.63E+00	3.88E+00	2.60E+00	4.90E+00
Sample26	1.60E+00	6.99E+00	1.01E+01	3.20E+00	3.83E+00
Sample27	2.22E+00	0.00E+00	8.02E+00	3.56E+00	9.09E+00
Sample28	2.23E+00	1.17E+00	0.00E+00	0.00E+00	2.14E+00
Sample29	0.00E+00	8.00E-01	8.00E-01	0.00E+00	0.00E+00
Sample30	9.52E+00	3.56E+00	1.10E+01	1.18E+01	7.88E+00
Sample31	6.68E+00	3.30E+00	6.71E+00	4.60E+00	6.41E+00
