Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample1	2.52E+00	1.46E+01	1.11E+01	2.35E+01	0.00E+00	6.81E+00
Sample2	2.47E+00	1.00E+00	0.00E+00	6.66E+00	1.13E+01	8.45E+00
Sample3	2.19E+00	0.00E+00	1.32E+00	8.60E+00	8.66E+00	1.05E+01
Sample4	1.40E+00	3.20E+00	1.75E+00	2.71E+00	5.18E+00	2.25E+00
Sample5	2.50E+00	5.71E+00	0.00E+00	2.60E+00	2.40E+00	7.80E+00
Sample6	1.90E+00	2.84E+00	1.57E+00	2.00E+00	1.36E+00	1.84E+00
Sample7	2.94E+00	1.86E+01	5.31E+00	1.18E+01	5.45E+00	1.14E+01
Sample8	3.08E+00	0.00E+00	3.43E+00	5.43E+00	8.93E+00	3.69E+00
Sample9	7.97E+00	2.53E+00	6.80E+00	3.52E+00	2.20E+00	9.07E+00
Sample10	1.80E+00	4.49E+00	1.96E+00	5.91E+00	1.00E+01	5.42E+00
Sample11	5.80E+00	7.84E+00	2.64E+00	0.00E+00	4.07E+00	3.49E+00
Sample12	1.66E+00	1.00E+01	1.80E+00	1.00E+00	7.34E+00	9.43E+00
Sample13	3.26E+00	0.00E+00	2.18E+00	3.40E+00	5.81E+00	4.63E+00
Sample14	4.66E+00	4.42E+00	5.60E+00	4.67E+00	8.51E+00	8.46E+00
Sample15	8.00E-01	6.14E+00	3.29E+00	0.00E+00	5.45E+00	5.18E+00
Sample16	2.00E+00	3.02E+00	4.15E+00	0.00E+00	1.40E+00	2.53E+00
Sample17	6.00E+00	0.00E+00	7.40E+00	0.00E+00	0.00E+00	1.40E+00
Sample18	8.67E+00	2.44E+01	7.64E+00	1.53E+01	1.04E+01	5.62E+00
Sample19	0.00E+00	0.00E+00	5.10E+00	9.36E+00	1.01E+01	9.32E+00
Sample20	1.00E+00	0.00E+00	2.20E+00	5.40E+00	6.48E+00	3.40E+00
Sample21	1.80E+00	0.00E+00	3.51E+00	3.16E+00	4.99E+00	6.52E+00
Sample22	3.03E+00	0.00E+00	1.10E+00	7.04E+00	9.32E+00	4.51E+00
Sample23	4.72E+00	1.18E+01	7.17E+00	8.44E+00	0.00E+00	8.00E-01
Sample24	0.00E+00	1.03E+01	4.31E+00	0.00E+00	3.20E+00	8.38E+00
Sample25	2.59E+00	2.13E+00	2.28E+00	1.01E+01	8.36E+00	3.30E+00
