Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	1	30	0	132	22	3	18
Sample2	36	4	13	4	7	0	12
Sample3	42	0	0	0	4	10	11
Sample4	0	65	0	0	15	8	0
Sample5	0	15	0	0	18	12	0
Sample6	9	62	0	0	6	12	5
Sample7	23	12	25	101	0	18	6
Sample8	19	0	17	0	2	12	16
Sample9	0	5	2	12	15	11	23
Sample10	41	13	9	0	3	2	4
Sample11	0	51	7	0	22	3	0
Sample12	0	14	26	0	17	0	8
Sample13	23	0	27	0	0	5	7
Sample14	33	22	6	30	8	0	12
Sample15	0	56	0	0	27	1	5
Sample16	11	69	0	1	9	0	5
Sample17	3	0	0	0	0	11	23
Sample18	26	19	3	95	0	11	39
Sample19	24	0	25	8	0	5	6
Sample20	32	0	22	0	2	7	0
Sample21	26	0	14	0	2	5	14
Sample22	30	10	11	4	7	3	3
Sample23	0	107	0	58	0	22	7
Sample24	0	49	4	0	15	4	17
Sample25	44	0	8	0	9	3	7
Sample26	11	8	0	0	18	14	13
Sample27	21	2	17	3	15	0	9
Sample28	24	1	30	0	5	3	3
Sample29	3	0	0	0	5	37	0
Sample30	32	15	0	31	6	15	12
Sample31	43	0	1	14	7	6	0
Sample32	14	2	38	0	0	5	6
Sample33	1	54	34	71	0	16	4
Sample34	23	0	25	0	2	3	11
Sample35	36	0	9	6	10	0	5
Sample36	41	4	11	8	6	0	7
Sample37	16	3	22	0	6	13	11
Sample38	33	0	14	0	7	9	2
Sample39	0	83	0	85	0	12	14
Sample40	45	0	14	0	0	4	4
Sample41	0	42	20	2	17	7	9
Sample42	23	0	21	3	9	2	0
Sample43	3	0	0	0	5	37	0
Sample44	0	53	19	0	8	13	4
Sample45	0	48	14	20	15	8	2
Sample46	2	67	0	14	8	12	0
Sample47	37	0	13	0	5	5	2
Sample48	3	0	0	0	5	37	0
Sample49	27	0	21	0	11	3	2
Sample50	6	1	47	0	1	7	8
Sample51	17	0	28	0	8	0	9
Sample52	40	0	13	18	0	10	8
Sample53	3	0	0	0	5	37	0
Sample54	35	7	17	0	0	6	0
Sample55	0	6	14	0	10	10	14
Sample56	45	17	0	11	0	0	16
Sample57	28	9	14	0	2	1	17
Sample58	11	10	23	0	16	4	4
Sample59	8	61	0	0	15	4	19
Sample60	26	4	19	3	3	6	2
Sample61	21	0	15	0	0	17	14
Sample62	4	59	0	0	17	0	19
Sample63	38	2	14	0	4	1	0
Sample64	14	53	0	2	20	5	9
Sample65	1	23	0	7	34	0	34
Sample66	36	0	9	0	9	3	9
Sample67	27	0	17	0	8	6	2
Sample68	20	66	2	1	4	3	1
Sample69	30	0	16	0	15	4	1
Sample70	6	2	47	4	8	5	0
Sample71	20	0	39	0	3	4	1
Sample72	29	5	28	0	2	0	11
Sample73	19	3	30	0	12	0	1
Sample74	35	0	9	0	3	5	8
Sample75	35	0	8	0	3	18	5
Sample76	18	6	10	1	17	6	9
Sample77	0	107	0	57	0	10	19
Sample78	0	56	12	0	13	8	13
Sample79	9	68	1	4	7	4	0
Sample80	3	0	0	0	5	37	0
Sample81	35	1	9	0	19	0	7
Sample82	13	0	26	0	16	4	3
Sample83	0	61	4	0	11	7	7
Sample84	1	50	4	0	9	10	13
Sample85	0	69	0	0	13	6	9
Sample86	0	63	6	0	11	9	0
Sample87	21	0	17	0	0	13	8
Sample88	44	10	0	23	0	0	12
Sample89	33	3	19	0	9	3	0
Sample90	20	8	26	0	0	5	4
Sample91	40	3	9	9	1	2	1
Sample92	16	0	23	0	18	0	10
Sample93	24	0	25	8	17	0	2
Sample94	27	11	27	0	4	14	5
Sample95	24	0	21	0	2	13	5
Sample96	24	0	24	2	0	9	4
Sample97	33	0	14	0	11	0	8
Sample98	41	17	0	51	0	9	18
Sample99	32	27	1	27	3	0	0
Sample100	13	0	35	0	4	1	12
