Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	1.12E+01	3.00E+00	1.02E+01	2.14E+01	7.91E+00	4.65E+00	4.80E+00
Sample2	6.00E-01	7.91E+00	2.71E+00	3.03E+00	6.21E+00	3.12E+00	2.09E+00
Sample3	0.00E+00	5.47E+00	6.86E+00	0.00E+00	1.71E+00	0.00E+00	3.27E+00
Sample4	2.60E+00	3.83E+00	3.70E+00	1.80E+00	3.20E+00	3.16E+00	1.40E+00
Sample5	5.18E+00	0.00E+00	8.24E+00	4.00E-01	1.20E+00	2.00E+00	2.14E+00
Sample6	5.35E+00	0.00E+00	1.21E+00	6.60E+00	1.60E+00	2.44E+00	2.20E+00
Sample7	1.89E+01	1.21E+01	5.91E+00	2.11E+01	1.14E+01	3.79E+00	9.70E-01
Sample8	0.00E+00	7.50E+00	5.02E+00	0.00E+00	8.00E+00	4.76E+00	3.72E+00
Sample9	3.60E+00	1.60E+00	6.58E+00	7.55E+00	1.91E+00	7.57E+00	9.36E+00
Sample10	3.10E+00	7.81E+00	2.65E+00	0.00E+00	7.60E+00	2.29E+00	2.13E+00
Sample11	8.10E+00	0.00E+00	3.25E+00	7.20E+00	2.00E+00	4.28E+00	4.85E+00
Sample12	5.21E+00	1.60E+00	5.84E+00	3.53E+00	6.14E+00	3.58E+00	1.71E+00
Sample13	0.00E+00	6.49E+00	1.85E+00	0.00E+00	3.73E+00	4.69E+00	3.26E+00
Sample14	3.70E+00	5.54E+00	2.65E+00	5.79E+00	7.46E+00	4.28E+00	4.26E+00
Sample15	4.83E+00	1.56E+00	7.74E+00	0.00E+00	0.00E+00	3.96E+00	1.83E+00
Sample16	7.26E+00	0.00E+00	5.27E+00	3.00E+00	4.03E+00	3.30E+00	2.32E+00
Sample17	0.00E+00	0.00E+00	2.60E+00	2.20E+00	1.40E+00	7.17E+00	5.82E+00
Sample18	2.28E+01	1.00E+01	5.06E+00	2.30E+01	8.25E+00	9.85E+00	6.03E+00
Sample19	8.00E-01	8.58E+00	1.00E+00	8.19E+00	5.33E+00	6.58E+00	0.00E+00
Sample20	0.00E+00	1.05E+01	3.93E+00	0.00E+00	7.13E+00	3.46E+00	1.76E+00
Sample21	0.00E+00	4.33E+00	3.25E+00	1.74E+00	6.80E+00	3.79E+00	2.20E+00
Sample22	2.80E+00	6.44E+00	4.03E+00	0.00E+00	1.01E+01	1.66E+00	3.25E+00
Sample23	6.86E+00	3.00E+00	4.81E+00	1.23E+01	2.47E+00	5.98E+00	4.54E+00
Sample24	1.07E+01	0.00E+00	3.92E+00	9.00E+00	1.60E+00	4.61E+00	2.20E+00
Sample25	2.29E+00	4.24E+00	2.00E+00	3.20E+00	6.07E+00	1.82E+00	2.71E+00
Sample26	3.56E+00	8.07E+00	6.22E+00	0.00E+00	1.40E+00	3.66E+00	6.85E+00
Sample27	2.32E+00	7.61E+00	3.91E+00	8.24E+00	7.84E+00	3.12E+00	4.00E-01
Sample28	0.00E+00	7.05E+00	6.00E-01	6.00E-01	8.28E+00	2.71E+00	1.53E+00
Sample29	0.00E+00	0.00E+00	1.78E+00	0.00E+00	0.00E+00	0.00E+00	1.78E+00
Sample30	9.92E+00	1.03E+01	3.66E+00	9.95E+00	7.48E+00	3.22E+00	2.86E+00
Sample31	0.00E+00	6.62E+00	4.70E+00	6.67E+00	2.27E+00	8.00E-01	2.75E+00
Sample32	1.94E+00	6.92E+00	1.38E+00	8.00E-01	6.26E+00	3.32E+00	2.20E+00
Sample33	1.61E+01	6.94E+00	5.81E+00	1.61E+01	7.32E+00	3.02E+00	7.13E+00
Sample34	0.00E+00	4.99E+00	6.00E+00	0.00E+00	7.94E+00	4.11E+00	1.83E+00
Sample35	4.02E+00	8.15E+00	2.13E+00	1.84E+00	8.03E+00	2.21E+00	0.00E+00
Sample36	0.00E+00	9.04E+00	4.66E+00	1.98E+00	8.07E+00	8.00E-01	2.00E-01
Sample37	1.69E+00	7.04E+00	1.93E+00	2.14E+00	4.45E+00	5.11E+00	2.89E+00
Sample38	0.00E+00	7.51E+00	4.18E+00	0.00E+00	5.83E+00	0.00E+00	3.30E+00
Sample39	1.37E+01	0.00E+00	5.23E+00	1.37E+01	5.88E+00	6.15E+00	3.68E+00
Sample40	0.00E+00	4.45E+00	4.34E+00	6.00E-01	5.04E+00	5.44E+00	1.71E+00
Sample41	7.22E+00	4.10E+00	7.53E+00	8.80E+00	7.59E+00	6.58E+00	2.72E+00
Sample42	0.00E+00	8.94E+00	3.73E+00	0.00E+00	7.77E+00	3.09E+00	1.20E+00
Sample43	0.00E+00	0.00E+00	3.60E+00	0.00E+00	0.00E+00	0.00E+00	3.60E+00
Sample44	1.47E+01	6.00E-01	7.34E+00	6.40E+00	1.74E+00	2.93E+00	2.20E+00
Sample45	7.51E+00	2.14E+00	3.71E+00	3.52E+00	6.11E+00	2.69E+00	3.92E+00
Sample46	1.32E+01	4.32E+00	9.40E+00	4.18E+00	4.75E+00	2.14E+00	3.60E+00
Sample47	1.40E+00	3.72E+00	0.00E+00	0.00E+00	3.40E+00	8.00E-01	1.45E+00
Sample48	0.00E+00	0.00E+00	3.17E+00	0.00E+00	0.00E+00	2.00E-01	3.25E+00
Sample49	0.00E+00	6.72E+00	4.04E+00	5.03E+00	5.32E+00	4.27E+00	2.00E-01
Sample50	8.12E-01	4.72E+00	2.05E+00	2.60E+00	7.78E+00	4.59E+00	5.22E+00
Sample51	1.40E+00	9.05E+00	2.58E+00	0.00E+00	6.62E+00	4.31E+00	2.60E+00
Sample52	0.00E+00	3.61E+00	4.19E+00	4.21E+00	8.76E+00	5.88E+00	2.75E+00
Sample53	0.00E+00	0.00E+00	3.16E+00	0.00E+00	0.00E+00	0.00E+00	3.16E+00
Sample54	0.00E+00	7.65E+00	5.00E+00	4.00E-01	4.36E+00	3.85E+00	4.06E+00
Sample55	0.00E+00	4.68E+00	5.67E+00	3.74E+00	6.40E+00	1.60E+00	6.38E+00
Sample56	6.23E+00	8.25E+00	1.40E+00	4.85E+00	1.27E+01	4.18E+00	1.20E+00
Sample57	2.97E+00	7.22E+00	2.60E+00	8.00E-01	4.90E+00	3.35E+00	0.00E+00
Sample58	3.69E+00	9.20E+00	4.73E+00	1.94E+00	7.20E+00	5.27E+00	6.00E-01
Sample59	8.61E+00	1.60E+00	6.34E+00	4.03E+00	6.80E+00	6.07E+00	1.90E+00
Sample60	0.00E+00	5.29E+00	5.83E-01	3.15E+00	7.89E+00	3.59E+00	1.39E+00
Sample61	3.73E+00	9.77E+00	7.44E+00	0.00E+00	4.43E+00	1.87E+00	1.36E+00
Sample62	6.19E+00	9.70E-01	5.10E+00	2.60E+00	0.00E+00	3.06E+00	1.39E+00
Sample63	0.00E+00	1.11E+01	2.59E+00	0.00E+00	7.86E+00	2.91E+00	0.00E+00
Sample64	5.75E+00	3.68E+00	6.30E+00	2.93E+00	3.42E+00	8.09E+00	2.64E+00
Sample65	4.69E+00	4.07E+00	6.47E+00	1.46E+01	5.63E+00	7.56E+00	6.03E+00
Sample66	2.50E+00	9.41E+00	1.80E+00	1.60E+00	7.76E+00	3.14E+00	1.60E+00
Sample67	0.00E+00	8.64E+00	5.38E+00	0.00E+00	5.82E+00	1.00E+00	1.36E+00
Sample68	9.41E+00	3.70E+00	4.64E+00	3.83E+00	2.14E+00	2.90E+00	2.80E+00
Sample69	0.00E+00	6.26E+00	1.89E+00	0.00E+00	2.99E+00	4.07E+00	3.01E+00
Sample70	3.51E+00	6.25E+00	5.50E+00	4.60E+00	9.22E+00	1.60E+00	1.75E+00
Sample71	1.60E+00	6.70E+00	4.91E+00	0.00E+00	7.87E+00	4.60E+00	6.62E+00
Sample72	1.00E+00	8.50E+00	5.29E+00	0.00E+00	6.14E+00	3.41E+00	4.00E-01
Sample73	2.32E+00	5.25E+00	1.57E+00	2.20E+00	5.43E+00	3.21E+00	0.00E+00
Sample74	0.00E+00	4.85E+00	3.58E+00	6.00E-01	4.43E+00	4.62E+00	1.40E+00
Sample75	0.00E+00	7.82E+00	6.58E+00	2.40E+00	6.51E+00	3.50E+00	3.74E+00
Sample76	1.40E+00	7.31E+00	6.53E+00	6.00E-01	5.84E+00	2.20E+00	4.12E+00
Sample77	8.78E+00	2.00E-01	6.66E+00	1.62E+01	2.73E+00	3.84E+00	7.35E+00
Sample78	7.66E+00	1.40E+00	6.07E+00	2.79E+00	5.94E+00	5.81E+00	8.00E-01
Sample79	3.39E+00	0.00E+00	5.71E+00	1.38E+00	2.00E-01	1.26E+00	3.74E+00
Sample80	0.00E+00	0.00E+00	2.71E+00	0.00E+00	0.00E+00	1.40E+00	2.50E+00
Sample81	0.00E+00	6.63E+00	5.05E+00	0.00E+00	4.18E+00	4.26E+00	3.34E+00
Sample82	0.00E+00	3.54E+00	4.70E+00	1.66E+00	3.29E+00	3.40E+00	1.00E+00
Sample83	1.17E+01	0.00E+00	7.06E+00	1.01E+01	1.80E+00	2.71E+00	3.68E+00
Sample84	9.94E+00	1.60E+00	1.03E+01	8.20E+00	8.72E-01	4.43E+00	2.27E+00
Sample85	9.07E+00	3.40E+00	6.34E+00	1.76E+00	4.00E-01	1.20E+00	3.07E+00
Sample86	9.04E+00	0.00E+00	4.35E+00	4.00E+00	2.18E+00	1.17E+00	3.38E+00
Sample87	0.00E+00	6.11E+00	1.11E+00	0.00E+00	5.30E+00	6.46E+00	2.75E+00
Sample88	5.29E+00	8.70E+00	1.00E+00	3.31E+00	5.78E+00	3.78E+00	3.30E+00
Sample89	3.66E+00	5.56E+00	5.18E+00	0.00E+00	3.39E+00	2.13E+00	1.17E+00
Sample90	0.00E+00	7.33E+00	2.33E+00	0.00E+00	6.96E+00	3.04E+00	0.00E+00
Sample91	3.62E+00	1.14E+01	2.33E+00	1.80E+00	1.19E+01	4.00E-01	0.00E+00
Sample92	2.80E+00	7.31E+00	7.64E+00	2.00E-01	6.76E+00	3.22E+00	3.80E+00
Sample93	3.16E+00	1.05E+01	5.74E+00	2.42E+00	7.67E+00	2.00E+00	5.60E+00
Sample94	0.00E+00	4.24E+00	4.03E+00	2.80E+00	3.75E+00	5.27E+00	4.08E+00
Sample95	0.00E+00	8.59E+00	4.42E+00	0.00E+00	6.49E+00	3.20E+00	2.76E+00
Sample96	4.00E-01	9.33E+00	3.69E+00	2.18E+00	8.01E+00	2.48E+00	2.13E+00
Sample97	0.00E+00	6.46E+00	2.80E+00	0.00E+00	7.02E+00	2.40E+00	1.80E+00
Sample98	9.86E+00	4.19E+00	0.00E+00	1.20E+01	5.15E+00	5.42E+00	2.88E+00
Sample99	9.69E+00	8.59E+00	2.52E+00	8.08E+00	1.46E+01	5.18E+00	0.00E+00
Sample100	0.00E+00	8.58E+00	4.00E+00	3.32E+00	1.04E+01	4.77E+00	0.00E+00
