Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	26	2	7	124	21	25	0	0	1
Sample2	1	21	14	1	7	11	10	11	0
Sample3	0	26	13	0	6	17	2	0	3
Sample4	65	1	0	0	0	3	13	4	2
Sample5	13	6	0	0	0	0	9	6	11
Sample6	56	0	4	0	13	8	0	9	4
Sample7	7	0	17	94	47	0	0	8	12
Sample8	0	15	4	2	7	16	10	5	7
Sample9	3	0	0	5	0	15	10	21	14
Sample10	8	21	27	0	8	8	0	0	0
Sample11	44	7	10	1	0	0	12	6	3
Sample12	16	6	4	1	1	9	28	0	0
Sample13	0	22	8	0	14	7	9	2	0
Sample14	13	12	16	34	20	0	16	0	0
Sample15	43	0	29	0	0	12	0	0	5
Sample16	53	0	12	4	3	7	0	16	0
Sample17	0	0	0	4	10	16	0	0	7
Sample18	6	0	17	95	34	16	11	11	3
Sample19	0	21	11	0	3	1	3	21	8
Sample20	2	33	14	0	2	4	3	0	5
Sample21	1	16	4	0	14	7	14	5	0
Sample22	8	18	11	0	10	4	2	12	3
Sample23	94	0	4	68	0	22	0	0	6
Sample24	44	0	8	0	3	12	17	5	0
Sample25	0	33	18	0	1	10	8	0	1
Sample26	3	0	12	3	9	10	13	0	14
Sample27	5	13	6	1	15	5	8	14	0
Sample28	1	26	17	0	0	11	4	5	2
Sample29	0	0	6	0	0	0	0	0	39
Sample30	11	8	23	27	17	11	4	0	10
Sample31	0	15	27	2	17	0	0	4	6
Sample32	10	27	4	3	13	1	6	1	0
Sample33	45	0	15	79	24	0	11	0	6
Sample34	0	14	10	0	20	6	14	0	0
Sample35	0	21	22	0	0	8	5	10	0
Sample36	0	21	20	3	8	7	8	10	0
Sample37	6	16	5	1	13	12	8	3	7
Sample38	0	22	15	0	13	8	1	0	6
Sample39	73	0	0	93	0	16	0	11	1
Sample40	0	24	15	0	20	2	4	2	0
Sample41	34	0	25	5	0	15	12	0	6
Sample42	1	26	12	2	0	4	11	0	2
Sample43	0	0	6	0	0	0	0	0	39
Sample44	45	0	8	0	4	0	1	25	14
Sample45	35	0	14	14	0	0	5	26	13
Sample46	56	0	18	13	4	0	0	3	9
Sample47	0	17	22	0	11	0	0	7	5
Sample48	0	0	6	0	0	0	0	0	39
Sample49	0	20	26	0	8	7	0	0	3
Sample50	6	15	0	6	20	0	23	0	0
Sample51	0	8	15	0	9	4	5	20	1
Sample52	1	33	9	18	8	7	5	4	4
Sample53	0	0	6	0	0	0	0	0	39
Sample54	7	27	18	0	3	7	0	0	3
Sample55	8	0	0	0	6	12	16	6	6
Sample56	4	12	19	11	14	14	0	15	0
Sample57	5	19	14	0	3	24	5	1	0
Sample58	11	10	16	0	14	5	9	0	3
Sample59	54	0	13	0	10	16	5	9	0
Sample60	6	19	14	5	12	1	2	0	4
Sample61	0	16	0	0	11	9	0	17	14
Sample62	45	0	12	4	0	17	7	14	0
Sample63	3	29	17	0	6	0	0	3	1
Sample64	42	4	23	4	0	14	6	4	6
Sample65	11	0	19	1	0	24	16	21	7
Sample66	0	23	10	0	14	7	10	2	0
Sample67	0	21	16	0	8	4	6	0	5
Sample68	55	9	10	1	6	4	0	12	0
Sample69	0	17	19	0	14	0	11	2	3
Sample70	14	20	7	2	19	0	8	0	2
Sample71	0	19	14	0	19	0	1	9	5
Sample72	4	19	10	0	13	0	16	13	0
Sample73	4	24	11	0	3	4	15	4	0
Sample74	0	24	7	0	5	7	10	6	1
Sample75	5	25	6	0	15	0	5	1	12
Sample76	5	12	18	0	5	12	8	0	7
Sample77	80	0	13	66	0	30	4	0	0
Sample78	51	4	0	0	3	4	12	23	5
Sample79	60	3	3	3	2	0	8	14	0
Sample80	0	0	6	0	0	0	0	0	39
Sample81	0	9	25	0	27	2	7	1	0
Sample82	0	15	21	0	4	11	5	0	6
Sample83	55	0	8	0	2	7	2	12	4
Sample84	48	0	0	0	8	8	6	12	5
Sample85	62	0	13	0	0	15	2	3	2
Sample86	57	0	11	0	8	3	2	2	6
Sample87	2	21	0	0	13	10	7	0	6
Sample88	0	16	18	20	12	9	0	14	0
Sample89	5	26	14	0	9	2	3	6	2
Sample90	7	13	12	0	9	5	0	13	4
Sample91	4	25	8	3	13	2	0	10	0
Sample92	0	12	17	0	9	4	22	3	0
Sample93	0	17	16	6	17	0	20	0	0
Sample94	14	24	13	1	12	5	11	0	8
Sample95	6	26	6	0	8	5	2	4	8
Sample96	0	31	2	0	3	4	3	13	7
Sample97	0	20	18	0	13	9	5	1	0
Sample98	14	16	14	52	26	10	4	0	0
Sample99	10	0	38	24	9	0	0	9	0
Sample100	0	19	1	3	16	4	22	0	0
