Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	4.25E+00	1.27E+01	4.20E+00	2.86E+00	6.40E+00	5.60E+00	3.88E+00	3.60E+00	7.02E+00
Sample2	4.86E+00	2.69E+00	2.04E+00	8.48E+00	3.80E+00	7.17E+00	2.14E+00	4.00E-01	4.76E+00
Sample3	3.90E+00	1.20E+00	6.60E+00	7.04E+00	8.00E-01	4.46E+00	1.22E+00	0.00E+00	4.35E+00
Sample4	1.20E+00	1.40E+00	4.27E+00	3.08E+00	1.60E+00	1.11E+00	1.00E+00	2.66E+00	3.00E+00
Sample5	0.00E+00	0.00E+00	8.93E+00	1.91E+00	1.20E+00	0.00E+00	3.22E+00	7.30E+00	0.00E+00
Sample6	1.43E+00	0.00E+00	1.36E+00	0.00E+00	3.23E+00	3.56E+00	1.55E+00	2.61E+00	2.80E+00
Sample7	3.71E+00	5.77E+00	2.15E+00	6.64E+00	2.20E+00	8.66E+00	4.00E-01	3.34E+00	6.06E+00
Sample8	6.89E+00	0.00E+00	3.50E+00	5.85E+00	4.74E+00	3.95E+00	3.16E+00	0.00E+00	2.92E+00
Sample9	3.19E+00	3.60E+00	6.21E+00	2.45E+00	8.87E+00	1.60E+00	6.98E+00	1.96E+00	1.40E+00
Sample10	2.24E+00	0.00E+00	1.26E+00	5.09E+00	4.35E+00	4.71E+00	1.55E+00	2.18E+00	7.84E+00
Sample11	2.20E+00	0.00E+00	3.06E+00	0.00E+00	3.24E+00	3.48E+00	4.60E+00	6.58E+00	4.00E-01
Sample12	5.13E+00	2.73E+00	8.95E+00	0.00E+00	7.60E+00	2.37E+00	1.43E+00	4.24E+00	1.83E+00
Sample13	3.34E+00	0.00E+00	9.80E-01	6.59E+00	3.20E+00	2.60E+00	2.80E+00	0.00E+00	9.95E+00
Sample14	2.78E+00	3.88E+00	5.90E+00	3.35E+00	9.80E-01	7.08E+00	3.99E+00	2.27E+00	5.98E+00
Sample15	3.00E+00	0.00E+00	2.52E+00	0.00E+00	3.07E+00	5.15E+00	2.60E+00	6.95E+00	2.98E+00
Sample16	1.47E+00	0.00E+00	2.77E+00	4.00E-01	6.42E+00	1.84E+00	1.56E+00	9.88E+00	1.60E+00
Sample17	8.32E+00	0.00E+00	5.80E+00	0.00E+00	0.00E+00	0.00E+00	6.20E+00	0.00E+00	4.46E+00
Sample18	8.27E+00	1.11E+01	5.60E+00	2.32E+00	3.10E+00	1.80E+00	4.84E+00	2.47E+00	4.80E+00
Sample19	2.61E+00	1.96E+00	1.44E+00	4.08E+00	5.22E+00	8.07E+00	0.00E+00	0.00E+00	2.94E+00
Sample20	5.67E+00	0.00E+00	9.80E-01	7.22E+00	3.20E+00	3.85E+00	2.00E-01	0.00E+00	7.53E+00
Sample21	3.82E+00	2.60E+00	3.75E+00	5.91E+00	3.48E+00	2.32E+00	3.60E+00	0.00E+00	4.53E+00
Sample22	8.29E+00	1.80E+00	2.77E+00	6.11E+00	5.67E+00	4.24E+00	2.03E+00	6.00E-01	8.88E+00
Sample23	4.87E+00	3.26E+00	1.80E+00	2.52E+00	4.25E+00	5.04E+00	2.18E+00	6.99E+00	1.94E+00
Sample24	6.00E-01	0.00E+00	4.81E+00	8.00E-01	4.99E+00	3.12E+00	0.00E+00	8.74E+00	3.60E+00
Sample25	2.63E+00	1.00E+00	1.84E+00	6.47E+00	3.80E+00	6.43E+00	2.20E+00	1.80E+00	8.79E+00
Sample26	1.94E+00	0.00E+00	5.94E+00	1.00E+00	9.80E-01	6.58E+00	5.46E+00	1.40E+00	1.04E+01
Sample27	3.76E+00	8.00E-01	1.00E+00	4.04E+00	6.98E+00	4.73E+00	6.00E-01	2.13E+00	5.17E+00
Sample28	3.89E+00	0.00E+00	2.53E+00	3.23E+00	5.40E+00	5.91E+00	8.00E-01	0.00E+00	6.91E+00
Sample29	1.80E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.26E+00	0.00E+00	3.20E+00
Sample30	1.38E+00	7.70E+00	0.00E+00	3.62E+00	1.03E+00	3.06E+00	2.77E+00	9.32E+00	5.95E+00
Sample31	1.00E+00	6.74E+00	6.00E-01	3.65E+00	0.00E+00	8.00E+00	2.80E+00	4.00E-01	3.72E+00
Sample32	4.77E+00	1.20E+00	1.20E+00	3.67E+00	6.00E+00	1.02E+01	0.00E+00	0.00E+00	5.14E+00
Sample33	2.31E+00	9.50E+00	4.72E+00	2.91E+00	3.48E+00	7.51E+00	5.00E+00	8.69E+00	6.67E+00
Sample34	2.77E+00	0.00E+00	5.01E+00	2.79E+00	3.60E+00	3.00E+00	0.00E+00	0.00E+00	6.85E+00
Sample35	2.44E+00	0.00E+00	1.78E+00	6.13E+00	3.94E+00	5.85E+00	0.00E+00	3.43E+00	3.14E+00
Sample36	8.52E+00	2.29E+00	4.00E+00	9.81E+00	2.11E+00	4.89E+00	0.00E+00	8.00E-01	5.95E+00
Sample37	5.10E+00	3.26E+00	2.99E+00	4.18E+00	1.36E+00	1.28E+00	3.25E+00	1.00E+00	3.96E+00
Sample38	6.05E+00	0.00E+00	3.80E+00	4.45E+00	2.40E+00	3.92E+00	1.96E+00	0.00E+00	8.76E+00
Sample39	2.47E+00	8.76E+00	4.20E+00	0.00E+00	4.74E+00	6.10E+00	1.11E+00	9.98E+00	1.60E+00
Sample40	1.98E+00	0.00E+00	3.49E+00	6.69E+00	4.60E+00	3.92E+00	1.64E+00	1.56E+00	8.05E+00
Sample41	3.50E+00	0.00E+00	9.38E+00	3.49E+00	4.45E+00	9.71E+00	3.00E+00	7.51E+00	4.29E+00
Sample42	7.77E+00	6.00E-01	4.23E+00	5.57E+00	2.60E+00	6.68E+00	1.00E+00	0.00E+00	2.82E+00
Sample43	1.66E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.77E+00	0.00E+00	1.38E+00
Sample44	3.13E+00	0.00E+00	3.20E+00	1.36E+00	3.08E+00	5.71E+00	2.00E-01	1.02E+01	1.80E+00
Sample45	1.22E+00	6.15E+00	4.40E+00	2.73E+00	4.53E+00	4.43E+00	4.45E+00	6.19E+00	1.40E+00
Sample46	2.00E-01	2.71E+00	3.20E+00	4.00E-01	2.43E+00	7.71E+00	3.60E+00	1.15E+01	0.00E+00
Sample47	2.14E+00	0.00E+00	4.00E-01	3.45E+00	2.40E+00	3.44E+00	1.26E+00	1.40E+00	4.63E+00
Sample48	2.00E+00	0.00E+00	3.20E+00	0.00E+00	0.00E+00	2.00E+00	3.25E+00	0.00E+00	4.00E-01
Sample49	3.34E+00	0.00E+00	3.80E+00	7.19E+00	4.59E+00	8.52E+00	8.00E-01	8.00E-01	4.18E+00
Sample50	4.22E+00	6.00E-01	5.38E+00	1.20E+00	6.60E+00	4.14E+00	4.14E+00	1.00E+00	3.12E+00
Sample51	3.49E+00	0.00E+00	4.05E+00	1.00E+01	4.79E+00	5.49E+00	0.00E+00	0.00E+00	3.49E+00
Sample52	7.61E+00	4.66E+00	2.80E+00	4.44E+00	3.75E+00	1.12E+01	1.80E+00	4.90E-01	2.60E+00
Sample53	4.85E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.24E+00	0.00E+00	2.29E+00
Sample54	3.98E+00	0.00E+00	2.80E+00	4.93E+00	3.26E+00	6.27E+00	3.10E+00	0.00E+00	5.49E+00
Sample55	5.88E+00	0.00E+00	9.64E+00	1.80E+00	6.55E+00	0.00E+00	4.65E+00	0.00E+00	2.87E+00
Sample56	3.15E+00	4.90E+00	2.00E-01	6.67E+00	5.65E+00	8.94E+00	1.80E+00	3.60E+00	6.97E+00
Sample57	4.77E+00	0.00E+00	1.25E+00	6.42E+00	3.61E+00	5.58E+00	0.00E+00	2.02E+00	1.83E+00
Sample58	1.88E+00	1.00E+00	4.89E+00	2.52E+00	4.84E+00	6.07E+00	0.00E+00	3.95E+00	5.03E+00
Sample59	3.89E+00	0.00E+00	4.03E+00	0.00E+00	2.96E+00	4.14E+00	2.40E+00	6.89E+00	2.71E+00
Sample60	5.51E+00	2.68E+00	9.17E-01	2.60E+00	4.16E+00	2.61E+00	5.48E-01	0.00E+00	4.94E+00
Sample61	3.29E+00	1.40E+00	5.80E+00	6.74E+00	2.00E+00	2.85E+00	0.00E+00	4.59E+00	6.65E+00
Sample62	3.92E+00	0.00E+00	2.52E+00	6.00E-01	4.20E+00	5.39E+00	1.50E+00	7.62E+00	4.00E-01
Sample63	3.32E+00	0.00E+00	2.60E+00	7.96E+00	6.00E+00	4.12E+00	0.00E+00	0.00E+00	6.39E+00
Sample64	3.14E+00	1.36E+00	7.34E+00	0.00E+00	4.88E+00	5.31E+00	3.29E+00	2.96E+00	3.77E+00
Sample65	6.10E+00	2.40E+00	1.55E+01	6.00E-01	8.65E+00	3.06E+00	4.97E+00	5.48E+00	5.48E+00
Sample66	4.18E+00	0.00E+00	2.71E+00	5.76E+00	4.86E+00	4.19E+00	0.00E+00	2.58E+00	4.70E+00
Sample67	6.42E+00	1.00E+00	0.00E+00	8.45E+00	5.67E+00	3.83E+00	2.00E-01	0.00E+00	7.19E+00
Sample68	3.29E+00	1.90E+00	2.21E+00	2.69E+00	2.58E+00	5.10E+00	1.03E+00	6.79E+00	4.00E-01
Sample69	1.53E+00	0.00E+00	5.33E+00	6.20E+00	1.80E+00	5.62E+00	1.74E+00	0.00E+00	1.06E+01
Sample70	3.60E+00	4.80E+00	4.18E+00	5.60E+00	5.00E+00	4.82E+00	1.80E+00	3.13E+00	7.39E+00
