Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.846	126.406	61.362%	16.592	53.384%	0.36
Sample2	76	0.96	23.145	30.454%	4.067	28.065%	0.1525
Sample3	67	0.956	18.458	27.549%	3.902	29.496%	0.1826
Sample4	88	0.856	63.794	72.493%	10.338	54.186%	0.5185
Sample5	45	0.813	39.646	88.102%	6.091	60.016%	0.6798
Sample6	94	0.886	63.828	67.902%	8.956	48.009%	0.4619
Sample7	185	0.9	100.108	54.112%	14.108	43.81%	0.3048
Sample8	66	0.948	19.555	29.629%	4.151	31.837%	0.1531
Sample9	68	0.851	48.346	71.097%	7.205	53.703%	0.4869
Sample10	72	0.963	19.061	26.474%	4.094	27.477%	0.1604
Sample11	83	0.876	57.534	69.318%	8.392	49.365%	0.5127
Sample12	65	0.886	33.47	51.492%	6.222	46.505%	0.7566
Sample13	62	0.976	13.377	21.576%	2.593	21.915%	0.0893
Sample14	111	0.894	58.133	52.372%	9.613	46.197%	0.5539
Sample15	89	0.864	63.505	71.354%	10.426	53.136%	0.4802
Sample16	95	0.882	63.496	66.838%	9.608	49.223%	0.4683
Sample17	37	0.756	38.783	104.819%	5.085	66.201%	0.8639
Sample18	193	0.908	101.721	52.705%	14.698	42.842%	0.2968
Sample19	68	0.932	25.149	36.984%	4.704	37.423%	0.4311
Sample20	63	0.974	14.938	23.711%	2.964	23.075%	0.1333
Sample21	61	0.942	21.94	35.967%	3.994	33.636%	0.2694
Sample22	68	0.964	18.178	26.732%	3.599	26.678%	0.1613
Sample23	194	0.867	126.817	65.37%	19.949	51.996%	0.369
Sample24	89	0.892	58.203	65.397%	8.637	47.473%	0.4644
Sample25	71	0.977	16.049	22.604%	2.907	21.258%	0.1714
Sample26	64	0.886	46.912	73.3%	7.006	49.789%	0.4787
Sample27	67	0.947	21.772	32.496%	4.082	33.219%	0.4373
Sample28	66	0.967	17.1	25.909%	3.457	25.767%	0.1452
Sample29	45	0.811	37.974	84.387%	6.345	60.774%	0.6327
Sample30	111	0.926	55.485	49.986%	7.884	38.424%	0.2935
Sample31	71	0.917	32.101	45.213%	5.536	40.268%	0.534
Sample32	65	0.942	21.518	33.105%	4.503	33.657%	0.2158
Sample33	180	0.909	97.825	54.347%	14.525	43.324%	0.2911
Sample34	64	0.961	15.635	24.43%	3.606	27.821%	0.1109
Sample35	66	0.95	20.213	30.626%	4.024	31.422%	0.2486
Sample36	77	0.958	23.654	30.719%	4.246	28.957%	0.1515
Sample37	71	0.946	22.734	32.02%	4.505	32.597%	0.295
Sample38	65	0.967	16.601	25.54%	3.219	25.528%	0.1665
Sample39	194	0.869	125.085	64.477%	19.231	51.397%	0.3677
Sample40	67	0.96	18.594	27.752%	3.838	28.218%	0.1972
Sample41	97	0.896	61.877	63.791%	8.917	45.925%	0.4032
Sample42	58	0.971	14.185	24.457%	2.756	23.988%	0.1534
Sample43	45	0.811	37.974	84.387%	6.345	60.774%	0.6327
Sample44	97	0.895	60.418	62.287%	9.225	46.653%	0.4051
Sample45	107	0.894	64.295	60.089%	9.155	45.832%	0.3768
Sample46	103	0.861	72.136	70.035%	11.339	53.042%	0.4637
Sample47	62	0.929	21.383	34.489%	4.525	37.195%	0.2291
Sample48	45	0.811	37.974	84.387%	6.345	60.774%	0.6327
Sample49	64	0.954	19.02	29.719%	3.691	30.137%	0.2029
Sample50	70	0.903	30.029	42.899%	6.108	43.19%	0.2854
Sample51	62	0.957	18.125	29.234%	3.793	29.439%	0.1442
Sample52	89	0.952	30.738	34.537%	5.177	30.994%	0.2178
Sample53	45	0.811	37.974	84.387%	6.345	60.774%	0.6327
Sample54	65	0.964	17.056	26.24%	3.513	26.709%	0.1849
Sample55	54	0.876	37.552	69.541%	5.368	49.841%	0.4758
Sample56	89	0.915	44.467	49.963%	6.988	40.824%	0.4635
Sample57	71	0.95	18.999	26.759%	4.484	31.318%	0.2684
Sample58	68	0.937	25.012	36.782%	4.701	34.846%	0.3478
Sample59	107	0.894	70.988	66.344%	10.91	48.169%	0.4182
Sample60	63	0.95	19.581	31.081%	3.722	31.799%	0.2044
Sample61	67	0.903	27.518	41.072%	5.514	44.872%	0.4473
Sample62	99	0.893	65.997	66.664%	9.906	47.938%	0.4405
Sample63	59	0.957	14.911	25.273%	3.471	29.026%	0.1056
Sample64	103	0.905	62.314	60.499%	9.639	44.7%	0.368
Sample65	99	0.862	71.935	72.662%	10.926	52.266%	0.4947
Sample66	66	0.978	13.833	20.959%	2.635	20.832%	0.1366
Sample67	60	0.975	13.991	23.318%	2.638	22.456%	0.1659
Sample68	97	0.898	60.615	62.49%	9.5	46.082%	0.4212
Sample69	66	0.974	15.602	23.639%	3.034	23.001%	0.1487
Sample70	72	0.909	33.087	45.954%	5.845	42.629%	0.583
Sample71	67	0.931	24.579	36.685%	4.69	37.194%	0.442
Sample72	75	0.951	24.39	32.52%	4.565	30.847%	0.1837
Sample73	65	0.963	17.945	27.608%	3.465	26.975%	0.2214
Sample74	60	0.974	13.609	22.682%	2.642	22.823%	0.1342
Sample75	69	0.933	23.741	34.407%	4.811	36.368%	0.2515
Sample76	67	0.939	22.903	34.184%	4.529	34.433%	0.2132
Sample77	193	0.865	123.778	64.134%	19.752	51.925%	0.3638
Sample78	102	0.899	61.717	60.507%	8.991	45.296%	0.395
Sample79	93	0.862	70.79	76.118%	10.234	52.157%	0.5825
Sample80	45	0.811	37.974	84.387%	6.345	60.774%	0.6327
Sample81	71	0.933	26.651	37.537%	5.246	35.945%	0.2568
Sample82	62	0.951	19.535	31.508%	3.75	30.825%	0.1803
Sample83	90	0.877	64.229	71.366%	9.993	51.263%	0.5088
Sample84	87	0.884	59.946	68.903%	8.854	49.113%	0.4839
Sample85	97	0.863	70.255	72.428%	11.864	54.095%	0.4858
Sample86	89	0.87	68.433	76.891%	9.662	51.572%	0.5498
Sample87	59	0.946	20.012	33.919%	3.916	32.521%	0.1848
Sample88	89	0.927	38.548	43.312%	6.539	37.816%	0.3458
Sample89	67	0.976	15.205	22.694%	2.871	21.703%	0.1949
Sample90	63	0.959	17.905	28.421%	3.67	28.571%	0.1662
Sample91	65	0.935	20.955	32.238%	4.689	35.446%	0.3036
Sample92	67	0.953	19.819	29.581%	3.939	30.481%	0.2679
Sample93	76	0.944	26.635	35.046%	4.838	33.072%	0.4398
Sample94	88	0.962	27.568	31.327%	4.729	27.394%	0.197
Sample95	65	0.95	19.539	30.06%	3.974	31.32%	0.1348
Sample96	63	0.938	19.567	31.059%	4.161	35.293%	0.1885
Sample97	66	0.972	14.951	22.653%	3.018	23.567%	0.1108
Sample98	136	0.926	71.988	52.932%	9.744	38.577%	0.2853
Sample99	90	0.843	57.801	64.223%	10.515	54.227%	0.4137
Sample100	65	0.944	21.0	32.308%	4.155	33.161%	0.1707
