Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	1.826	13.832	0.346	16.904	0.019
2	1.802	13.639	0.336	16.515	0.019
3	1.83	13.838	0.341	16.711	0.019
4	1.851	14.004	0.347	17.008	0.02
5	1.839	13.899	0.345	16.885	0.019
6	1.839	13.927	0.344	16.92	0.02
7	1.864	14.133	0.338	16.619	0.019
8	1.801	13.592	0.34	16.547	0.018
9	1.822	13.76	0.337	16.545	0.019
10	1.874	14.164	0.348	17.001	0.02
11	1.923	14.604	0.355	17.46	0.021
12	1.876	14.203	0.346	17.015	0.02
13	1.876	14.221	0.351	17.175	0.02
14	1.881	14.241	0.352	17.252	0.02
15	1.885	14.28	0.35	17.178	0.02
16	1.855	14.059	0.342	16.725	0.02
17	1.888	14.305	0.349	17.11	0.02
18	1.785	13.495	0.334	16.45	0.019
19	1.891	14.328	0.349	17.083	0.02
20	1.878	14.193	0.352	17.321	0.019
21	1.849	14.007	0.351	17.198	0.02
22	1.945	14.767	0.355	17.347	0.021
23	1.824	13.784	0.342	16.69	0.019
24	1.809	13.697	0.34	16.605	0.019
25	1.88	14.275	0.35	17.095	0.021
26	1.799	13.597	0.33	16.227	0.018
27	1.838	13.916	0.336	16.565	0.019
28	1.92	14.503	0.362	17.647	0.021
29	1.839	13.92	0.353	17.185	0.02
30	1.867	14.101	0.347	17.012	0.021
31	1.87	14.197	0.351	17.24	0.02
32	1.901	14.383	0.357	17.378	0.02
33	1.824	13.819	0.333	16.488	0.019
34	1.88	14.211	0.344	16.921	0.021
35	1.869	14.177	0.354	17.42	0.021
36	1.795	13.576	0.334	16.244	0.019
37	1.881	14.267	0.35	17.254	0.021
38	1.858	14.07	0.349	17.095	0.02
39	1.898	14.381	0.351	17.373	0.02
40	1.808	13.709	0.33	16.226	0.019
41	1.806	13.646	0.344	16.783	0.019
42	1.897	14.354	0.355	17.443	0.02
43	1.899	14.382	0.353	17.338	0.02
44	1.891	14.341	0.351	17.317	0.02
45	1.809	13.683	0.336	16.321	0.019
46	1.857	13.994	0.352	17.128	0.02
47	1.879	14.241	0.351	17.239	0.02
48	1.87	14.124	0.355	17.307	0.02
49	1.862	14.129	0.345	16.88	0.02
50	1.902	14.402	0.348	17.107	0.02
51	1.906	14.411	0.346	16.915	0.02
52	1.845	13.948	0.342	16.713	0.019
53	1.893	14.351	0.355	17.418	0.021
54	1.909	14.47	0.349	17.023	0.02
55	1.882	14.211	0.356	17.419	0.02
56	1.863	14.109	0.359	17.32	0.02
57	1.843	13.925	0.341	16.542	0.019
58	1.863	14.123	0.347	17.045	0.02
59	1.867	14.142	0.352	17.208	0.02
60	1.851	13.997	0.344	16.84	0.019
61	1.866	14.088	0.349	17.071	0.02
62	1.828	13.805	0.342	16.663	0.019
63	1.873	14.185	0.343	16.881	0.019
64	1.86	14.105	0.338	16.556	0.02
65	1.837	13.881	0.345	16.823	0.019
66	1.852	14.09	0.346	17.023	0.02
67	1.945	14.704	0.365	17.797	0.021
68	1.886	14.294	0.357	17.397	0.02
69	1.897	14.372	0.35	17.224	0.021
70	1.866	14.085	0.344	16.904	0.02
71	1.831	13.878	0.344	16.923	0.019
72	1.845	13.976	0.338	16.605	0.019
73	1.843	13.956	0.34	16.685	0.019
74	1.904	14.397	0.348	17.039	0.02
75	1.858	14.068	0.349	17.061	0.02
76	1.87	14.149	0.348	17.036	0.02
77	1.874	14.239	0.34	16.686	0.02
78	1.892	14.319	0.359	17.504	0.02
79	1.892	14.354	0.339	16.716	0.02
80	1.807	13.707	0.337	16.535	0.02
81	1.832	13.855	0.34	16.626	0.019
82	1.851	13.973	0.349	16.981	0.019
83	1.825	13.855	0.337	16.547	0.019
84	1.857	14.076	0.349	16.998	0.02
85	1.821	13.798	0.335	16.273	0.019
86	1.913	14.506	0.347	17.068	0.02
87	1.882	14.303	0.351	17.361	0.021
88	1.873	14.158	0.359	17.451	0.02
89	1.819	13.747	0.343	16.766	0.019
90	1.833	13.887	0.346	16.913	0.019
91	1.879	14.194	0.355	17.395	0.02
92	1.819	13.787	0.334	16.456	0.019
93	1.889	14.283	0.355	17.28	0.02
94	1.844	13.914	0.349	16.966	0.019
95	1.83	13.834	0.339	16.564	0.019
96	1.961	14.848	0.362	17.736	0.022
97	1.896	14.338	0.351	17.231	0.02
98	1.875	14.216	0.35	17.025	0.02
99	1.852	14.02	0.346	16.906	0.019
100	1.871	14.187	0.342	16.808	0.02
101	1.872	14.17	0.348	17.139	0.021
102	1.799	13.598	0.338	16.439	0.018
103	1.889	14.305	0.35	17.018	0.02
104	1.889	14.277	0.355	17.275	0.021
105	1.876	14.187	0.345	16.989	0.02
106	1.886	14.301	0.349	17.188	0.02
107	1.898	14.363	0.354	17.289	0.02
108	1.845	13.926	0.348	16.92	0.02
109	1.795	13.572	0.34	16.77	0.019
110	1.89	14.278	0.352	17.215	0.02
111	1.862	14.092	0.343	16.78	0.02
112	1.927	14.591	0.349	17.153	0.021
113	1.836	13.907	0.341	16.644	0.019
114	1.829	13.803	0.344	16.805	0.019
115	1.847	13.991	0.351	17.147	0.019
116	1.902	14.441	0.356	17.454	0.021
117	1.836	13.9	0.348	16.898	0.02
118	1.888	14.27	0.352	17.169	0.02
119	1.909	14.48	0.356	17.309	0.02
120	1.901	14.4	0.354	17.151	0.02
121	1.826	13.776	0.34	16.604	0.019
122	1.867	14.131	0.351	17.157	0.02
123	1.842	13.951	0.347	16.978	0.02
124	1.805	13.657	0.348	16.937	0.02
125	1.859	14.054	0.343	16.851	0.02
126	1.909	14.483	0.358	17.55	0.02
127	1.868	14.135	0.34	16.728	0.019
128	1.877	14.259	0.351	17.226	0.021
129	1.84	13.919	0.347	17.03	0.02
130	1.821	13.764	0.337	16.562	0.02
131	1.841	13.94	0.336	16.679	0.02
132	1.867	14.126	0.342	16.785	0.02
133	1.912	14.411	0.356	17.308	0.02
134	1.869	14.133	0.349	17.06	0.02
135	1.913	14.511	0.356	17.403	0.021
136	1.812	13.738	0.333	16.255	0.019
137	1.889	14.282	0.348	16.945	0.02
138	1.894	14.325	0.348	17.139	0.02
139	1.839	13.932	0.345	16.841	0.02
140	1.927	14.619	0.348	17.123	0.02
141	1.849	13.967	0.358	17.511	0.02
142	1.907	14.433	0.358	17.398	0.02
143	1.856	14.055	0.342	16.682	0.019
144	1.797	13.584	0.34	16.609	0.019
145	1.831	13.818	0.334	16.444	0.019
146	1.884	14.204	0.352	17.17	0.02
147	1.895	14.354	0.359	17.546	0.02
148	1.887	14.291	0.353	17.241	0.02
149	1.872	14.176	0.349	17.099	0.02
150	1.87	14.176	0.345	16.904	0.02
151	1.861	14.082	0.348	16.992	0.02
152	1.841	13.92	0.343	16.766	0.02
153	1.867	14.152	0.342	16.848	0.019
154	1.916	14.55	0.347	17.022	0.02
155	1.876	14.185	0.349	17.022	0.02
156	1.862	14.051	0.34	16.62	0.02
157	1.902	14.386	0.349	17.062	0.02
158	1.928	14.614	0.365	17.83	0.021
159	1.895	14.368	0.349	17.011	0.02
160	1.779	13.451	0.336	16.39	0.018
161	1.861	14.103	0.347	17.007	0.02
162	1.853	14.017	0.346	16.859	0.019
163	1.87	14.093	0.346	16.901	0.02
164	1.851	14.022	0.35	17.009	0.019
165	1.898	14.387	0.349	17.176	0.02
166	1.892	14.366	0.35	17.149	0.02
167	1.901	14.399	0.353	17.255	0.021
168	1.843	13.959	0.344	16.955	0.019
169	1.792	13.556	0.336	16.436	0.019
170	1.821	13.784	0.335	16.49	0.019
171	1.866	14.133	0.353	17.228	0.02
172	1.923	14.533	0.359	17.612	0.02
173	1.826	13.8	0.339	16.45	0.019
174	1.881	14.175	0.362	17.527	0.02
175	1.857	14.086	0.352	17.305	0.02
176	1.853	14.038	0.348	16.93	0.019
177	1.789	13.551	0.324	15.917	0.019
178	1.838	13.907	0.34	16.791	0.02
179	1.823	13.771	0.338	16.422	0.019
180	1.83	13.832	0.342	16.767	0.019
181	1.792	13.543	0.331	16.26	0.019
182	1.871	14.147	0.345	16.937	0.02
183	1.828	13.825	0.342	16.645	0.019
184	1.934	14.665	0.354	17.344	0.021
185	1.879	14.269	0.355	17.304	0.02
186	1.763	13.32	0.325	15.821	0.018
187	1.859	14.056	0.343	16.826	0.019
188	1.811	13.704	0.338	16.529	0.019
189	1.857	14.035	0.344	16.902	0.02
190	1.791	13.552	0.327	16.058	0.018
191	1.932	14.593	0.359	17.538	0.021
192	1.943	14.726	0.358	17.491	0.021
193	1.878	14.186	0.356	17.366	0.02
194	1.854	14.017	0.346	17.056	0.02
195	1.911	14.466	0.351	17.199	0.02
196	1.88	14.189	0.355	17.506	0.02
197	1.801	13.63	0.348	16.923	0.019
198	1.852	14.008	0.352	17.133	0.019
199	1.819	13.79	0.338	16.605	0.019
200	1.958	14.822	0.364	17.741	0.021
201	1.895	14.355	0.354	17.221	0.02
202	1.837	13.873	0.346	16.911	0.019
203	1.902	14.368	0.354	17.364	0.02
204	1.843	13.952	0.348	16.958	0.019
205	1.871	14.126	0.343	16.672	0.02
206	1.867	14.11	0.353	17.158	0.02
207	1.962	14.866	0.37	18.008	0.021
208	1.822	13.813	0.341	16.762	0.019
209	1.908	14.408	0.358	17.529	0.02
210	1.928	14.615	0.362	17.772	0.021
211	1.793	13.576	0.334	16.387	0.019
212	1.837	13.905	0.35	17.158	0.02
213	1.848	13.986	0.34	16.67	0.019
214	1.885	14.308	0.351	17.189	0.02
215	1.826	13.849	0.343	16.716	0.019
216	1.932	14.637	0.358	17.601	0.021
217	1.862	14.059	0.347	16.982	0.019
218	1.817	13.762	0.343	16.816	0.019
219	1.858	14.063	0.351	17.158	0.02
220	1.877	14.256	0.352	17.221	0.02
221	1.942	14.686	0.366	17.845	0.021
222	1.833	13.862	0.34	16.576	0.019
223	1.894	14.344	0.352	17.201	0.02
224	1.883	14.231	0.35	17.116	0.02
225	1.883	14.281	0.347	16.93	0.02
226	1.826	13.807	0.341	16.715	0.02
227	1.865	14.122	0.344	16.854	0.02
228	1.904	14.347	0.35	17.204	0.02
229	1.895	14.316	0.354	17.195	0.021
230	1.949	14.74	0.363	17.64	0.021
231	1.868	14.142	0.35	17.053	0.02
232	1.905	14.468	0.356	17.594	0.021
233	1.858	14.091	0.353	17.286	0.021
234	1.9	14.391	0.356	17.486	0.02
235	1.885	14.292	0.348	17.087	0.02
236	1.836	13.903	0.343	16.741	0.02
237	1.912	14.521	0.351	17.243	0.021
238	1.827	13.873	0.343	16.686	0.02
239	1.829	13.82	0.339	16.552	0.019
240	1.827	13.857	0.339	16.614	0.019
241	1.918	14.506	0.361	17.502	0.02
242	1.89	14.314	0.348	17.08	0.02
243	1.849	14.008	0.345	16.869	0.02
244	1.851	13.977	0.35	17.098	0.019
245	1.901	14.404	0.352	17.316	0.02
246	1.783	13.457	0.335	16.436	0.018
247	1.846	13.985	0.335	16.468	0.019
248	1.905	14.422	0.354	17.383	0.021
249	1.887	14.289	0.347	16.949	0.02
250	1.886	14.285	0.358	17.589	0.021
