Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	26	0.977	5.532	21.277%	1.392	21.479%	0.0842
Sample2	27	0.958	7.218	26.733%	1.927	28.726%	0.1201
Sample3	25	0.929	9.732	38.928%	2.265	37.236%	0.2491
Sample4	28	0.928	9.923	35.439%	2.645	37.406%	0.2381
Sample5	27	0.972	5.415	20.056%	1.545	23.561%	0.1121
Sample6	25	0.929	8.748	34.992%	2.149	37.409%	0.2264
Sample7	27	0.96	7.339	27.181%	1.836	27.999%	0.1349
Sample8	28	0.978	5.755	20.554%	1.392	20.985%	0.0938
Sample9	26	0.969	5.814	22.362%	1.515	24.577%	0.0816
Sample10	31	0.963	9.628	31.058%	2.114	27.522%	0.1336
Sample11	23	0.965	6.229	27.083%	1.534	26.704%	0.1315
Sample12	27	0.974	4.965	18.389%	1.419	22.722%	0.0815
Sample13	28	0.957	7.865	28.089%	1.927	29.051%	0.1513
