Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	26	0.968	5.561	21.388%	1.648	25.429%	0.1096
Sample2	27	0.96	6.442	23.859%	1.902	28.353%	0.1203
Sample3	25	0.891	10.586	42.344%	2.785	45.785%	0.3671
Sample4	28	0.923	8.765	31.304%	2.726	38.551%	0.2633
Sample5	27	0.97	5.543	20.53%	1.608	24.522%	0.1182
Sample6	25	0.919	8.29	33.16%	2.308	40.177%	0.2341
Sample7	27	0.939	7.889	29.219%	2.247	34.266%	0.227
Sample8	28	0.974	5.429	19.389%	1.489	22.448%	0.1011
Sample9	26	0.969	5.233	20.127%	1.535	24.901%	0.0759
Sample10	31	0.949	9.811	31.648%	2.426	31.584%	0.1506
Sample11	23	0.953	6.793	29.535%	1.745	30.377%	0.1487
Sample12	27	0.965	5.635	20.87%	1.636	26.197%	0.0951
Sample13	28	0.95	7.235	25.839%	2.081	31.372%	0.1926
