Samples	Signature A
Sample1	79
Sample2	110
Sample3	140
Sample4	181
Sample5	202
Sample6	237
Sample7	314
Sample8	341
Sample9	369
Sample10	398
Sample11	432
Sample12	455
Sample13	481
Sample14	525
Sample15	562
Sample16	599
Sample17	611
Sample18	685
Sample19	715
Sample20	741
Sample21	765
Sample22	796
Sample23	871
Sample24	905
Sample25	934
Sample26	959
Sample27	989
Sample28	1018
Sample29	1041
Sample30	1084
Sample31	1113
Sample32	1139
Sample33	1210
Sample34	1239
Sample35	1268
Sample36	1299
Sample37	1328
Sample38	1356
Sample39	1439
Sample40	1468
Sample41	1509
Sample42	1533
Sample43	1556
Sample44	1595
Sample45	1639
Sample46	1677
Sample47	1707
Sample48	1730
Sample49	1759
Sample50	1789
Sample51	1819
Sample52	1852
Sample53	1875
Sample54	1900
Sample55	1924
Sample56	1960
Sample57	1989
Sample58	2020
Sample59	2066
Sample60	2092
Sample61	2122
Sample62	2163
Sample63	2188
Sample64	2226
Sample65	2272
Sample66	2303
Sample67	2328
Sample68	2369
Sample69	2396
Sample70	2424
Sample71	2455
Sample72	2493
Sample73	2523
Sample74	2551
Sample75	2582
Sample76	2610
Sample77	2686
Sample78	2726
Sample79	2766
Sample80	2789
Sample81	2820
Sample82	2846
Sample83	2880
Sample84	2916
Sample85	2957
Sample86	2992
Sample87	3016
Sample88	3051
Sample89	3082
Sample90	3109
Sample91	3142
Sample92	3171
Sample93	3201
Sample94	3237
Sample95	3267
Sample96	3293
Sample97	3322
Sample98	3371
Sample99	3412
Sample100	3440
Sample101	3470
Sample102	3505
Sample103	3532
Sample104	3560
Sample105	3604
Sample106	3635
Sample107	3665
Sample108	3693
Sample109	3719
Sample110	3766
Sample111	3842
Sample112	3872
Sample113	3895
Sample114	3934
Sample115	3969
Sample116	3999
Sample117	4029
Sample118	4060
Sample119	4132
Sample120	4162
Sample121	4191
Sample122	4222
Sample123	4241
Sample124	4279
Sample125	4316
Sample126	4350
Sample127	4350
Sample128	4383
Sample129	4406
Sample130	4432
Sample131	4459
Sample132	4485
Sample133	4515
Sample134	4541
Sample135	4572
Sample136	4602
Sample137	4627
Sample138	4668
Sample139	4699
Sample140	4772
Sample141	4797
Sample142	4866
Sample143	4892
Sample144	4932
Sample145	4972
Sample146	5003
Sample147	5039
Sample148	5067
Sample149	5086
Sample150	5126
Sample151	5154
Sample152	5184
Sample153	5219
Sample154	5259
Sample155	5288
Sample156	5318
Sample157	5347
Sample158	5375
Sample159	5402
Sample160	5442
Sample161	5473
Sample162	5547
Sample163	5577
Sample164	5604
Sample165	5629
Sample166	5660
Sample167	5701
Sample168	5723
Sample169	5763
Sample170	5792
Sample171	5822
Sample172	5861
Sample173	5901
Sample174	5930
Sample175	5973
Sample176	6002
Sample177	6040
Sample178	6068
Sample179	6096
Sample180	6115
Sample181	6142
Sample182	6223
Sample183	6251
Sample184	6289
Sample185	6364
Sample186	6394
Sample187	6427
Sample188	6462
Sample189	6505
Sample190	6532
Sample191	6560
Sample192	6588
Sample193	6611
Sample194	6661
Sample195	6687
Sample196	6696
Sample197	6734
Sample198	6762
Sample199	6786
Sample200	6822
Sample201	6852
Sample202	6889
Sample203	6966
Sample204	6992
Sample205	7032
Sample206	7053
Sample207	7083
Sample208	7109
Sample209	7184
Sample210	7223
Sample211	7246
Sample212	7288
Sample213	7327
Sample214	7356
Sample215	7429
Sample216	7474
Sample217	7511
Sample218	7538
Sample219	7714
Sample220	7792
Sample221	7827
Sample222	7857
Sample223	7895
Sample224	7938
Sample225	7966
Sample226	7992
Sample227	8021
Sample228	8061
Sample229	8137
Sample230	8168
Sample231	8250
Sample232	8279
Sample233	8290
Sample234	8319
Sample235	8348
Sample236	8383
Sample237	8406
Sample238	8415
Sample239	8445
Sample240	8473
Sample241	8500
Sample242	8541
Sample243	8582
Sample244	8610
Sample245	8643
Sample246	8670
Sample247	8701
Sample248	8731
Sample249	8757
Sample250	8793
Sample251	8868
Sample252	8899
Sample253	8924
Sample254	8950
Sample255	8996
Sample256	9019
Sample257	9046
Sample258	9076
Sample259	9103
Sample260	9129
Sample261	9209
Sample262	9250
Sample263	9289
Sample264	9319
Sample265	9394
Sample266	9420
Sample267	9449
Sample268	9474
Sample269	9528
Sample270	9704
Sample271	9735
Sample272	9803
Sample273	9846
Sample274	9875
Sample275	9908
Sample276	9937
Sample277	9962
Sample278	9990
Sample279	10025
Sample280	10049
Sample281	10079
Sample282	10117
Sample283	10143
Sample284	10183
Sample285	10224
Sample286	10300
Sample287	10330
Sample288	10370
Sample289	10403
Sample290	10439
Sample291	10476
Sample292	10507
Sample293	10585
Sample294	10614
Sample295	10640
Sample296	10673
Sample297	10700
Sample298	10708
Sample299	10739
Sample300	10756
Sample301	10799
Sample302	10827
Sample303	10855
Sample304	10891
Sample305	10927
Sample306	10967
Sample307	11000
Sample308	11031
Sample309	11061
Sample310	11090
Sample311	11117
Sample312	11158
Sample313	11181
Sample314	11258
Sample315	11287
Sample316	11316
Sample317	11346
Sample318	11390
Sample319	11420
Sample320	11493
Sample321	11517
Sample322	11558
Sample323	11589
Sample324	11629
Sample325	11658
Sample326	11690
Sample327	11719
Sample328	11762
Sample329	11798
Sample330	11824
Sample331	11909
Sample332	11981
Sample333	12022
Sample334	12049
Sample335	12127
Sample336	12204
Sample337	12235
Sample338	12279
