Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	79	0.899	39.317	49.768%	5.899	44.091%	0.2807
Sample2	110	0.938	43.375	39.432%	6.507	34.682%	0.2062
Sample3	140	0.936	54.797	39.141%	8.507	35.263%	0.1976
Sample4	181	0.962	57.163	31.582%	8.753	27.447%	0.1433
Sample5	202	0.955	71.06	35.178%	10.794	29.732%	0.1477
Sample6	237	0.963	75.458	31.839%	11.699	26.989%	0.1278
Sample7	314	0.983	69.129	22.016%	10.475	18.617%	0.064
Sample8	341	0.986	69.666	20.43%	10.495	16.969%	0.0601
Sample9	369	0.987	73.629	19.954%	10.765	16.103%	0.0591
Sample10	398	0.99	71.211	17.892%	10.537	14.392%	0.0546
Sample11	432	0.99	75.362	17.445%	11.126	13.918%	0.0533
Sample12	455	0.99	80.634	17.722%	12.138	14.32%	0.0521
Sample13	481	0.992	80.159	16.665%	11.643	12.97%	0.0496
Sample14	525	0.993	81.722	15.566%	11.795	12.069%	0.043
Sample15	562	0.992	91.596	16.298%	13.343	12.611%	0.0415
Sample16	599	0.991	98.289	16.409%	15.45	13.55%	0.0416
Sample17	611	0.992	96.645	15.818%	14.336	12.409%	0.0408
Sample18	685	0.995	88.633	12.939%	13.096	10.242%	0.0315
Sample19	715	0.996	83.959	11.743%	12.291	9.21%	0.0296
Sample20	741	0.996	83.55	11.275%	12.082	8.699%	0.0289
Sample21	765	0.997	82.815	10.825%	11.913	8.259%	0.0281
Sample22	796	0.997	84.232	10.582%	12.301	8.133%	0.0275
Sample23	871	0.997	88.26	10.133%	13.494	8.23%	0.0243
Sample24	905	0.996	93.862	10.371%	15.039	8.784%	0.0239
Sample25	934	0.997	91.647	9.812%	14.71	8.304%	0.0229
Sample26	959	0.997	93.608	9.761%	14.733	8.111%	0.0231
Sample27	989	0.997	94.099	9.515%	14.485	7.728%	0.0237
Sample28	1018	0.997	93.967	9.231%	14.478	7.485%	0.0225
Sample29	1041	0.997	99.082	9.518%	15.26	7.728%	0.0206
Sample30	1084	0.998	97.044	8.952%	14.284	6.972%	0.0202
Sample31	1113	0.998	94.647	8.504%	13.571	6.442%	0.0203
Sample32	1139	0.998	94.528	8.299%	13.245	6.124%	0.02
Sample33	1210	0.998	94.809	7.835%	14.288	6.253%	0.0177
Sample34	1239	0.998	99.99	8.07%	14.811	6.305%	0.0174
Sample35	1268	0.998	100.182	7.901%	14.92	6.189%	0.0159
Sample36	1299	0.998	106.738	8.217%	15.74	6.356%	0.0159
Sample37	1328	0.998	110.357	8.31%	16.464	6.488%	0.016
Sample38	1356	0.998	114.085	8.413%	17.253	6.644%	0.0159
Sample39	1439	0.998	111.73	7.764%	16.719	6.133%	0.0159
Sample40	1468	0.998	116.512	7.937%	17.397	6.244%	0.0158
Sample41	1509	0.998	116.122	7.695%	17.647	6.157%	0.0154
Sample42	1533	0.998	121.778	7.944%	18.474	6.327%	0.0154
Sample43	1556	0.998	128.304	8.246%	19.581	6.614%	0.0146
Sample44	1595	0.998	122.101	7.655%	19.432	6.384%	0.0139
Sample45	1639	0.998	124.752	7.611%	20.148	6.443%	0.0137
Sample46	1677	0.998	123.617	7.371%	20.756	6.48%	0.0129
Sample47	1707	0.998	122.605	7.182%	20.002	6.133%	0.0121
Sample48	1730	0.998	129.1	7.462%	21.585	6.536%	0.012
Sample49	1759	0.998	126.377	7.185%	21.251	6.334%	0.0111
Sample50	1789	0.998	128.328	7.173%	21.839	6.383%	0.011
Sample51	1819	0.998	131.656	7.238%	22.183	6.357%	0.0109
Sample52	1852	0.998	133.121	7.188%	21.617	6.081%	0.0111
Sample53	1875	0.998	144.259	7.694%	23.816	6.622%	0.0113
Sample54	1900	0.998	144.75	7.618%	24.251	6.642%	0.0111
Sample55	1924	0.998	147.054	7.643%	24.607	6.653%	0.011
Sample56	1960	0.998	144.898	7.393%	23.727	6.287%	0.0108
Sample57	1989	0.998	143.605	7.22%	23.853	6.22%	0.0105
Sample58	2020	0.998	142.124	7.036%	23.847	6.128%	0.0098
Sample59	2066	0.998	142.324	6.889%	23.839	5.986%	0.0096
Sample60	2092	0.998	141.284	6.754%	24.029	5.958%	0.0088
Sample61	2122	0.998	144.647	6.817%	24.849	6.078%	0.009
Sample62	2163	0.998	142.835	6.604%	24.323	5.834%	0.0086
Sample63	2188	0.998	142.723	6.523%	24.194	5.731%	0.0086
Sample64	2226	0.998	142.995	6.424%	24.801	5.764%	0.0085
Sample65	2272	0.998	146.352	6.442%	24.175	5.517%	0.0089
Sample66	2303	0.999	144.655	6.281%	23.879	5.371%	0.0088
Sample67	2328	0.999	146.629	6.298%	23.854	5.304%	0.0088
Sample68	2369	0.999	140.981	5.951%	23.226	5.062%	0.008
Sample69	2396	0.999	145.07	6.055%	23.024	4.956%	0.008
Sample70	2424	0.999	148.265	6.117%	23.852	5.072%	0.0081
Sample71	2455	0.999	147.091	5.991%	23.916	5.024%	0.008
Sample72	2493	0.999	146.723	5.885%	24.345	5.032%	0.008
Sample73	2523	0.999	149.413	5.922%	25.214	5.142%	0.0079
Sample74	2551	0.999	152.009	5.959%	25.04	5.048%	0.008
Sample75	2582	0.999	158.598	6.142%	25.565	5.09%	0.0081
Sample76	2610	0.999	156.38	5.992%	25.016	4.925%	0.0079
Sample77	2686	0.999	142.506	5.306%	23.644	4.541%	0.0056
Sample78	2726	0.999	139.939	5.133%	23.745	4.499%	0.005
Sample79	2766	0.999	133.484	4.826%	23.726	4.426%	0.0047
