Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	70	0	134	91	181	48	85	0	95	301
Sample2	389	69	41	97	56	167	77	18	13	73
Sample3	368	52	36	217	53	123	51	20	14	66
Sample4	81	251	70	138	50	70	149	15	110	53
Sample5	16	149	254	247	62	41	107	0	68	92
Sample6	126	351	165	152	30	2	85	44	61	0
Sample7	239	60	0	73	128	106	58	258	2	91
Sample8	301	50	96	108	75	158	42	43	13	99
Sample9	315	7	86	229	86	17	69	38	87	58
Sample10	406	159	79	15	69	96	68	43	22	35
Sample11	108	249	140	193	35	24	106	21	120	29
Sample12	272	147	231	0	0	17	144	0	135	24
Sample13	486	51	89	30	28	139	12	45	72	36
Sample14	214	39	156	0	235	158	68	12	1	100
Sample15	40	245	144	129	153	132	82	0	45	65
Sample16	115	348	147	44	103	0	113	6	9	145
Sample17	242	0	406	128	35	0	16	61	35	60
Sample18	215	36	65	42	45	149	56	320	39	48
Sample19	314	135	63	302	12	0	47	85	19	31
Sample20	368	60	95	149	62	132	50	8	13	47
Sample21	383	71	16	203	41	28	98	35	80	25
Sample22	383	89	113	0	93	112	110	29	68	17
Sample23	49	261	113	117	134	0	101	187	54	0
Sample24	137	329	155	111	54	11	87	26	73	32
Sample25	393	115	65	105	44	91	81	9	66	31
Sample26	111	1	284	149	187	46	37	42	61	69
Sample27	356	103	73	138	82	39	48	29	70	70
Sample28	336	122	91	145	29	95	80	34	19	49
Sample29	73	42	479	0	10	221	61	28	52	6
Sample30	242	70	86	0	218	123	23	71	21	130
Sample31	414	65	60	141	50	38	55	90	35	52
Sample32	456	50	93	80	35	0	104	103	38	21
Sample33	221	39	57	116	47	60	106	298	15	27
Sample34	363	30	125	79	65	179	82	35	13	29
Sample35	410	51	55	151	65	53	91	53	31	40
Sample36	381	48	47	83	69	177	79	26	14	84
Sample37	435	45	98	52	44	48	95	80	78	17
Sample38	409	64	106	57	56	144	44	42	16	54
Sample39	32	222	78	89	25	3	72	256	146	102
Sample40	421	42	78	111	53	94	90	46	29	36
Sample41	63	244	23	235	94	97	79	11	40	94
Sample42	408	66	105	82	59	76	95	26	25	38
Sample43	73	42	479	0	10	221	61	28	52	6
Sample44	126	398	78	82	64	24	98	32	62	10
Sample45	123	279	112	96	103	0	83	53	105	30
Sample46	138	334	181	27	97	0	86	57	74	42
Sample47	334	54	111	217	55	103	52	33	18	31
Sample48	73	42	479	0	10	221	61	28	52	6
Sample49	334	77	96	246	48	55	53	27	20	44
Sample50	379	0	153	34	76	98	132	31	105	0
Sample51	420	45	62	90	41	29	131	94	83	13
Sample52	424	45	87	0	84	152	36	64	62	73
Sample53	73	42	479	0	10	221	61	28	52	6
Sample54	438	70	104	63	38	39	96	79	29	23
Sample55	225	93	110	238	76	44	67	7	75	45
Sample56	317	53	0	90	154	117	97	53	10	83
Sample57	416	89	86	113	34	27	91	67	30	47
Sample58	372	93	120	40	38	60	49	66	114	63
Sample59	65	299	144	53	135	39	107	0	33	114
