Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	1005	0.91	360.902	35.911%	49.236	41.625%	0.0916
Sample2	1000	0.993	69.119	6.912%	14.01	12.352%	0.0066
Sample3	1000	0.988	83.965	8.396%	17.415	15.51%	0.012
Sample4	987	0.964	189.442	19.194%	31.708	26.461%	0.034
Sample5	1036	0.946	224.249	21.646%	38.021	33.179%	0.0437
Sample6	1016	0.977	156.195	15.374%	25.202	21.489%	0.0221
Sample7	1015	0.954	271.966	26.795%	38.271	30.289%	0.0502
Sample8	985	0.985	93.689	9.512%	19.379	17.481%	0.0131
Sample9	992	0.962	151.668	15.289%	30.287	27.322%	0.036
Sample10	992	0.991	89.334	9.005%	15.5	13.7%	0.0087
Sample11	1025	0.973	172.703	16.849%	27.293	23.356%	0.0247
Sample12	970	0.945	187.351	19.315%	36.468	32.681%	0.0427
Sample13	988	0.983	100.288	10.151%	20.475	18.349%	0.014
Sample14	983	0.958	199.615	20.307%	33.024	28.617%	0.0407
Sample15	1035	0.981	154.416	14.919%	23.785	19.568%	0.0186
Sample16	1030	0.968	185.341	17.994%	31.042	25.253%	0.0319
Sample17	983	0.929	234.287	23.834%	40.382	38.024%	0.0618
Sample18	1015	0.954	269.135	26.516%	37.315	30.104%	0.0492
Sample19	1008	0.97	108.885	10.802%	27.557	24.236%	0.025
Sample20	984	0.992	63.989	6.503%	13.768	12.585%	0.0065
Sample21	980	0.979	103.298	10.541%	22.56	20.269%	0.0169
Sample22	1014	0.99	88.335	8.712%	16.515	14.219%	0.0089
Sample23	1016	0.972	209.54	20.624%	29.652	23.311%	0.0367
Sample24	1015	0.985	139.619	13.756%	20.11	17.237%	0.015
Sample25	1000	0.989	82.254	8.225%	16.936	15.083%	0.009
Sample26	987	0.941	221.168	22.408%	38.286	34.158%	0.0517
Sample27	1008	0.982	112.166	11.128%	21.311	18.931%	0.0188
Sample28	1000	0.988	86.541	8.654%	17.351	15.453%	0.0102
Sample29	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample30	984	0.958	187.319	19.036%	33.497	28.845%	0.0383
Sample31	1000	0.984	91.842	9.184%	19.975	17.789%	0.0138
Sample32	980	0.98	95.667	9.762%	22.116	19.87%	0.018
Sample33	986	0.958	242.984	24.643%	34.691	28.835%	0.047
Sample34	1000	0.991	73.432	7.343%	15.264	13.392%	0.0076
Sample35	1000	0.991	75.533	7.553%	15.557	13.785%	0.0091
Sample36	1008	0.991	78.599	7.798%	15.499	13.564%	0.0088
Sample37	992	0.993	63.965	6.448%	12.777	11.467%	0.0062
Sample38	992	0.993	64.576	6.51%	13.41	12.035%	0.0068
Sample39	1025	0.969	218.35	21.302%	31.08	24.746%	0.0336
Sample40	1000	0.987	85.589	8.559%	18.109	16.046%	0.0134
Sample41	980	0.97	176.529	18.013%	28.696	24.483%	0.0338
Sample42	980	0.993	68.677	7.008%	13.284	12.068%	0.0056
Sample43	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample44	974	0.979	150.417	15.443%	24.504	20.646%	0.0214
Sample45	984	0.971	165.348	16.804%	27.795	23.824%	0.0294
Sample46	1036	0.982	145.429	14.038%	22.901	19.02%	0.0187
Sample47	1008	0.987	89.959	8.925%	18.185	16.073%	0.013
Sample48	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample49	1000	0.983	95.457	9.546%	20.293	18.354%	0.0165
Sample50	1008	0.975	103.639	10.282%	26.29	22.464%	0.0195
Sample51	1008	0.984	98.373	9.759%	20.934	18.057%	0.0114
Sample52	1027	0.985	108.851	10.599%	20.148	17.345%	0.0143
Sample53	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample54	979	0.992	68.084	6.954%	14.286	12.928%	0.0075
Sample55	980	0.966	159.355	16.261%	28.379	25.919%	0.0315
Sample56	974	0.973	169.549	17.407%	27.06	23.257%	0.0273
Sample57	1000	0.99	76.578	7.658%	15.711	13.992%	0.0103
Sample58	1015	0.975	125.68	12.382%	25.166	22.243%	0.0234
Sample59	989	0.963	187.814	18.99%	32.641	27.082%	0.0359
Sample60	979	0.989	68.518	6.999%	15.676	14.513%	0.0103
Sample61	1008	0.985	101.151	10.035%	19.422	17.253%	0.0168
Sample62	986	0.973	160.287	16.256%	27.422	23.288%	0.0316
Sample63	981	0.99	76.315	7.779%	15.511	14.233%	0.009
Sample64	981	0.979	152.668	15.562%	24.296	20.338%	0.0221
Sample65	987	0.943	212.111	21.49%	39.222	33.307%	0.053
Sample66	1015	0.989	88.858	8.754%	16.858	14.681%	0.0092
Sample67	990	0.987	84.586	8.544%	17.519	15.841%	0.0124
Sample68	980	0.977	153.767	15.691%	26.339	21.51%	0.023
Sample69	980	0.973	112.985	11.529%	25.518	23.183%	0.0223
Sample70	992	0.964	150.337	15.155%	30.118	26.755%	0.033
