Samples	Signature A	Signature B	Signature C	Signature D
Sample1	278	122	370	235
Sample2	694	152	87	67
Sample3	700	92	128	80
Sample4	268	564	142	13
Sample5	294	363	368	11
Sample6	288	524	186	18
Sample7	425	198	45	347
Sample8	585	98	179	123
Sample9	591	132	179	90
Sample10	625	238	54	75
Sample11	301	484	232	8
Sample12	426	283	261	0
Sample13	719	22	168	79
Sample14	452	208	140	183
Sample15	259	520	189	67
Sample16	259	589	126	56
Sample17	447	0	458	78
Sample18	385	135	156	339
Sample19	595	166	149	98
Sample20	682	85	149	68
Sample21	660	198	73	49
Sample22	606	253	93	62
Sample23	151	552	100	213
Sample24	292	530	172	21
Sample25	657	207	104	32
Sample26	322	141	357	167
Sample27	584	185	149	90
Sample28	622	190	132	56
Sample29	327	101	525	19
Sample30	424	191	119	250
Sample31	664	99	107	130
Sample32	699	118	61	102
Sample33	419	182	80	305
Sample34	673	114	138	75
Sample35	695	142	70	93
Sample36	684	138	97	89
Sample37	656	137	111	88
Sample38	677	74	146	95
Sample39	85	433	249	258
Sample40	714	124	89	73
Sample41	304	481	128	67
Sample42	682	144	95	59
Sample43	327	101	525	19
Sample44	257	634	61	22
Sample45	224	530	149	81
Sample46	234	553	170	79
Sample47	660	98	173	77
Sample48	327	101	525	19
Sample49	649	120	166	65
Sample50	639	130	171	68
Sample51	650	200	69	89
Sample52	652	96	148	131
Sample53	327	101	525	19
Sample54	676	140	79	84
Sample55	483	221	219	57
Sample56	573	245	0	156
Sample57	673	151	93	83
Sample58	557	153	213	92
Sample59	229	545	139	76
Sample60	639	114	166	60
Sample61	703	46	177	82
Sample62	210	474	205	97
Sample63	737	82	93	69
Sample64	232	596	104	49
Sample65	255	347	250	135
Sample66	656	137	106	116
Sample67	655	134	115	86
Sample68	261	661	22	36
Sample69	604	87	177	112
Sample70	487	186	232	87
Sample71	648	125	173	68
Sample72	602	182	80	103
Sample73	669	210	81	48
Sample74	653	140	117	75
Sample75	622	187	169	36
Sample76	582	158	143	102
Sample77	129	631	124	130
Sample78	316	506	140	22
Sample79	255	582	99	42
Sample80	327	101	525	19
Sample81	563	204	104	154
Sample82	580	110	219	75
Sample83	241	579	161	35
Sample84	332	469	183	50
Sample85	193	721	19	52
Sample86	262	490	203	60
Sample87	699	48	135	96
Sample88	575	325	16	107
Sample89	688	125	102	99
Sample90	685	190	78	47
Sample91	633	120	96	177
Sample92	576	116	220	96
Sample93	593	119	202	94
Sample94	623	152	154	100
Sample95	724	157	51	60
Sample96	736	85	79	80
Sample97	712	62	119	107
Sample98	484	257	52	225
Sample99	389	424	16	144
Sample100	668	30	214	80
Sample101	682	65	162	91
Sample102	247	532	150	38
Sample103	617	113	167	88
Sample104	365	260	338	29
Sample105	237	517	132	99
Sample106	724	135	77	72
Sample107	661	113	132	108
Sample108	639	87	131	143
Sample109	550	161	153	116
Sample110	146	623	138	94
Sample111	380	185	112	336
Sample112	598	160	133	117
Sample113	327	101	525	19
Sample114	250	463	216	39
Sample115	592	106	207	116
Sample116	577	169	210	52
Sample117	724	135	77	72
Sample118	708	88	157	62
Sample119	224	346	144	294
Sample120	685	129	76	95
Sample121	652	206	84	50
Sample122	537	250	132	100
Sample123	365	1	561	98
Sample124	165	634	137	31
Sample125	209	512	201	46
Sample126	583	207	64	161
Sample127	381	27	496	56
Sample128	636	82	198	102
Sample129	691	138	65	78
Sample130	723	0	151	106
Sample131	583	149	154	99
Sample132	678	73	114	115
Sample133	684	138	97	89
Sample134	736	46	113	94
Sample135	626	82	205	102
Sample136	623	146	149	90
Sample137	636	98	171	83
Sample138	275	601	53	55
Sample139	410	339	233	33
Sample140	350	174	156	328
Sample141	720	61	113	95
Sample142	342	200	122	332
Sample143	568	82	275	56
Sample144	149	716	76	44
Sample145	231	591	142	4
Sample146	718	157	63	76
Sample147	302	549	157	28
Sample148	699	155	74	72
Sample149	313	191	428	95
Sample150	508	193	108	176
Sample151	659	83	130	108
Sample152	653	216	82	57
Sample153	597	195	92	152
Sample154	216	466	279	14
Sample155	569	102	244	77
Sample156	654	119	138	97
Sample157	694	152	87	67
Sample158	635	199	103	55
Sample159	699	67	163	59
Sample160	273	588	80	28
Sample161	635	228	79	66
Sample162	179	527	181	121
Sample163	612	136	142	118
Sample164	725	19	134	107
Sample165	683	123	101	82
Sample166	591	180	104	125
Sample167	508	181	72	225
Sample168	193	281	423	74
Sample169	177	593	176	32
Sample170	616	166	142	76
Sample171	724	135	77	72
Sample172	260	605	70	44
Sample173	267	601	90	19
Sample174	674	170	80	84
Sample175	203	633	70	76
Sample176	333	240	347	88
Sample177	220	544	167	42
Sample178	563	180	193	72
Sample179	663	89	146	94
Sample180	345	132	475	66
Sample181	614	135	151	92
Sample182	9	478	244	277
Sample183	632	150	134	76
Sample184	231	504	171	68
Sample185	397	166	75	376
Sample186	578	193	146	83
Sample187	619	238	111	52
Sample188	258	588	165	13
Sample189	551	211	21	205
Sample190	733	122	54	77
Sample191	646	139	108	99
Sample192	653	88	157	94
Sample193	327	101	525	19
Sample194	205	622	84	109
Sample195	701	0	144	155
Sample196	312	122	576	22
Sample197	242	557	115	53
Sample198	675	195	68	54
Sample199	638	188	122	42
Sample200	628	194	92	121
Sample201	666	35	183	108
Sample202	232	573	120	43
Sample203	371	259	39	349
Sample204	685	189	67	47
Sample205	202	560	172	47
Sample206	478	156	247	156
Sample207	694	152	87	67
Sample208	661	34	213	73
Sample209	157	551	62	249
Sample210	234	557	103	85
Sample211	327	101	525	19
Sample212	221	529	120	103
Sample213	163	678	81	53
Sample214	654	112	168	66
Sample215	415	132	145	322
Sample216	314	270	206	204
Sample217	228	608	118	14
Sample218	721	60	93	114
Sample219	141	113	398	347
Sample220	99	625	89	196
Sample221	218	548	221	42
Sample222	752	68	94	102
Sample223	250	570	67	81
Sample224	142	659	100	74
Sample225	701	199	7	85
Sample226	639	66	169	105
Sample227	629	71	221	94
Sample228	550	233	52	139
Sample229	393	156	135	334
Sample230	629	156	118	97
Sample231	105	623	70	165
Sample232	694	213	38	69
Sample233	350	48	549	27
Sample234	710	104	101	93
Sample235	715	61	109	100
