Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample1	2.01E+01	4.12E+01	2.13E+01	6.03E+01	2.41E+01
Sample2	6.96E+00	1.46E+01	1.31E+01	1.82E+01	9.81E+00
Sample3	1.51E+01	1.39E+01	1.50E+01	1.41E+01	1.06E+01
Sample4	3.13E+01	2.43E+01	1.32E+01	5.13E+01	1.11E+01
Sample5	1.98E+01	2.06E+01	2.56E+01	1.59E+01	9.06E+00
Sample6	2.79E+01	1.52E+01	2.02E+01	2.97E+01	8.01E+00
Sample7	1.37E+01	7.77E+00	2.86E+01	4.31E+01	1.92E+01
Sample8	1.47E+01	1.46E+01	1.75E+01	1.84E+01	9.34E+00
Sample9	1.59E+01	2.47E+01	1.51E+01	3.53E+01	1.39E+01
Sample10	1.06E+01	1.37E+01	1.35E+01	1.45E+01	6.27E+00
Sample11	3.04E+01	1.77E+01	1.12E+01	3.90E+01	6.67E+00
Sample12	3.61E+01	2.21E+01	2.64E+01	2.51E+01	8.33E+00
Sample13	2.48E+01	2.70E+01	2.95E+01	1.76E+01	1.22E+01
Sample14	2.36E+01	1.73E+01	1.77E+01	2.43E+01	7.42E+00
Sample15	2.16E+01	1.53E+01	1.76E+01	1.69E+01	8.46E+00
Sample16	4.36E+01	2.84E+01	1.73E+01	5.34E+01	7.00E+00
Sample17	0.00E+00	2.30E+01	1.88E+01	2.04E+01	1.99E+01
Sample18	2.38E+01	2.19E+01	2.50E+01	6.20E+01	2.00E+01
Sample19	3.40E+01	2.34E+01	2.75E+01	1.82E+01	1.32E+01
Sample20	1.87E+01	2.12E+01	2.06E+01	1.64E+01	1.20E+01
Sample21	1.47E+01	1.59E+01	1.25E+01	2.03E+01	1.16E+01
Sample22	1.78E+01	1.66E+01	2.28E+01	1.98E+01	1.27E+01
Sample23	3.32E+01	2.13E+01	2.04E+01	1.93E+01	2.19E+01
Sample24	3.16E+01	3.19E+01	1.97E+01	3.45E+01	7.30E+00
Sample25	1.65E+01	1.93E+01	2.33E+01	1.43E+01	1.06E+01
Sample26	1.75E+01	3.48E+01	2.37E+01	3.85E+01	2.17E+01
Sample27	2.65E+01	2.13E+01	1.80E+01	3.30E+01	5.85E+00
Sample28	2.46E+01	2.81E+01	2.43E+01	1.92E+01	1.34E+01
Sample29	1.51E+01	2.67E+01	3.36E+01	5.77E+01	4.40E+00
Sample30	1.64E+01	1.83E+01	2.69E+01	3.75E+01	1.73E+01
Sample31	1.61E+01	1.44E+01	1.86E+01	1.81E+01	1.04E+01
Sample32	1.51E+01	2.14E+01	2.62E+01	1.84E+01	8.81E+00
Sample33	1.74E+01	1.09E+01	3.18E+01	5.28E+01	2.42E+01
Sample34	1.24E+01	1.51E+01	2.59E+01	2.96E+01	1.49E+01
Sample35	1.18E+01	1.43E+01	1.58E+01	2.27E+01	1.30E+01
Sample36	9.40E+00	2.13E+01	1.47E+01	1.95E+01	1.32E+01
Sample37	2.23E+01	2.42E+01	1.79E+01	1.23E+01	8.72E+00
Sample38	1.58E+01	1.87E+01	1.84E+01	1.56E+01	8.89E+00
Sample39	1.45E+01	1.93E+01	1.75E+01	2.45E+01	1.78E+01
Sample40	2.26E+01	1.92E+01	1.85E+01	1.69E+01	7.32E+00
Sample41	3.54E+01	2.03E+01	1.46E+01	4.11E+01	1.70E+01
Sample42	9.51E+00	1.94E+01	1.98E+01	1.35E+01	8.47E+00
Sample43	1.95E+01	2.31E+01	3.05E+01	4.98E+01	3.69E+00
Sample44	1.79E+01	2.04E+01	2.29E+01	2.95E+01	1.14E+01
