Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample1	201	76	304	0	194	230
Sample2	545	97	79	165	65	49
Sample3	552	87	146	96	48	71
Sample4	172	288	39	235	253	0
Sample5	180	266	351	123	116	0
Sample6	165	334	162	232	123	0
Sample7	303	34	37	227	50	364
Sample8	438	55	192	140	35	125
Sample9	482	130	164	0	154	62
Sample10	480	172	60	178	50	52
Sample11	203	265	157	168	232	0
Sample12	318	101	178	167	206	0
Sample13	582	4	142	82	114	64
Sample14	305	190	179	120	0	189
Sample15	138	391	180	221	90	15
Sample16	159	450	119	185	117	0
Sample17	332	7	533	0	0	111
Sample18	249	0	57	280	137	292
Sample19	472	158	157	60	99	62
Sample20	523	82	182	122	5	70
Sample21	548	155	39	60	174	4
Sample22	466	179	69	168	101	31
Sample23	56	359	64	253	133	151
Sample24	183	336	137	198	161	0
Sample25	524	149	77	125	125	0
Sample26	207	175	418	7	2	178
Sample27	474	173	139	29	137	56
Sample28	479	137	121	159	78	26
Sample29	141	8	518	293	0	12
Sample30	304	134	161	106	7	272
Sample31	536	74	109	72	91	118
Sample32	563	83	67	102	79	86
Sample33	288	0	37	279	83	299
Sample34	500	62	159	201	0	78
Sample35	556	123	78	92	76	75
Sample36	536	77	89	167	61	78
Sample37	530	87	76	103	138	58
Sample38	520	46	162	146	20	98
Sample39	43	151	61	212	397	161
Sample40	567	93	95	126	61	58
Sample41	211	343	84	169	173	0
Sample42	535	121	109	126	43	46
Sample43	141	8	518	293	0	12
Sample44	143	391	20	273	147	0
Sample45	159	391	81	114	239	0
Sample46	142	408	118	185	183	0
Sample47	503	98	211	107	16	73
Sample48	141	8	518	293	0	12
Sample49	509	135	196	64	46	50
Sample50	493	77	139	133	114	52
Sample51	531	123	14	118	177	45
Sample52	513	41	129	124	96	124
Sample53	141	8	518	293	0	12
Sample54	534	98	82	136	61	68
Sample55	379	205	201	40	138	17
Sample56	446	186	13	134	45	150
Sample57	540	117	89	106	90	58
Sample58	451	85	147	74	209	49
Sample59	118	408	133	211	96	23
Sample60	504	112	167	71	82	43
Sample61	554	40	182	99	63	70
Sample62	126	309	139	185	198	29
Sample63	604	121	122	15	61	58
Sample64	126	434	83	213	125	0
Sample65	171	267	217	71	175	86
Sample66	521	114	111	79	84	106
Sample67	518	115	126	95	64	72
Sample68	137	419	0	287	137	0
Sample69	461	123	237	45	0	114
Sample70	333	100	233	230	23	73
Sample71	518	135	192	40	80	49
Sample72	492	86	12	114	196	67
Sample73	547	150	31	111	164	5
Sample74	507	96	119	146	60	57
Sample75	483	107	134	164	126	0
Sample76	443	152	183	94	17	96
Sample77	52	342	0	250	357	13
Sample78	238	342	95	96	213	0
Sample79	157	334	24	249	214	0
Sample80	141	8	518	293	0	12
Sample81	416	243	172	40	0	154
Sample82	425	146	269	69	0	75
Sample83	121	407	145	233	110	0
Sample84	212	305	138	227	152	0
Sample85	101	526	0	213	145	0
Sample86	167	394	187	128	139	0
Sample87	538	35	165	132	0	108
Sample88	436	244	32	176	54	81
Sample89	557	103	100	77	93	84
Sample90	548	147	60	126	107	12
Sample91	508	83	104	82	86	163
Sample92	440	41	188	152	112	75
Sample93	471	74	170	88	132	73
Sample94	447	70	166	246	0	100
Sample95	574	121	62	136	55	44
Sample96	606	101	98	31	79	65
Sample97	577	37	103	81	105	97
Sample98	338	167	81	198	0	234
Sample99	302	398	40	0	122	111
Sample100	518	8	205	112	72	77
Sample101	542	62	182	77	49	88
Sample102	137	356	120	225	129	0
Sample103	472	97	192	114	30	80
Sample104	247	207	317	94	127	0
Sample105	141	357	92	212	154	29
Sample106	576	86	69	153	67	57
Sample107	526	94	140	83	77	94
Sample108	482	116	177	70	0	155
Sample109	411	145	197	110	0	117
Sample110	81	454	64	165	237	0
Sample111	256	12	94	243	63	345
Sample112	451	124	162	134	28	109
Sample113	141	8	518	293	0	12
Sample114	167	251	113	175	262	0
Sample115	439	81	233	133	24	111
Sample116	473	114	128	53	240	0
Sample117	576	86	69	153	67	57
Sample118	549	104	196	93	10	63
Sample119	94	136	122	330	42	284
Sample120	563	119	86	48	102	67
Sample121	526	139	39	127	151	10
Sample122	401	211	159	131	32	85
Sample123	221	17	592	86	3	106
Sample124	75	420	103	215	154	0
Sample125	113	345	159	195	156	0
Sample126	434	169	106	140	0	166
Sample127	254	94	525	0	40	47
Sample128	472	107	245	91	0	103
Sample129	560	116	68	92	81	55
Sample130	591	0	191	47	27	124
Sample131	468	122	140	58	121	76
Sample132	534	63	137	93	37	116
Sample133	536	77	89	167	61	78
Sample134	583	60	156	81	7	102
Sample135	502	59	175	42	151	86
Sample136	482	80	124	153	99	70
Sample137	518	68	124	57	164	57
Sample138	164	358	0	264	198	0
Sample139	310	173	141	137	254	0
Sample140	239	0	105	223	123	318
Sample141	575	68	135	81	35	95
Sample142	196	0	78	347	46	329
Sample143	458	77	223	0	194	29
Sample144	52	494	55	245	139	0
Sample145	140	372	92	175	189	0
Sample146	555	106	80	172	32	69
Sample147	184	382	140	207	123	0
Sample148	540	104	78	180	36	62
Sample149	154	293	504	0	0	76
Sample150	348	141	138	178	0	180
Sample151	518	99	177	64	14	108
Sample152	516	154	66	135	108	29
Sample153	440	98	95	222	27	154
Sample154	108	274	230	210	153	0
Sample155	417	95	270	124	13	73
Sample156	492	56	146	196	23	95
Sample157	545	97	79	165	65	49
Sample158	511	132	59	130	146	14
Sample159	552	33	150	140	69	44
Sample160	184	389	38	176	182	0
Sample161	498	182	67	121	98	42
Sample162	132	290	17	185	384	0
Sample163	476	129	174	78	39	112
Sample164	574	69	191	33	0	118
Sample165	542	114	122	90	48	73
Sample166	471	212	153	3	38	123
Sample167	363	140	112	129	0	242
Sample168	77	238	455	125	31	45
Sample169	105	373	108	160	232	0
Sample170	503	113	94	84	172	34
Sample171	576	86	69	153	67	57
Sample172	147	378	20	279	155	0
Sample173	168	336	14	247	212	0
Sample174	558	108	32	90	177	43
Sample175	103	416	11	281	171	0
Sample176	244	184	288	50	195	47
Sample177	113	290	77	278	215	0
Sample178	445	184	197	30	102	50
Sample179	530	60	131	87	106	78
Sample180	184	104	500	175	0	55
Sample181	460	78	151	181	40	82
Sample182	0	215	66	151	395	181
Sample183	482	123	148	135	41	63
Sample184	118	372	166	213	88	17
Sample185	263	0	11	289	97	354
Sample186	463	191	157	46	97	46
Sample187	458	128	79	262	69	24
Sample188	142	355	114	248	165	0
Sample189	391	146	52	182	0	217
Sample190	591	100	61	106	64	64
Sample191	502	112	120	117	55	86
Sample192	530	54	131	70	132	75
Sample193	141	8	518	293	0	12
Sample194	126	426	15	218	224	11
Sample195	561	0	172	59	38	170
Sample196	193	153	574	0	112	0
Sample197	137	380	74	234	142	0
Sample198	547	135	26	124	143	17
Sample199	513	156	93	87	134	7
Sample200	482	75	43	219	119	97
Sample201	545	62	195	6	81	103
Sample202	128	371	79	234	156	0
Sample203	288	142	33	97	125	333
Sample204	537	145	69	155	56	26
Sample205	107	398	135	182	159	0
Sample206	343	199	312	20	0	163
Sample207	545	97	79	165	65	49
Sample208	497	0	188	170	67	59
Sample209	87	312	0	190	269	161
Sample210	171	440	62	103	197	6
Sample211	141	8	518	293	0	12
Sample212	142	384	74	164	185	24
Sample213	73	515	77	194	116	0
Sample214	522	70	137	105	122	44
Sample215	316	0	74	147	185	292
Sample216	224	247	213	0	122	188
Sample217	122	390	95	221	140	0
Sample218	578	48	103	96	50	113
Sample219	115	0	209	0	379	296
Sample220	29	335	0	230	332	83
Sample221	138	409	189	107	186	0
Sample222	607	79	120	58	54	98
Sample223	150	433	56	212	105	12
Sample224	86	511	66	105	207	0
Sample225	573	185	27	65	82	60
Sample226	517	59	152	48	114	89
Sample227	493	52	212	78	95	85
Sample228	424	165	32	126	102	125
Sample229	270	0	113	219	73	343
Sample230	489	165	156	68	37	85
Sample231	0	207	0	403	285	68
Sample232	576	200	23	36	143	36
Sample233	206	81	583	83	0	21
Sample234	580	65	75	92	125	71
Sample235	580	17	94	109	101	84
Sample236	486	133	67	80	256	0
Sample237	141	8	518	293	0	12
Sample238	210	77	561	0	167	27
Sample239	468	127	171	126	114	10
Sample240	555	51	135	74	50	135
Sample241	597	25	100	131	69	64
Sample242	46	35	482	89	107	231
Sample243	38	359	156	256	166	0
Sample244	495	143	117	79	85	73
Sample245	423	155	176	73	178	8
Sample246	506	80	106	44	152	98
Sample247	561	67	89	150	61	86
Sample248	460	175	178	5	32	165
Sample249	541	132	31	161	79	35
Sample250	199	446	80	176	129	0
Sample251	226	0	88	256	130	317
Sample252	521	101	102	107	126	51
Sample253	504	92	198	79	31	75
Sample254	530	123	58	112	135	22
Sample255	116	449	41	142	205	41
Sample256	141	8	518	293	0	12
Sample257	528	75	134	63	166	26
Sample258	485	227	0	163	106	27
Sample259	537	110	173	25	75	72
Sample260	552	5	157	0	145	126
Sample261	261	0	102	183	135	327
Sample262	59	560	74	153	140	0
Sample263	93	464	78	197	142	0
Sample264	576	86	69	153	67	57
Sample265	304	0	0	270	74	369
Sample266	502	141	102	153	56	25
Sample267	311	202	248	108	100	31
Sample268	533	72	138	96	57	93
Sample269	271	277	189	9	60	207
Sample270	115	0	209	0	379	296
Sample271	474	101	182	90	79	82
Sample272	254	0	135	202	53	341
Sample273	188	457	0	81	257	2
Sample274	469	147	103	79	110	92
Sample275	495	141	146	110	93	42
Sample276	313	225	62	200	208	0
Sample277	494	78	123	178	51	63
Sample278	495	168	115	132	17	58
Sample279	488	90	188	55	139	65
Sample280	531	108	44	65	206	26
Sample281	494	50	149	181	78	66
Sample282	64	363	194	164	184	8
Sample283	560	123	46	158	73	32
Sample284	95	518	64	172	126	0
Sample285	189	0	419	159	35	188
Sample286	103	150	19	258	447	38
Sample287	568	103	48	172	65	52
Sample288	391	91	60	151	230	53
Sample289	514	91	166	119	35	102
Sample290	144	425	97	202	161	0
Sample291	86	407	65	184	222	0
Sample292	616	75	8	175	105	29
Sample293	267	13	33	236	71	379
Sample294	511	151	122	75	29	112
Sample295	458	81	242	130	0	81
Sample296	168	181	266	174	230	0
Sample297	497	151	130	88	112	14
