Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample1	9.73E+00	2.01E+01	1.58E+01	3.44E+01	3.76E+01	2.10E+01
Sample2	1.94E+01	7.15E+00	1.34E+01	1.23E+01	1.27E+01	1.83E+01
Sample3	1.67E+01	1.08E+01	1.48E+01	1.59E+01	1.33E+01	7.35E+00
Sample4	4.61E+01	9.86E+00	5.10E+01	2.91E+01	5.55E+01	1.18E+01
Sample5	2.23E+01	1.12E+01	2.38E+01	2.44E+01	2.35E+01	1.86E+01
Sample6	3.37E+01	1.25E+01	4.82E+01	1.64E+01	6.06E+01	1.97E+01
Sample7	2.34E+01	2.32E+01	1.31E+01	1.50E+01	3.53E+01	1.89E+01
Sample8	1.51E+01	9.63E+00	1.26E+01	1.60E+01	9.98E+00	1.82E+01
Sample9	1.16E+01	1.16E+01	1.08E+01	3.09E+01	1.52E+01	1.39E+01
Sample10	1.48E+01	6.88E+00	1.38E+01	1.30E+01	1.93E+01	1.39E+01
Sample11	3.76E+01	8.98E+00	4.85E+01	2.92E+01	5.17E+01	1.43E+01
Sample12	2.21E+01	8.36E+00	3.34E+01	2.36E+01	3.18E+01	1.88E+01
Sample13	2.00E+01	1.13E+01	1.30E+01	2.38E+01	1.13E+01	1.99E+01
Sample14	3.18E+01	1.92E+01	2.78E+01	2.99E+01	1.38E+01	1.90E+01
Sample15	2.67E+01	1.44E+01	3.31E+01	2.12E+01	3.79E+01	1.95E+01
Sample16	3.87E+01	1.26E+01	4.39E+01	2.84E+01	5.59E+01	6.27E+00
Sample17	1.98E+01	1.65E+01	1.24E+01	1.44E+01	2.24E+01	1.30E+01
Sample18	3.34E+01	3.88E+01	1.79E+01	1.47E+01	4.13E+01	2.77E+01
Sample19	1.19E+01	1.30E+01	2.09E+01	2.37E+01	1.01E+01	3.00E+01
Sample20	2.15E+01	9.73E+00	1.63E+01	1.97E+01	1.31E+01	1.77E+01
Sample21	1.07E+01	9.11E+00	2.20E+01	1.98E+01	2.70E+01	1.45E+01
Sample22	2.35E+01	1.05E+01	2.74E+01	9.88E+00	1.44E+01	2.26E+01
Sample23	2.34E+01	1.42E+01	3.92E+01	1.90E+01	3.99E+01	1.54E+01
Sample24	3.60E+01	8.16E+00	4.21E+01	3.55E+01	4.96E+01	2.40E+01
Sample25	1.55E+01	8.32E+00	2.44E+01	2.49E+01	2.12E+01	2.64E+01
Sample26	2.01E+01	2.48E+01	3.01E+01	2.35E+01	1.85E+01	2.02E+01
Sample27	1.31E+01	4.99E+00	2.32E+01	2.10E+01	2.45E+01	1.84E+01
Sample28	1.25E+01	1.45E+01	2.18E+01	2.60E+01	1.19E+01	2.18E+01
Sample29	4.71E+01	4.30E+00	1.35E+01	2.96E+01	1.15E+01	2.11E+01
Sample30	2.58E+01	2.76E+01	2.33E+01	1.80E+01	1.30E+01	1.58E+01
Sample31	1.86E+01	1.23E+01	1.34E+01	1.54E+01	6.20E+00	1.68E+01
Sample32	2.12E+01	9.75E+00	1.22E+01	2.17E+01	1.30E+01	2.90E+01
Sample33	2.34E+01	2.99E+01	1.58E+01	2.06E+01	3.20E+01	2.25E+01
Sample34	2.21E+01	9.95E+00	5.34E+00	1.55E+01	7.98E+00	2.02E+01
Sample35	1.60E+01	1.70E+01	8.36E+00	1.26E+01	2.11E+01	1.49E+01
Sample36	1.63E+01	1.25E+01	1.33E+01	1.66E+01	1.71E+01	2.29E+01
Sample37	9.14E+00	7.02E+00	1.09E+01	2.67E+01	1.44E+01	1.55E+01
Sample38	2.11E+01	1.14E+01	1.03E+01	1.87E+01	1.49E+01	2.97E+01
Sample39	3.41E+01	4.00E+01	5.36E+01	2.00E+01	3.49E+01	1.56E+01
Sample40	1.27E+01	1.12E+01	1.64E+01	2.23E+01	1.03E+01	2.03E+01
Sample41	3.41E+01	5.73E+00	4.24E+01	2.61E+01	3.80E+01	1.97E+01
Sample42	1.45E+01	1.26E+01	1.16E+01	1.80E+01	1.18E+01	2.19E+01
Sample43	3.85E+01	7.09E+00	8.55E+00	2.48E+01	1.04E+01	1.92E+01
Sample44	5.24E+01	1.32E+01	5.32E+01	2.50E+01	6.88E+01	1.74E+01
Sample45	4.26E+01	1.31E+01	3.24E+01	3.34E+01	3.95E+01	1.37E+01
Sample46	4.19E+01	9.93E+00	4.01E+01	2.71E+01	3.63E+01	2.75E+01
Sample47	2.26E+01	1.21E+01	1.45E+01	1.74E+01	8.40E+00	2.36E+01
Sample48	5.11E+01	6.95E+00	1.48E+01	3.35E+01	7.91E+00	2.17E+01
Sample49	1.40E+01	1.01E+01	1.32E+01	1.46E+01	1.27E+01	1.97E+01
Sample50	1.64E+01	9.55E+00	9.54E+00	1.22E+01	1.16E+01	2.07E+01
Sample51	1.53E+01	1.24E+01	1.65E+01	2.27E+01	1.01E+01	1.85E+01
Sample52	2.24E+01	1.04E+01	2.40E+01	1.53E+01	7.66E+00	2.10E+01
Sample53	5.13E+01	8.29E+00	1.36E+01	2.74E+01	1.01E+01	2.44E+01
Sample54	7.84E+00	7.05E+00	8.60E+00	1.67E+01	8.73E+00	1.43E+01
Sample55	1.02E+01	1.07E+01	2.05E+01	2.91E+01	2.57E+01	3.41E+01
Sample56	2.36E+01	1.27E+01	1.88E+01	1.36E+01	2.05E+01	1.93E+01
Sample57	9.05E+00	1.19E+01	1.83E+01	1.25E+01	1.72E+01	1.98E+01
Sample58	5.66E+00	1.13E+01	2.01E+01	1.81E+01	1.69E+01	1.83E+01
Sample59	2.44E+01	1.80E+01	2.98E+01	2.83E+01	4.11E+01	1.84E+01
Sample60	1.84E+01	6.76E+00	1.72E+01	1.14E+01	1.22E+01	1.85E+01
Sample61	1.55E+01	1.47E+01	2.17E+01	1.36E+01	9.69E+00	1.87E+01
Sample62	3.13E+01	1.24E+01	4.84E+01	2.97E+01	4.22E+01	1.98E+01
Sample63	1.15E+01	9.97E+00	1.57E+01	1.78E+01	1.05E+01	2.25E+01
Sample64	3.19E+01	1.30E+01	4.33E+01	1.90E+01	5.24E+01	1.65E+01
Sample65	2.70E+01	2.15E+01	3.04E+01	3.46E+01	2.01E+01	1.33E+01
Sample66	2.00E+01	1.34E+01	2.00E+01	1.10E+01	1.09E+01	1.46E+01
Sample67	1.50E+01	9.72E+00	1.56E+01	1.89E+01	1.12E+01	1.37E+01
Sample68	4.68E+01	1.42E+01	4.52E+01	1.70E+01	6.19E+01	1.35E+01
Sample69	1.94E+01	1.54E+01	1.77E+01	3.28E+01	9.69E+00	2.47E+01
Sample70	1.70E+01	1.25E+01	6.18E+00	2.53E+01	2.78E+01	8.03E+00
Sample71	2.50E+01	1.13E+01	1.34E+01	1.57E+01	1.54E+01	1.92E+01
Sample72	1.09E+01	8.72E+00	1.98E+01	1.78E+01	1.42E+01	1.47E+01
Sample73	1.02E+01	1.12E+01	2.68E+01	2.23E+01	1.90E+01	1.97E+01
Sample74	1.58E+01	1.08E+01	1.91E+01	2.20E+01	2.55E+01	1.14E+01
Sample75	1.24E+01	1.03E+01	2.64E+01	1.74E+01	2.15E+01	1.35E+01
Sample76	1.51E+01	9.89E+00	1.55E+01	1.43E+01	1.80E+01	1.74E+01
Sample77	5.89E+01	2.17E+01	6.00E+01	2.38E+01	5.30E+01	1.75E+01
Sample78	3.64E+01	9.26E+00	5.97E+01	4.91E+01	4.27E+01	2.02E+01
Sample79	4.61E+01	9.12E+00	5.85E+01	3.09E+01	5.56E+01	1.91E+01
Sample80	4.63E+01	6.67E+00	1.08E+01	3.75E+01	7.87E+00	1.17E+01
Sample81	2.96E+01	2.03E+01	2.40E+01	2.07E+01	1.78E+01	2.25E+01
Sample82	1.74E+01	1.75E+01	1.13E+01	2.76E+01	1.90E+01	1.88E+01
Sample83	3.93E+01	1.14E+01	3.01E+01	2.33E+01	4.18E+01	2.67E+01
Sample84	2.66E+01	8.77E+00	4.42E+01	3.32E+01	4.74E+01	2.62E+01
Sample85	4.55E+01	1.55E+01	4.95E+01	2.62E+01	6.42E+01	7.39E+00
Sample86	2.46E+01	1.08E+01	3.84E+01	3.25E+01	3.48E+01	1.86E+01
Sample87	2.27E+01	1.29E+01	2.10E+01	1.31E+01	7.56E+00	2.26E+01
Sample88	1.91E+01	1.57E+01	2.56E+01	1.14E+01	3.09E+01	2.83E+01
Sample89	1.57E+01	1.50E+01	1.11E+01	2.51E+01	5.48E+00	2.82E+01
Sample90	9.83E+00	7.57E+00	1.74E+01	4.53E+00	1.29E+01	1.56E+01
Sample91	1.37E+01	1.73E+01	1.41E+01	1.47E+01	1.51E+01	1.27E+01
Sample92	1.81E+01	1.13E+01	2.17E+01	1.10E+01	1.68E+01	1.60E+01
Sample93	1.80E+01	9.80E+00	1.90E+01	1.55E+01	1.86E+01	1.88E+01
Sample94	1.68E+01	1.15E+01	1.85E+01	2.31E+01	1.79E+01	1.07E+01
Sample95	1.24E+01	9.26E+00	2.06E+01	1.33E+01	8.75E+00	1.90E+01
Sample96	1.60E+01	7.74E+00	2.22E+01	2.01E+01	1.25E+01	1.92E+01
Sample97	2.36E+01	1.12E+01	1.55E+01	2.01E+01	1.80E+01	2.97E+01
Sample98	3.03E+01	1.37E+01	1.90E+01	1.97E+01	1.70E+01	2.52E+01
Sample99	1.26E+01	3.06E+01	2.64E+01	2.96E+01	1.78E+01	1.20E+01
Sample100	2.78E+01	8.78E+00	6.74E+00	1.83E+01	1.19E+01	3.33E+01
Sample101	1.77E+01	1.11E+01	1.22E+01	1.90E+01	1.62E+01	1.69E+01
Sample102	2.46E+01	9.22E+00	4.32E+01	3.13E+01	4.32E+01	9.12E+00
Sample103	2.88E+01	1.26E+01	1.55E+01	1.37E+01	1.21E+01	2.30E+01
Sample104	1.99E+01	1.58E+01	3.54E+01	2.26E+01	2.68E+01	1.50E+01
