Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	72	52	195	0	394	20	183	89
Sample2	487	79	62	140	126	37	46	23
Sample3	477	94	116	62	113	69	44	25
Sample4	121	322	7	197	186	47	0	107
Sample5	81	284	267	82	257	8	0	57
Sample6	154	364	145	176	39	81	0	57
Sample7	281	5	23	133	119	195	259	0
Sample8	390	41	165	105	104	61	93	26
Sample9	390	138	134	0	87	78	56	109
Sample10	451	159	61	143	52	44	58	24
Sample11	157	304	126	142	97	64	0	135
Sample12	255	130	150	154	146	20	0	115
Sample13	548	0	137	92	0	55	56	100
Sample14	254	125	178	90	136	0	200	0
Sample15	110	353	156	175	113	0	70	58
Sample16	97	467	65	125	210	62	4	0
Sample17	260	21	482	0	27	96	54	43
Sample18	246	0	55	176	52	249	184	53
Sample19	390	202	124	17	79	178	3	15
Sample20	465	75	153	88	100	29	55	19
Sample21	443	180	16	31	141	90	1	78
Sample22	419	152	68	147	97	6	60	65
Sample23	46	351	65	150	63	173	128	40
Sample24	164	371	118	160	54	70	0	78
Sample25	461	153	61	104	97	42	10	72
Sample26	147	146	379	0	49	25	165	76
Sample27	407	177	117	30	70	65	58	84
Sample28	415	140	97	125	126	70	13	14
Sample29	135	0	490	221	41	0	17	68
Sample30	286	80	151	85	73	7	258	44
Sample31	466	88	92	46	81	113	75	39
Sample32	470	106	41	46	148	115	43	11
Sample33	244	0	25	147	143	252	175	0
Sample34	449	44	143	146	111	28	65	14
Sample35	471	130	56	60	134	77	50	22
Sample36	473	57	70	138	144	35	68	23
Sample37	461	85	67	84	93	75	51	76
Sample38	485	29	149	122	62	40	79	26
Sample39	20	152	54	150	99	273	116	161
Sample40	487	94	74	89	132	57	43	24
Sample41	156	338	52	134	140	86	18	56
Sample42	458	122	82	90	145	39	34	10
Sample43	135	0	490	221	41	0	17	68
Sample44	147	423	7	217	59	63	0	58
Sample45	122	411	77	87	46	109	24	108
Sample46	123	407	117	150	56	81	35	67
Sample47	436	107	184	58	81	71	45	26
Sample48	135	0	490	221	41	0	17	68
Sample49	431	153	161	34	85	84	24	28
Sample50	401	63	126	92	165	10	62	89
Sample51	439	129	4	87	152	96	35	66
Sample52	492	3	132	125	16	39	125	95
Sample53	135	0	490	221	41	0	17	68
Sample54	466	104	68	92	113	79	44	13
Sample55	298	212	165	33	111	52	25	84
Sample56	377	157	0	100	165	37	136	2
Sample57	455	131	64	70	139	94	31	16
