Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	2.82E+01	2.44E+01	1.96E+01	1.70E+01	2.00E+01	9.73E+00	1.46E+01	1.10E+01	2.14E+01
Sample2	3.34E+01	5.92E+00	1.78E+01	8.47E+00	2.57E+01	7.46E+00	1.14E+01	1.21E+01	1.87E+01
Sample3	2.97E+01	9.15E+00	1.25E+01	1.30E+01	2.18E+01	7.97E+00	1.22E+01	1.76E+01	1.68E+01
Sample4	2.55E+01	2.28E+01	2.18E+01	1.28E+01	1.81E+01	1.73E+01	1.44E+01	3.96E+01	1.81E+01
Sample5	1.82E+01	8.51E+00	2.83E+01	9.11E+00	2.84E+01	1.60E+01	1.50E+01	1.79E+01	2.57E+01
Sample6	1.86E+01	1.53E+01	1.75E+01	1.34E+01	2.10E+01	1.70E+01	9.16E+00	2.01E+01	1.37E+01
Sample7	1.65E+01	4.95E+00	1.61E+01	2.45E+01	2.63E+01	2.43E+01	7.54E+00	9.77E+00	1.04E+01
Sample8	1.69E+01	7.44E+00	1.04E+01	9.66E+00	2.05E+01	9.28E+00	1.32E+01	1.47E+01	1.40E+01
Sample9	3.16E+01	1.65E+01	2.91E+01	1.17E+01	3.18E+01	6.80E+00	8.75E+00	1.93E+01	2.42E+01
Sample10	2.74E+01	5.36E+00	1.25E+01	1.18E+01	1.68E+01	1.00E+01	8.01E+00	1.60E+01	1.80E+01
Sample11	3.32E+01	1.24E+01	1.71E+01	9.62E+00	2.05E+01	1.71E+01	7.99E+00	2.05E+01	1.49E+01
Sample12	1.93E+01	1.59E+01	1.09E+01	7.00E+00	1.43E+01	4.42E+00	9.93E+00	1.84E+01	1.17E+01
Sample13	1.54E+01	8.45E+00	1.31E+01	8.09E+00	2.85E+01	8.35E+00	7.14E+00	1.98E+01	2.15E+01
Sample14	2.19E+01	4.75E+00	2.37E+01	1.02E+01	1.47E+01	8.11E+00	1.52E+01	2.14E+01	3.50E+01
Sample15	2.16E+01	1.06E+01	3.02E+01	1.34E+01	1.81E+01	2.33E+01	9.15E+00	3.29E+01	2.53E+01
Sample16	2.60E+01	1.05E+01	2.22E+01	1.21E+01	2.23E+01	2.62E+01	1.45E+01	3.33E+01	1.60E+01
Sample17	1.33E+01	1.07E+01	3.86E+01	2.14E+01	2.21E+01	9.99E+00	1.58E+01	2.58E+01	2.55E+01
Sample18	1.85E+01	7.72E+00	3.17E+01	2.04E+01	2.99E+01	2.87E+01	7.51E+00	1.47E+01	1.54E+01
Sample19	1.53E+01	1.07E+01	2.43E+01	1.44E+01	2.08E+01	1.62E+01	1.62E+01	3.40E+01	3.04E+01
Sample20	2.87E+01	6.79E+00	2.28E+01	9.59E+00	1.99E+01	7.18E+00	7.33E+00	1.09E+01	1.36E+01
Sample21	3.62E+01	1.57E+01	2.17E+01	1.16E+01	3.32E+01	9.56E+00	9.63E+00	2.07E+01	1.06E+01
Sample22	2.20E+01	8.77E+00	2.03E+01	9.73E+00	3.50E+01	9.11E+00	1.13E+01	1.89E+01	1.34E+01
Sample23	1.60E+01	1.25E+01	2.54E+01	1.23E+01	1.99E+01	1.41E+01	3.07E+00	2.94E+01	2.03E+01
Sample24	2.35E+01	1.24E+01	2.04E+01	9.85E+00	1.80E+01	2.44E+01	1.23E+01	1.96E+01	1.57E+01
Sample25	2.87E+01	7.86E+00	1.68E+01	1.14E+01	1.73E+01	6.38E+00	1.29E+01	1.73E+01	1.40E+01
Sample26	1.25E+01	9.76E+00	2.22E+01	1.29E+01	2.13E+01	1.24E+01	1.33E+01	1.86E+01	3.35E+01
Sample27	1.98E+01	1.62E+01	1.86E+01	5.65E+00	2.67E+01	1.33E+01	9.35E+00	1.62E+01	1.87E+01
Sample28	1.68E+01	4.18E+00	1.54E+01	1.23E+01	2.42E+01	7.27E+00	1.02E+01	9.40E+00	2.79E+01
Sample29	2.02E+01	1.50E+01	4.52E+01	1.55E+01	1.80E+01	3.47E+00	8.64E+00	1.85E+01	2.90E+01
Sample30	1.38E+01	7.52E+00	2.39E+01	2.07E+01	2.15E+01	1.42E+01	2.09E+01	1.87E+01	2.18E+01
Sample31	2.16E+01	9.32E+00	1.87E+01	1.21E+01	2.36E+01	1.13E+01	9.56E+00	1.85E+01	1.30E+01
Sample32	3.37E+01	1.18E+01	1.44E+01	1.16E+01	1.71E+01	8.48E+00	7.38E+00	1.96E+01	2.04E+01
Sample33	1.34E+01	5.81E+00	2.67E+01	2.14E+01	2.32E+01	2.29E+01	6.16E+00	1.62E+01	1.86E+01
Sample34	2.58E+01	9.97E+00	2.38E+01	7.65E+00	3.25E+01	6.79E+00	9.36E+00	1.14E+01	2.06E+01
Sample35	2.77E+01	1.12E+01	2.18E+01	1.48E+01	2.92E+01	1.19E+01	6.26E+00	1.08E+01	9.31E+00
