Samples	Signature A	Signature B	Signature C	Signature D
Sample1	332	0	406	267
Sample2	776	224	0	0
Sample3	1000	0	0	0
Sample4	358	629	0	0
Sample5	299	371	366	0
Sample6	408	608	0	0
Sample7	601	0	0	414
Sample8	628	0	208	149
Sample9	744	248	0	0
Sample10	685	307	0	0
Sample11	304	490	231	0
Sample12	426	283	261	0
Sample13	988	0	0	0
Sample14	545	255	0	183
Sample15	394	641	0	0
Sample16	350	680	0	0
Sample17	514	0	469	0
Sample18	614	0	0	401
Sample19	728	280	0	0
Sample20	810	174	0	0
Sample21	726	254	0	0
Sample22	689	325	0	0
Sample23	0	765	0	251
Sample24	300	545	170	0
Sample25	740	260	0	0
Sample26	384	0	398	205
Sample27	715	293	0	0
Sample28	731	269	0	0
Sample29	410	0	562	0
Sample30	662	0	0	322
Sample31	834	0	0	166
Sample32	840	0	0	140
Sample33	615	0	0	371
Sample34	794	206	0	0
Sample35	773	227	0	0
Sample36	780	228	0	0
Sample37	761	231	0	0
Sample38	867	0	0	125
Sample39	0	467	289	269
Sample40	800	200	0	0
Sample41	403	577	0	0
Sample42	768	212	0	0
Sample43	410	0	562	0
Sample44	299	675	0	0
Sample45	337	647	0	0
Sample46	359	677	0	0
Sample47	807	201	0	0
Sample48	410	0	562	0
Sample49	787	213	0	0
Sample50	781	227	0	0
Sample51	725	283	0	0
Sample52	858	0	0	169
Sample53	410	0	562	0
Sample54	758	221	0	0
Sample55	650	330	0	0
Sample56	573	245	0	156
Sample57	764	236	0	0
Sample58	733	282	0	0
Sample59	334	655	0	0
Sample60	775	204	0	0
Sample61	1008	0	0	0
Sample62	362	624	0	0
Sample63	981	0	0	0
Sample64	307	674	0	0
Sample65	452	535	0	0
Sample66	852	0	0	163
Sample67	763	227	0	0
Sample68	284	696	0	0
Sample69	832	0	0	148
Sample70	673	319	0	0
Sample71	792	222	0	0
Sample72	689	278	0	0
Sample73	740	268	0	0
Sample74	758	227	0	0
Sample75	751	263	0	0
Sample76	712	273	0	0
Sample77	236	778	0	0
Sample78	409	575	0	0
Sample79	327	651	0	0
Sample80	410	0	562	0
Sample81	680	345	0	0
Sample82	720	0	264	0
Sample83	348	668	0	0
Sample84	461	573	0	0
Sample85	219	766	0	0
Sample86	404	611	0	0
Sample87	861	0	0	117
Sample88	618	405	0	0
Sample89	791	223	0	0
Sample90	754	246	0	0
Sample91	806	0	0	220
Sample92	627	0	254	127
Sample93	765	243	0	0
Sample94	762	267	0	0
Sample95	778	214	0	0
Sample96	980	0	0	0
Sample97	868	0	0	132
Sample98	519	274	0	225
Sample99	441	532	0	0
Sample100	759	0	233	0
Sample101	1000	0	0	0
Sample102	348	619	0	0
Sample103	763	222	0	0
Sample104	375	282	335	0
Sample105	345	640	0	0
Sample106	801	207	0	0
Sample107	866	0	0	148
Sample108	823	0	0	177
Sample109	691	289	0	0
Sample110	252	749	0	0
Sample111	605	0	0	408
Sample112	726	282	0	0
Sample113	410	0	562	0
Sample114	394	574	0	0
Sample115	640	0	238	143
Sample116	739	269	0	0
Sample117	801	207	0	0
Sample118	1015	0	0	0
Sample119	312	398	0	298
Sample120	768	217	0	0
Sample121	725	267	0	0
Sample122	656	363	0	0
Sample123	449	0	576	0
Sample124	253	714	0	0
Sample125	344	624	0	0
Sample126	627	227	0	161
Sample127	446	0	514	0
Sample128	672	0	222	124
Sample129	761	211	0	0
Sample130	980	0	0	0
Sample131	720	265	0	0
Sample132	836	0	0	144
Sample133	780	228	0	0
Sample134	876	0	0	113
Sample135	662	0	230	123
Sample136	755	253	0	0
Sample137	784	204	0	0
Sample138	322	662	0	0
Sample139	422	364	229	0
Sample140	450	224	0	334
Sample141	871	0	0	118
Sample142	419	240	0	337
Sample143	672	0	309	0
Sample144	205	780	0	0
Sample145	317	651	0	0
Sample146	786	228	0	0
Sample147	407	629	0	0
Sample148	773	227	0	0
Sample149	521	0	506	0
Sample150	742	0	0	243
Sample151	840	0	0	140
Sample152	727	281	0	0
Sample153	661	224	0	151
Sample154	0	587	388	0
Sample155	705	0	287	0
Sample156	781	227	0	0
Sample157	776	224	0	0
Sample158	724	268	0	0
Sample159	988	0	0	0
Sample160	328	641	0	0
Sample161	709	299	0	0
Sample162	321	687	0	0
Sample163	748	260	0	0
Sample164	985	0	0	0
Sample165	780	209	0	0
Sample166	701	299	0	0
Sample167	699	0	0	287
Sample168	0	441	530	0
Sample169	0	716	262	0
Sample170	738	262	0	0
Sample171	801	207	0	0
Sample172	314	665	0	0
Sample173	326	651	0	0
Sample174	756	252	0	0
Sample175	265	717	0	0
Sample176	366	305	337	0
Sample177	332	641	0	0
Sample178	718	290	0	0
Sample179	702	0	172	118
Sample180	488	0	530	0
Sample181	748	244	0	0
Sample182	0	480	249	279
Sample183	749	243	0	0
Sample184	354	620	0	0
Sample185	575	0	0	439
Sample186	704	296	0	0
Sample187	711	309	0	0
Sample188	361	663	0	0
Sample189	719	0	0	269
Sample190	795	191	0	0
Sample191	752	240	0	0
Sample192	692	0	183	117
Sample193	410	0	562	0
Sample194	285	735	0	0
Sample195	834	0	0	166
Sample196	411	0	621	0
Sample197	326	641	0	0
Sample198	739	253	0	0
Sample199	736	254	0	0
Sample200	728	307	0	0
Sample201	992	0	0	0
Sample202	315	653	0	0
Sample203	395	272	0	351
Sample204	747	241	0	0
Sample205	317	664	0	0
Sample206	694	343	0	0
Sample207	776	224	0	0
Sample208	981	0	0	0
Sample209	0	732	0	287
Sample210	320	659	0	0
Sample211	410	0	562	0
Sample212	322	651	0	0
Sample213	225	750	0	0
Sample214	795	205	0	0
Sample215	632	0	0	382
Sample216	446	343	0	205
Sample217	302	666	0	0
Sample218	851	0	0	137
Sample219	190	0	432	377
Sample220	0	788	0	221
Sample221	0	700	329	0
Sample222	889	0	0	127
Sample223	313	655	0	0
Sample224	220	755	0	0
Sample225	732	260	0	0
Sample226	668	0	189	122
Sample227	660	0	242	113
Sample228	585	250	0	139
Sample229	618	0	0	400
Sample230	742	258	0	0
Sample231	0	775	0	188
Sample232	742	272	0	0
Sample233	405	0	569	0
Sample234	880	0	0	128
Sample235	861	0	0	124
Sample236	712	310	0	0
Sample237	410	0	562	0
Sample238	408	0	634	0
Sample239	752	264	0	0
Sample240	842	0	0	158
Sample241	986	0	0	0
Sample242	0	0	668	322
Sample243	0	697	278	0
Sample244	732	260	0	0
Sample245	708	305	0	0
Sample246	826	0	0	160
Sample247	805	209	0	0
Sample248	801	0	0	214
Sample249	733	246	0	0
Sample250	377	653	0	0
