Samples	SBS1	SBS3	SBS5	Signature D
Sample1	0	663	0	342
Sample2	37	527	436	0
Sample3	40	585	375	0
Sample4	12	346	629	0
Sample5	24	505	507	0
Sample6	28	391	597	0
Sample7	0	290	293	432
Sample8	36	466	483	0
Sample9	42	569	381	0
Sample10	36	483	473	0
Sample11	34	452	539	0
Sample12	43	548	379	0
Sample13	43	597	348	0
Sample14	0	375	396	212
Sample15	25	360	650	0
Sample16	25	369	636	0
Sample17	57	705	221	0
Sample18	0	288	348	379
Sample19	35	521	452	0
Sample20	39	562	383	0
Sample21	41	540	399	0
Sample22	35	476	503	0
Sample23	22	316	397	281
Sample24	30	443	542	0
Sample25	38	542	420	0
Sample26	37	434	516	0
Sample27	37	529	442	0
Sample28	37	521	442	0
Sample29	38	449	485	0
Sample30	46	546	0	392
Sample31	55	683	0	262
Sample32	56	679	0	245
Sample33	0	315	330	341
Sample34	36	504	460	0
Sample35	38	534	428	0
Sample36	38	544	426	0
Sample37	39	540	413	0
Sample38	38	543	411	0
Sample39	0	297	435	293
Sample40	40	580	380	0
Sample41	25	346	609	0
Sample42	42	548	390	0
Sample43	38	449	485	0
Sample44	24	307	643	0
Sample45	25	413	546	0
Sample46	27	421	588	0
Sample47	39	579	390	0
Sample48	38	449	485	0
Sample49	40	586	374	0
Sample50	38	505	465	0
Sample51	37	490	481	0
Sample52	34	489	504	0
Sample53	38	449	485	0
Sample54	39	532	408	0
Sample55	24	525	431	0
Sample56	0	352	389	233
Sample57	40	579	381	0
Sample58	36	500	479	0
Sample59	20	314	655	0
Sample60	41	575	363	0
Sample61	39	588	381	0
Sample62	25	363	598	0
Sample63	46	634	301	0
Sample64	23	301	657	0
Sample65	21	341	625	0
Sample66	55	702	0	258
Sample67	42	533	415	0
Sample68	15	0	965	0
Sample69	54	700	0	226
Sample70	27	458	507	0
Sample71	40	579	395	0
Sample72	33	468	466	0
Sample73	39	553	416	0
Sample74	37	524	424	0
Sample75	35	515	464	0
Sample76	37	509	439	0
Sample77	14	348	652	0
Sample78	28	395	561	0
Sample79	27	354	597	0
Sample80	38	449	485	0
Sample81	32	446	547	0
Sample82	39	569	376	0
Sample83	27	358	631	0
Sample84	28	409	597	0
Sample85	16	0	969	0
Sample86	30	440	545	0
Sample87	43	550	385	0
Sample88	30	430	563	0
Sample89	39	552	423	0
Sample90	38	531	431	0
Sample91	54	652	0	320
Sample92	36	536	436	0
Sample93	37	554	417	0
Sample94	30	440	559	0
Sample95	39	544	409	0
Sample96	42	591	347	0
Sample97	55	705	0	240
Sample98	0	352	380	286
Sample99	23	400	550	0
Sample100	40	542	410	0
Sample101	39	589	372	0
Sample102	25	332	610	0
Sample103	37	515	433	0
Sample104	41	540	411	0
Sample105	20	285	680	0
Sample106	37	533	438	0
Sample107	37	521	456	0
Sample108	55	672	0	273
Sample109	34	469	477	0
Sample110	21	333	647	0
Sample111	0	285	344	384
Sample112	37	532	439	0
Sample113	38	449	485	0
Sample114	30	436	502	0
Sample115	31	515	475	0
Sample116	39	559	410	0
Sample117	37	533	438	0
Sample118	40	589	386	0
Sample119	15	0	635	358
Sample120	41	596	348	0
Sample121	39	523	430	0
Sample122	34	512	473	0
Sample123	30	627	368	0
Sample124	23	283	661	0
