Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	1005	0.858	490.594	48.815%	64.608	54.621%	0.2312
Sample2	1000	0.878	431.701	43.17%	56.856	50.129%	0.1727
Sample3	1000	0.872	443.604	44.36%	57.758	51.439%	0.1784
Sample4	987	0.867	458.354	46.439%	61.485	51.311%	0.1857
Sample5	1036	0.898	419.129	40.456%	53.589	46.764%	0.1612
Sample6	1016	0.89	441.693	43.474%	55.916	47.678%	0.1687
Sample7	1015	0.931	357.28	35.2%	48.392	38.299%	0.1176
Sample8	985	0.882	423.26	42.971%	55.013	49.626%	0.167
Sample9	992	0.849	476.111	47.995%	62.208	56.118%	0.2061
Sample10	992	0.886	423.764	42.718%	54.715	48.362%	0.1657
Sample11	1025	0.888	438.876	42.817%	56.298	48.178%	0.1707
Sample12	970	0.864	429.316	44.259%	58.462	52.391%	0.1909
Sample13	988	0.867	440.956	44.631%	58.229	52.182%	0.1847
Sample14	983	0.896	417.371	42.459%	53.675	46.512%	0.1625
Sample15	1035	0.899	425.899	41.15%	55.136	45.36%	0.1493
Sample16	1030	0.892	433.96	42.132%	57.214	46.545%	0.1551
Sample17	983	0.867	440.586	44.821%	57.044	53.712%	0.1997
Sample18	1015	0.938	339.496	33.448%	45.292	36.539%	0.1049
Sample19	1008	0.887	414.81	41.152%	55.07	48.434%	0.1587
Sample20	984	0.889	413.669	42.04%	52.746	48.215%	0.165
Sample21	980	0.856	448.507	45.766%	60.394	54.262%	0.1896
Sample22	1014	0.883	434.74	42.874%	56.778	48.885%	0.1661
Sample23	1016	0.912	405.593	39.921%	53.098	41.744%	0.1341
Sample24	1015	0.892	424.616	41.834%	54.902	47.059%	0.1628
Sample25	1000	0.886	429.609	42.961%	54.612	48.637%	0.1648
Sample26	987	0.887	419.185	42.471%	54.36	48.499%	0.16
Sample27	1008	0.885	410.649	40.739%	55.264	49.093%	0.1704
Sample28	1000	0.896	402.329	40.233%	52.262	46.544%	0.1558
Sample29	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample30	984	0.91	385.635	39.191%	50.77	43.719%	0.1631
Sample31	1000	0.884	424.33	42.433%	55.755	49.655%	0.1788
Sample32	980	0.868	453.65	46.291%	58.363	52.437%	0.1981
Sample33	986	0.938	310.437	31.484%	43.481	36.141%	0.1009
Sample34	1000	0.877	437.53	43.753%	57.352	50.317%	0.173
Sample35	1000	0.881	427.967	42.797%	55.986	49.609%	0.1662
Sample36	1008	0.877	439.09	43.561%	57.467	50.294%	0.1735
Sample37	992	0.88	424.359	42.778%	55.641	49.935%	0.1685
Sample38	992	0.885	417.685	42.105%	54.41	48.83%	0.1664
Sample39	1025	0.923	383.591	37.424%	49.892	39.723%	0.1229
Sample40	1000	0.876	430.295	43.03%	56.992	50.501%	0.1737
Sample41	980	0.891	409.583	41.794%	54.772	46.73%	0.1525
Sample42	980	0.884	429.103	43.786%	54.071	49.123%	0.1701
Sample43	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample44	974	0.887	442.131	45.393%	56.156	47.315%	0.162
Sample45	984	0.881	452.999	46.036%	56.782	48.669%	0.1631
Sample46	1036	0.899	430.354	41.54%	54.774	45.49%	0.1556
Sample47	1008	0.872	446.115	44.257%	58.136	51.385%	0.1767
Sample48	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample49	1000	0.883	424.699	42.47%	54.91	49.664%	0.1732
Sample50	1008	0.86	465.901	46.22%	62.08	53.046%	0.1817
Sample51	1008	0.863	442.591	43.908%	61.119	52.72%	0.1743
Sample52	1027	0.879	438.494	42.697%	58.149	50.06%	0.1666
Sample53	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample54	979	0.877	422.715	43.178%	55.663	50.372%	0.1718
Sample55	980	0.877	433.772	44.262%	55.551	50.736%	0.1768
Sample56	974	0.882	428.312	43.975%	57.436	49.364%	0.1732
Sample57	1000	0.879	433.017	43.302%	56.263	50.107%	0.1701
Sample58	1015	0.881	439.329	43.284%	56.818	50.219%	0.1655
Sample59	989	0.889	427.684	43.244%	56.48	46.86%	0.1468
Sample60	979	0.885	424.659	43.377%	53.306	49.351%	0.1717
Sample61	1008	0.876	439.033	43.555%	57.285	50.888%	0.1744
