Samples	Signature A	Signature B
Sample1	186	20
Sample2	9	67
Sample3	9	58
Sample4	87	1
Sample5	39	6
Sample6	83	11
Sample7	132	53
Sample8	20	46
Sample9	52	16
Sample10	13	59
Sample11	72	11
Sample12	32	33
Sample13	0	62
Sample14	58	53
Sample15	79	10
Sample16	83	12
Sample17	28	9
Sample18	147	46
Sample19	7	61
Sample20	1	62
Sample21	9	52
Sample22	18	50
Sample23	194	0
Sample24	75	14
Sample25	3	68
Sample26	41	23
Sample27	14	53
Sample28	5	61
Sample29	44	1
Sample30	63	48
Sample31	13	58
Sample32	11	54
Sample33	156	24
Sample34	0	64
Sample35	1	65
Sample36	8	69
Sample37	23	48
Sample38	5	60
Sample39	194	0
Sample40	0	67
Sample41	74	23
Sample42	4	54
Sample43	44	1
Sample44	83	14
Sample45	93	14
Sample46	103	0
Sample47	4	58
Sample48	44	1
Sample49	1	63
Sample50	19	51
Sample51	6	56
Sample52	25	64
Sample53	44	1
Sample54	9	56
Sample55	35	19
Sample56	29	60
Sample57	15	56
Sample58	22	46
Sample59	89	18
Sample60	13	50
Sample61	17	50
Sample62	85	14
Sample63	0	59
Sample64	79	24
Sample65	70	29
Sample66	2	64
Sample67	3	57
Sample68	75	22
Sample69	4	62
Sample70	17	55
Sample71	5	62
Sample72	8	67
Sample73	7	58
Sample74	3	57
Sample75	17	52
Sample76	22	45
Sample77	193	0
Sample78	85	17
Sample79	85	8
Sample80	44	1
Sample81	8	63
Sample82	7	55
Sample83	86	4
Sample84	79	8
Sample85	96	1
Sample86	84	5
Sample87	11	48
Sample88	27	62
Sample89	5	62
Sample90	15	48
Sample91	5	60
Sample92	6	61
Sample93	11	65
Sample94	30	58
Sample95	13	52
Sample96	0	63
Sample97	1	65
Sample98	78	58
Sample99	50	40
Sample100	2	63
