Samples	Signature A	Signature B	Signature C
Sample1	17	141	48
Sample2	61	15	0
Sample3	55	3	9
Sample4	0	82	6
Sample5	5	25	15
Sample6	10	74	10
Sample7	50	90	45
Sample8	44	7	15
Sample9	14	33	21
Sample10	55	17	0
Sample11	9	70	4
Sample12	31	31	3
Sample13	58	0	4
Sample14	50	58	3
Sample15	8	71	10
Sample16	9	86	0
Sample17	9	7	21
Sample18	44	113	36
Sample19	57	5	6
Sample20	58	0	5
Sample21	49	8	4
Sample22	47	19	2
Sample23	0	165	29
Sample24	13	72	4
Sample25	64	3	4
Sample26	21	18	25
Sample27	50	17	0
Sample28	58	6	2
Sample29	0	0	45
Sample30	44	44	23
Sample31	55	8	8
Sample32	50	12	3
Sample33	22	126	32
Sample34	59	0	5
Sample35	60	6	0
Sample36	63	14	0
Sample37	44	11	16
Sample38	55	0	10
Sample39	0	175	19
Sample40	67	0	0
Sample41	22	64	11
Sample42	51	5	2
Sample43	0	0	45
Sample44	13	74	10
Sample45	12	81	14
Sample46	0	91	12
Sample47	54	4	4
Sample48	0	0	45
Sample49	58	0	6
Sample50	49	9	12
Sample51	52	10	0
Sample52	60	17	12
Sample53	0	0	45
Sample54	53	8	4
Sample55	17	23	14
Sample56	55	34	0
Sample57	53	18	0
Sample58	43	16	9
Sample59	16	84	7
Sample60	46	12	5
Sample61	47	1	19
Sample62	12	85	2
Sample63	56	3	0
Sample64	21	72	10
Sample65	27	58	14
Sample66	60	3	3
Sample67	53	0	7
Sample68	19	78	0
Sample69	58	1	7
Sample70	51	14	7
Sample71	59	4	4
Sample72	60	15	0
Sample73	55	10	0
Sample74	54	5	1
Sample75	48	4	17
Sample76	42	13	12
Sample77	0	173	20
Sample78	15	82	5
Sample79	6	87	0
Sample80	0	0	45
Sample81	59	8	4
Sample82	49	0	13
Sample83	3	82	5
Sample84	6	71	10
Sample85	0	91	6
Sample86	4	74	11
Sample87	45	0	14
Sample88	57	32	0
Sample89	58	7	2
Sample90	45	15	3
Sample91	56	9	0
Sample92	57	7	3
Sample93	61	12	3
Sample94	54	19	15
Sample95	47	6	12
Sample96	55	0	8
Sample97	61	2	3
Sample98	55	63	18
Sample99	35	55	0
Sample100	59	1	5
