Samples	Signature A	Signature B	Signature C
Sample1	1.06E+01	5.17E+00	1.25E+01
Sample2	8.86E-01	3.46E+00	3.07E+00
Sample3	3.88E+00	3.88E+00	0.00E+00
Sample4	0.00E+00	1.71E+00	1.71E+00
Sample5	2.49E+00	2.90E+00	4.18E+00
Sample6	1.21E+00	3.06E+00	3.72E+00
Sample7	9.17E+00	3.80E+00	8.61E+00
Sample8	2.51E+00	2.67E+00	3.65E+00
Sample9	4.88E+00	3.32E+00	4.16E+00
Sample10	2.32E+00	2.73E+00	1.61E+00
Sample11	8.66E-01	1.25E+00	2.24E+00
Sample12	2.32E+00	4.02E+00	4.17E+00
Sample13	1.45E+00	1.45E+00	0.00E+00
Sample14	3.89E+00	7.13E+00	7.56E+00
Sample15	2.68E+00	5.10E+00	2.97E+00
Sample16	1.65E+00	0.00E+00	1.65E+00
Sample17	2.41E+00	1.25E-01	2.35E+00
Sample18	9.78E+00	4.29E+00	9.20E+00
Sample19	3.96E+00	5.37E+00	5.21E+00
Sample20	1.86E+00	1.86E+00	0.00E+00
Sample21	2.38E+00	3.81E+00	2.34E+00
Sample22	2.52E+00	2.91E+00	1.05E+00
Sample23	7.35E+00	1.05E+00	7.86E+00
Sample24	0.00E+00	3.50E+00	3.50E+00
Sample25	1.88E+00	2.94E+00	2.03E+00
Sample26	3.24E+00	2.87E+00	4.17E+00
Sample27	1.80E+00	2.63E+00	1.20E+00
Sample28	8.75E-01	1.23E+00	1.00E+00
Sample29	0.00E+00	0.00E+00	0.00E+00
Sample30	3.89E+00	3.44E+00	5.46E+00
Sample31	3.24E+00	3.57E+00	3.34E+00
Sample32	1.76E+00	2.60E+00	3.13E+00
Sample33	8.21E+00	6.57E+00	8.64E+00
Sample34	1.60E+00	1.60E+00	0.00E+00
Sample35	0.00E+00	1.96E+00	1.96E+00
Sample36	1.11E+00	2.73E+00	3.39E+00
Sample37	2.44E+00	3.87E+00	2.35E+00
Sample38	3.20E+00	3.91E+00	1.37E+00
Sample39	4.65E+00	0.00E+00	4.65E+00
Sample40	9.05E-01	1.13E+00	7.43E-01
Sample41	3.05E+00	2.98E+00	4.72E+00
Sample42	3.75E-01	1.49E+00	1.62E+00
Sample43	0.00E+00	0.00E+00	0.00E+00
Sample44	1.25E-01	3.74E+00	3.74E+00
Sample45	3.33E+00	4.75E+00	5.98E+00
Sample46	1.07E+00	1.86E+00	1.41E+00
Sample47	1.28E+00	1.28E+00	1.00E+00
Sample48	0.00E+00	0.00E+00	0.00E+00
Sample49	3.94E+00	3.64E+00	2.44E+00
Sample50	2.44E+00	1.71E+00	1.93E+00
Sample51	1.11E+00	1.89E+00	1.84E+00
Sample52	3.91E+00	4.20E+00	4.48E+00
Sample53	0.00E+00	0.00E+00	0.00E+00
Sample54	1.76E+00	1.76E+00	0.00E+00
Sample55	4.31E+00	4.71E+00	6.15E+00
Sample56	2.65E+00	5.14E+00	4.69E+00
Sample57	3.75E-01	1.83E+00	1.80E+00
Sample58	4.02E+00	3.02E+00	2.12E+00
Sample59	4.13E+00	3.54E+00	4.52E+00
Sample60	3.85E+00	4.19E+00	3.88E+00
Sample61	2.49E+00	3.02E+00	2.63E+00
Sample62	3.55E+00	2.15E+00	5.12E+00
Sample63	1.25E-01	1.25E-01	0.00E+00
Sample64	2.01E+00	3.87E+00	3.67E+00
Sample65	6.89E+00	6.52E+00	1.07E+01
Sample66	1.64E-01	1.75E+00	1.84E+00
Sample67	1.50E+00	1.58E+00	7.50E-01
Sample68	9.64E-01	4.13E+00	3.89E+00
Sample69	1.97E+00	1.97E+00	0.00E+00
Sample70	2.50E+00	2.66E+00	2.85E+00
Sample71	2.95E+00	3.54E+00	1.94E+00
Sample72	1.57E+00	4.17E+00	4.40E+00
Sample73	2.03E+00	2.88E+00	2.43E+00
Sample74	0.00E+00	2.58E+00	2.58E+00
Sample75	2.23E+00	3.55E+00	3.68E+00
Sample76	2.11E+00	2.62E+00	2.03E+00
Sample77	5.98E+00	2.81E+00	7.61E+00
Sample78	0.00E+00	2.63E+00	2.63E+00
Sample79	9.72E-01	0.00E+00	9.72E-01
Sample80	0.00E+00	0.00E+00	0.00E+00
Sample81	2.62E+00	2.86E+00	1.12E+00
Sample82	2.20E+00	2.70E+00	2.55E+00
Sample83	1.70E+00	0.00E+00	1.70E+00
Sample84	1.73E+00	2.88E+00	2.10E+00
Sample85	1.50E+00	2.00E+00	2.32E+00
Sample86	2.88E+00	1.88E+00	3.63E+00
Sample87	2.34E+00	2.71E+00	1.81E+00
Sample88	2.43E+00	3.06E+00	3.37E+00
Sample89	7.43E-01	2.33E+00	2.76E+00
Sample90	2.35E+00	2.22E+00	1.25E+00
Sample91	3.75E-01	3.41E+00	3.38E+00
Sample92	1.12E+00	3.06E+00	3.32E+00
Sample93	2.39E+00	3.70E+00	2.62E+00
Sample94	4.29E+00	3.78E+00	4.01E+00
Sample95	1.11E+00	2.44E+00	1.83E+00
Sample96	1.99E+00	2.00E+00	1.88E+00
Sample97	1.53E+00	2.24E+00	1.25E+00
Sample98	4.79E+00	4.68E+00	6.68E+00
Sample99	2.88E+00	3.65E+00	4.52E+00
Sample100	2.46E+00	2.46E+00	0.00E+00
