Samples	Signature A	Signature B	Signature C	Signature D
Sample1	14	1	155	36
Sample2	55	12	9	0
Sample3	45	15	0	7
Sample4	0	70	17	1
Sample5	0	28	2	15
Sample6	2	72	14	6
Sample7	41	0	109	35
Sample8	38	15	0	13
Sample9	4	48	0	16
Sample10	50	6	16	0
Sample11	5	55	19	4
Sample12	21	44	0	0
Sample13	51	6	0	5
Sample14	45	0	63	3
Sample15	0	56	30	3
Sample16	3	55	37	0
Sample17	7	4	8	18
Sample18	36	23	107	27
Sample19	53	7	0	8
Sample20	53	3	0	7
Sample21	46	7	4	4
Sample22	41	11	13	3
Sample23	0	97	78	19
Sample24	1	82	6	0
Sample25	59	4	3	5
Sample26	14	22	7	21
Sample27	44	16	7	0
Sample28	49	16	0	1
Sample29	1	0	0	44
Sample30	38	12	42	19
Sample31	48	0	16	7
Sample32	49	5	6	5
Sample33	17	33	104	26
Sample34	55	4	0	5
Sample35	55	6	5	0
Sample36	57	1	19	0
Sample37	38	20	0	13
Sample38	51	4	0	10
Sample39	0	79	103	12
Sample40	61	5	0	1
Sample41	10	60	22	5
Sample42	47	1	6	4
Sample43	1	0	0	44
Sample44	8	63	17	9
Sample45	6	55	36	10
Sample46	0	47	47	9
Sample47	48	0	10	4
Sample48	1	0	0	44
Sample49	53	2	4	5
Sample50	44	0	14	12
Sample51	47	15	0	0
Sample52	55	5	17	12
Sample53	1	0	0	44
Sample54	48	10	3	4
Sample55	6	40	0	8
Sample56	48	11	30	0
Sample57	43	28	0	0
Sample58	37	12	12	7
Sample59	5	82	19	1
Sample60	41	0	17	5
Sample61	39	10	0	18
Sample62	2	72	25	0
Sample63	51	0	8	0
Sample64	14	53	30	6
Sample65	14	76	1	8
Sample66	56	3	3	4
Sample67	50	2	0	8
Sample68	13	60	24	0
Sample69	54	0	4	8
Sample70	48	11	4	9
Sample71	54	0	8	5
Sample72	56	18	1	0
Sample73	50	11	3	1
Sample74	47	12	0	1
Sample75	43	8	0	18
Sample76	35	24	0	8
Sample77	0	100	86	7
Sample78	5	87	9	1
Sample79	1	71	21	0
Sample80	1	0	0	44
Sample81	49	0	20	2
Sample82	45	2	3	12
Sample83	0	68	21	1
Sample84	0	74	8	5
Sample85	0	73	24	0
Sample86	0	68	15	6
Sample87	39	7	0	13
Sample88	50	0	39	0
Sample89	54	7	3	3
Sample90	40	18	2	3
Sample91	53	2	10	0
Sample92	49	16	0	2
Sample93	56	0	16	4
Sample94	47	22	5	14
Sample95	40	15	0	10
Sample96	53	0	0	10
Sample97	54	4	6	2
Sample98	48	13	59	16
Sample99	26	0	64	0
Sample100	53	7	0	5
