Samples	Signature A	Signature B	Signature C	Signature D
Sample1	8.32E+00	4.65E+00	7.85E+00	5.96E+00
Sample2	2.59E+00	5.94E+00	9.01E-01	5.99E+00
Sample3	1.75E+00	5.20E+00	3.48E+00	3.51E+00
Sample4	1.26E+01	2.00E+00	2.50E-01	1.22E+01
Sample5	4.31E+00	1.77E+00	2.45E+00	5.90E+00
Sample6	1.10E+01	3.12E+00	1.86E+00	8.21E+00
Sample7	7.11E+00	3.44E+00	6.78E+00	7.36E+00
Sample8	9.34E-01	3.79E+00	2.51E+00	5.27E+00
Sample9	5.45E+00	2.19E+00	4.86E+00	6.89E+00
Sample10	2.48E+00	2.80E+00	1.34E+00	1.87E+00
Sample11	1.11E+01	5.00E-01	8.75E-01	1.17E+01
Sample12	2.50E+00	4.58E+00	2.41E+00	4.18E+00
Sample13	0.00E+00	4.78E+00	1.49E+00	4.74E+00
Sample14	5.19E+00	5.85E+00	3.17E+00	4.25E+00
Sample15	5.77E+00	3.22E+00	1.32E+00	5.08E+00
Sample16	1.17E+01	6.25E-01	1.74E+00	1.34E+01
Sample17	4.55E+00	0.00E+00	4.04E+00	1.00E+00
Sample18	1.22E+01	5.85E+00	4.45E+00	1.25E+01
Sample19	3.18E+00	3.47E+00	4.16E+00	5.18E+00
Sample20	0.00E+00	2.21E+00	1.92E+00	1.68E+00
Sample21	1.28E+00	3.02E+00	2.04E+00	1.31E+00
Sample22	2.27E+00	2.51E+00	2.92E+00	2.61E+00
Sample23	1.84E+01	8.61E-01	4.61E+00	1.97E+01
Sample24	7.10E+00	3.22E+00	0.00E+00	6.81E+00
Sample25	1.37E+00	3.01E+00	2.28E+00	2.28E+00
Sample26	4.36E+00	2.73E+00	3.52E+00	5.29E+00
Sample27	2.37E+00	4.43E+00	6.20E-01	4.99E+00
Sample28	8.75E-01	1.56E+00	1.07E+00	1.81E+00
Sample29	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample30	5.64E+00	4.00E+00	3.09E+00	6.53E+00
Sample31	3.70E+00	3.39E+00	2.14E+00	3.37E+00
Sample32	2.51E+00	2.63E+00	1.56E+00	1.11E+00
Sample33	9.39E+00	7.94E+00	4.46E+00	1.06E+01
Sample34	0.00E+00	2.43E+00	2.33E+00	1.50E+00
Sample35	2.76E+00	2.78E+00	0.00E+00	3.71E+00
Sample36	3.10E+00	2.60E+00	1.21E+00	1.68E+00
Sample37	1.87E+00	4.83E+00	3.32E+00	3.83E+00
Sample38	2.04E+00	5.24E+00	2.82E+00	3.81E+00
Sample39	1.78E+01	0.00E+00	2.92E+00	1.67E+01
Sample40	5.26E-01	3.71E+00	1.34E+00	3.66E+00
Sample41	6.36E+00	3.87E+00	3.11E+00	5.89E+00
Sample42	1.88E+00	1.88E+00	6.55E-01	5.00E-01
Sample43	0.00E+00	0.00E+00	1.00E+00	1.00E+00
Sample44	1.29E+01	3.12E+00	3.75E-01	1.22E+01
Sample45	9.41E+00	4.36E+00	3.06E+00	9.08E+00
Sample46	1.09E+01	1.24E+00	5.81E-01	1.10E+01
Sample47	5.00E-01	2.49E+00	1.50E+00	2.63E+00
Sample48	0.00E+00	0.00E+00	1.12E+00	1.12E+00
Sample49	1.68E+00	4.53E+00	4.09E+00	5.11E+00
Sample50	3.13E+00	2.22E+00	3.53E+00	1.47E+00
Sample51	0.00E+00	5.51E+00	1.74E+00	5.70E+00
Sample52	2.62E+00	3.68E+00	3.29E+00	3.41E+00
Sample53	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample54	8.75E-01	2.22E+00	2.20E+00	4.98E-01
Sample55	2.35E+00	4.94E+00	5.16E+00	7.72E+00
Sample56	4.96E+00	5.07E+00	2.43E+00	4.60E+00
Sample57	1.50E+00	6.85E+00	1.25E-01	7.28E+00
Sample58	3.23E+00	3.02E+00	2.29E+00	4.55E+00
Sample59	9.03E+00	2.50E-01	5.57E+00	8.09E+00
Sample60	4.05E+00	3.95E+00	1.36E+00	2.12E+00
Sample61	3.31E+00	3.76E+00	2.83E+00	6.00E+00
Sample62	9.22E+00	1.75E+00	2.97E+00	1.07E+01
Sample63	0.00E+00	3.77E+00	2.50E-01	3.83E+00
Sample64	7.42E+00	2.64E+00	2.08E+00	9.41E+00
Sample65	6.27E+00	7.31E+00	5.94E+00	1.17E+01
Sample66	1.75E+00	1.38E+00	1.52E+00	1.56E+00
Sample67	7.50E-01	2.29E+00	2.18E+00	5.00E-01
Sample68	1.10E+01	3.03E+00	1.24E+00	9.76E+00
Sample69	2.38E+00	2.41E+00	1.70E+00	1.12E+00
Sample70	3.71E+00	2.77E+00	3.19E+00	3.35E+00
Sample71	1.28E+00	3.08E+00	3.43E+00	3.78E+00
Sample72	1.68E+00	4.37E+00	2.68E+00	3.68E+00
Sample73	2.38E+00	7.25E+00	9.82E-01	7.22E+00
Sample74	0.00E+00	7.38E+00	1.13E+00	7.55E+00
Sample75	2.24E+00	3.54E+00	2.35E+00	3.74E+00
Sample76	1.11E+00	3.23E+00	2.05E+00	2.63E+00
Sample77	1.58E+01	2.34E+00	9.02E+00	1.90E+01
