Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.905	113.18	54.942%	16.204	52.136%	0.3288
Sample2	76	0.967	21.549	28.354%	3.667	25.305%	0.161
Sample3	67	0.962	20.382	30.421%	3.603	27.236%	0.2218
Sample4	88	0.954	37.219	42.294%	5.791	30.353%	0.2649
Sample5	45	0.873	29.953	66.562%	4.956	48.833%	0.5074
Sample6	94	0.964	33.077	35.188%	4.993	26.765%	0.2006
Sample7	185	0.958	62.629	33.854%	9.435	29.299%	0.1556
Sample8	66	0.961	21.762	32.973%	3.594	27.565%	0.161
Sample9	68	0.895	40.152	59.047%	6.133	45.713%	0.4511
Sample10	72	0.973	20.746	28.814%	3.687	24.746%	0.1685
Sample11	83	0.95	33.241	40.049%	5.319	31.288%	0.2089
Sample12	65	0.926	32.023	49.266%	5.054	37.775%	0.3086
Sample13	62	0.979	12.991	20.953%	2.44	20.622%	0.0942
Sample14	111	0.958	38.487	34.673%	5.968	28.68%	0.1705
Sample15	89	0.958	35.654	40.061%	5.896	30.049%	0.2323
Sample16	95	0.97	34.453	36.266%	4.849	24.842%	0.1912
Sample17	37	0.778	30.084	81.308%	4.932	64.209%	0.7208
Sample18	193	0.941	72.234	37.427%	11.868	34.593%	0.167
Sample19	68	0.931	25.372	37.312%	4.708	37.455%	0.3676
Sample20	63	0.973	15.008	23.822%	3.002	23.371%	0.1102
Sample21	61	0.944	23.097	37.864%	3.908	32.911%	0.2477
Sample22	68	0.972	20.753	30.519%	3.226	23.913%	0.1818
Sample23	194	0.958	77.216	39.802%	10.977	28.611%	0.1924
Sample24	89	0.977	23.451	26.349%	3.857	21.2%	0.1118
Sample25	71	0.974	16.862	23.749%	3.087	22.574%	0.1571
Sample26	64	0.931	33.339	52.092%	5.257	37.36%	0.3495
Sample27	67	0.954	22.42	33.463%	3.762	30.615%	0.2448
Sample28	66	0.968	17.282	26.185%	3.401	25.35%	0.1538
Sample29	45	0.988	8.886	19.747%	1.638	15.689%	0.0742
Sample30	111	0.963	38.086	34.312%	5.527	26.937%	0.1709
Sample31	71	0.93	31.972	45.031%	5.04	36.661%	0.3233
Sample32	65	0.941	23.611	36.325%	4.544	33.963%	0.2086
Sample33	180	0.976	51.379	28.544%	7.374	21.995%	0.1282
Sample34	64	0.963	15.527	24.261%	3.504	27.034%	0.1112
Sample35	66	0.954	20.315	30.78%	3.829	29.899%	0.1959
Sample36	77	0.968	23.187	30.113%	3.658	24.947%	0.1666
Sample37	71	0.966	22.785	32.092%	3.56	25.759%	0.1919
Sample38	65	0.972	16.329	25.122%	2.941	23.324%	0.1698
Sample39	194	0.954	70.222	36.197%	11.235	30.027%	0.1633
Sample40	67	0.966	17.513	26.139%	3.522	25.894%	0.2001
Sample41	97	0.958	34.228	35.287%	5.555	28.61%	0.2223
Sample42	58	0.964	16.97	29.259%	3.089	26.886%	0.1641
Sample43	45	0.988	8.886	19.747%	1.638	15.689%	0.0742
Sample44	97	0.962	33.204	34.231%	5.389	27.253%	0.177
Sample45	107	0.958	36.468	34.082%	5.811	29.091%	0.1771
Sample46	103	0.96	39.304	38.159%	6.118	28.619%	0.1942
Sample47	62	0.93	24.57	39.629%	4.468	36.727%	0.258
Sample48	45	0.988	8.886	19.747%	1.638	15.689%	0.0742
Sample49	64	0.956	20.096	31.4%	3.594	29.345%	0.2192
Sample50	70	0.909	31.194	44.563%	5.902	41.733%	0.2412
Sample51	62	0.964	17.96	28.968%	3.466	26.901%	0.1376
Sample52	89	0.96	28.109	31.583%	4.687	28.06%	0.1723
Sample53	45	0.988	8.886	19.747%	1.638	15.689%	0.0742
Sample54	65	0.964	18.362	28.249%	3.533	26.861%	0.1907
Sample55	54	0.917	28.861	53.446%	4.345	40.342%	0.4768
Sample56	89	0.949	35.124	39.465%	5.423	31.682%	0.2265
Sample57	71	0.968	18.392	25.904%	3.612	25.227%	0.1418
Sample58	68	0.953	26.816	39.435%	4.097	30.369%	0.2476
Sample59	107	0.968	36.44	34.056%	5.76	25.431%	0.1799
Sample60	63	0.96	21.418	33.997%	3.297	28.168%	0.1718
Sample61	67	0.927	27.41	40.91%	4.756	38.704%	0.354
