Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample1	0	0	126	57	23
Sample2	49	7	6	14	0
Sample3	42	6	0	13	6
Sample4	0	80	7	0	1
Sample5	4	26	0	0	15
Sample6	6	76	7	0	5
Sample7	31	0	102	23	29
Sample8	30	3	0	23	10
Sample9	0	15	0	42	11
Sample10	49	10	13	0	0
Sample11	8	57	14	0	4
Sample12	19	33	0	13	0
Sample13	48	1	0	9	4
Sample14	34	0	55	22	0
Sample15	2	61	23	0	3
Sample16	6	59	30	0	0
Sample17	0	0	1	28	8
Sample18	15	0	97	66	15
Sample19	44	0	0	18	6
Sample20	51	5	0	0	7
Sample21	37	0	1	21	2
Sample22	41	13	10	1	3
Sample23	0	120	58	0	16
Sample24	3	77	0	9	0
Sample25	57	4	2	3	5
Sample26	10	4	8	25	17
Sample27	41	8	7	11	0
Sample28	48	16	0	0	2
Sample29	1	0	2	0	42
Sample30	31	7	39	18	16
Sample31	46	0	17	0	8
Sample32	45	12	3	1	4
Sample33	10	36	92	21	21
Sample34	47	0	0	13	4
Sample35	51	2	6	7	0
Sample36	54	3	14	6	0
Sample37	33	13	0	14	11
Sample38	48	4	0	2	11
Sample39	0	91	82	15	6
Sample40	57	4	0	4	2
Sample41	12	58	15	8	4
Sample42	45	4	5	0	4
Sample43	1	0	2	0	42
Sample44	10	69	9	0	9
Sample45	8	53	29	7	10
Sample46	0	59	36	0	8
Sample47	48	0	9	0	5
Sample48	1	0	2	0	42
Sample49	52	3	3	0	6
Sample50	37	0	10	14	9
Sample51	43	11	0	8	0
Sample52	50	0	16	13	10
Sample53	1	0	2	0	42
Sample54	48	13	0	0	4
Sample55	4	24	0	20	6
Sample56	43	3	26	17	0
Sample57	38	20	0	13	0
Sample58	37	15	9	0	7
Sample59	5	70	15	17	0
Sample60	40	0	16	0	7
Sample61	29	0	0	24	14
Sample62	2	59	19	19	0
Sample63	51	0	7	0	1
Sample64	16	57	24	0	6
Sample65	9	38	4	45	3
Sample66	52	2	3	5	4
Sample67	47	4	0	0	9
Sample68	16	67	14	0	0
Sample69	52	0	5	0	9
Sample70	47	16	0	0	9
Sample71	49	0	6	6	6
Sample72	51	13	0	11	0
Sample73	48	13	2	0	2
Sample74	45	8	0	5	2
Sample75	41	3	0	8	17
Sample76	31	19	0	9	8
Sample77	0	118	66	7	2
Sample78	7	75	1	19	0
Sample79	4	75	14	0	0
Sample80	1	0	2	0	42
Sample81	45	0	19	5	2
Sample82	43	0	4	3	12
Sample83	0	76	13	0	1
Sample84	0	70	1	12	4
Sample85	0	82	15	0	0
Sample86	0	73	9	0	7
Sample87	35	2	0	11	11
Sample88	46	0	35	8	0
Sample89	53	7	3	0	4
Sample90	39	16	0	5	3
Sample91	51	4	9	0	1
Sample92	43	8	0	15	1
Sample93	53	0	14	4	5
Sample94	44	23	2	7	12
Sample95	38	8	0	8	11
Sample96	45	0	0	10	8
Sample97	51	0	6	7	2
Sample98	36	0	53	36	11
Sample99	26	0	64	0	0
Sample100	41	0	0	22	2
